Date,Firm,To Grade,From Grade,Action
2012-07-09,Macquarie,Outperform,,init
2012-07-13,Wells Fargo,Outperform,Market Perform,up
2012-07-27,Deutsche Bank,Buy,,main
2012-07-27,BMO Capital,Outperform,,main
2012-12-18,Deutsche Bank,Buy,,main
2013-02-22,Hilliard Lyons,Buy,,main
2013-02-22,BMO Capital,Outperform,,main
2013-04-01,Hilliard Lyons,Neutral,Buy,down
2013-04-17,Deutsche Bank,Buy,,main
2014-01-06,Barclays,Equal-Weight,Overweight,down
2014-04-23,Deutsche Bank,Buy,,main
2014-05-23,Baird,Outperform,,init
2014-07-25,Deutsche Bank,Buy,,main
2014-08-04,SunTrust Robinson Humphrey,Neutral,,main
2014-09-15,SunTrust Robinson Humphrey,Neutral,,main
2014-12-17,Deutsche Bank,Buy,,main
2015-01-09,RBC Capital,Sector Perform,Outperform,down
2015-01-23,Barclays,Equal-Weight,,main
2015-01-30,Deutsche Bank,Buy,,main
2015-03-23,SunTrust Robinson Humphrey,Neutral,,main
2015-04-22,KeyBanc,Overweight,,main
2015-04-24,Wells Fargo,Market Perform,Outperform,down
2015-06-08,SunTrust Robinson Humphrey,Neutral,,main
2015-10-19,SunTrust Robinson Humphrey,Neutral,,main
2015-10-26,UBS,Neutral,Buy,down
2016-01-04,Barclays,Equal-Weight,,main
2016-02-05,Deutsche Bank,Buy,,main
2016-02-08,Hilliard Lyons,Neutral,Buy,down
2016-02-16,SunTrust Robinson Humphrey,Neutral,,main
2016-02-22,SunTrust Robinson Humphrey,Neutral,,main
2016-03-07,SunTrust Robinson Humphrey,Neutral,,main
2016-03-18,Barclays,Equal-Weight,,main
2016-04-04,Macquarie,Neutral,Outperform,down
2016-07-15,Scotiabank,Sector Perform,,init
2016-08-01,SunTrust Robinson Humphrey,Neutral,,main
2016-08-29,SunTrust Robinson Humphrey,Neutral,,main
2016-09-12,SunTrust Robinson Humphrey,Neutral,,main
2016-09-26,SunTrust Robinson Humphrey,Neutral,,main
2017-01-25,Credit Suisse,Neutral,,init
2017-01-30,UBS,Buy,Neutral,up
2017-07-24,Credit Suisse,Outperform,Neutral,up
2017-07-31,Morgan Stanley,Equal-Weight,,init
2017-08-10,Morgan Stanley,Equal-Weight,,main
2017-09-05,Guggenheim,Neutral,,init
2017-09-08,Morgan Stanley,Equal-Weight,,main
2017-10-24,Bank of America,Buy,,init
2017-11-13,Morgan Stanley,Equal-Weight,,main
2017-12-13,Morgan Stanley,Equal-Weight,,main
2017-12-18,Wells Fargo,Outperform,Market Perform,up
2018-02-02,UBS,Neutral,,init
2018-02-13,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-15,Hilliard Lyons,Long-Term Buy,Neutral,up
2018-02-26,Bank of America,Buy,Buy,main
2018-03-08,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-13,Citigroup,Neutral,,init
2018-04-16,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-18,KeyBanc,Overweight,Overweight,main
2018-05-30,KeyBanc,Overweight,Overweight,main
2018-06-13,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-09,Citigroup,Neutral,Neutral,main
2018-07-16,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-19,KeyBanc,Overweight,Overweight,main
2018-08-15,Barclays,Equal-Weight,,init
2018-09-10,Argus,Buy,Hold,up
2018-09-11,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-09-17,Wells Fargo,Outperform,Outperform,main
2018-09-21,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-02,Citigroup,Neutral,Neutral,main
2018-10-12,Bank of America,Neutral,Buy,down
2018-11-19,Barclays,Equal-Weight,Equal-Weight,main
2018-12-19,Citigroup,Neutral,Neutral,main
