,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,778000000.0,563000000.0,545000000.0,551000000.0
Minority Interest,,,,
Net Income,1486000000.0,-773000000.0,791000000.0,368000000.0
Selling General Administrative,-7000000.0,6000000.0,57000000.0,27000000.0
Gross Profit,3207000000.0,2929000000.0,2951000000.0,2502000000.0
Ebit,1370000000.0,1218000000.0,1195000000.0,841000000.0
Operating Income,1370000000.0,1218000000.0,1195000000.0,841000000.0
Other Operating Expenses,528000000.0,516000000.0,474000000.0,404000000.0
Interest Expense,-529000000.0,-529000000.0,-567000000.0,-420000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,110000000.0,80000000.0,30000000.0,155000000.0
Total Revenue,8352000000.0,7418000000.0,7564000000.0,6277000000.0
Total Operating Expenses,6982000000.0,6200000000.0,6369000000.0,5436000000.0
Cost Of Revenue,5145000000.0,4489000000.0,4613000000.0,3775000000.0
Total Other Income Expense Net,-592000000.0,-655000000.0,-650000000.0,-290000000.0
Discontinued Operations,818000000.0,-1256000000.0,276000000.0,-28000000.0
Net Income From Continuing Ops,668000000.0,483000000.0,515000000.0,396000000.0
Net Income Applicable To Common Shares,1391000000.0,-949000000.0,674000000.0,333000000.0
