Date,Firm,To Grade,From Grade,Action
2012-05-04,Bank oferica,Buy,,up
2012-06-21,Credit Suisse,Neutral,Outperform,down
2012-11-08,BMO Capital,Market Perform,,main
2012-11-08,Barclays,Equal-Weight,,main
2013-01-11,RBC Capital,Outperform,Sector Perform,up
2013-03-15,Morgan Stanley,Equal-Weight,,main
2013-03-18,Credit Suisse,Underperform,Neutral,down
2013-03-20,Citigroup,Buy,,main
2013-05-03,SunTrust Robinson Humphrey,Neutral,Buy,down
2013-05-03,Credit Suisse,Underperform,,main
2013-07-01,Macquarie,Outperform,Neutral,up
2013-08-08,UBS,Neutral,Buy,down
2013-11-26,Wolfe Research,Peer Perform,Outperform,down
2013-12-02,KeyBanc,Hold,Buy,down
2014-06-16,BMO Capital,Outperform,Market Perform,up
2014-07-01,Deutsche Bank,Hold,,main
2014-08-04,SunTrust Robinson Humphrey,Neutral,,main
2014-08-20,Argus,Buy,Hold,up
2014-09-22,SunTrust Robinson Humphrey,Buy,Neutral,up
2015-01-26,Citigroup,Neutral,,main
2015-02-03,Credit Suisse,Underperform,Outperform,down
2015-02-27,Deutsche Bank,Hold,,main
2015-04-13,Goldman Sachs,Neutral,,init
2015-06-08,SunTrust Robinson Humphrey,Buy,,main
2015-07-07,Ladenburg Thalmann,Neutral,,init
2015-08-11,Deutsche Bank,Hold,,main
2015-10-13,Credit Suisse,Neutral,Underperform,up
2015-10-19,Goldman Sachs,Sell,Neutral,down
2015-11-06,Macquarie,Neutral,,main
2015-11-06,Deutsche Bank,Hold,,main
2016-01-11,SunTrust Robinson Humphrey,Neutral,Buy,down
2016-01-27,Deutsche Bank,Hold,,main
2016-01-28,Macquarie,Neutral,,main
2016-02-16,SunTrust Robinson Humphrey,Neutral,,main
2016-02-29,Deutsche Bank,Hold,,main
2016-02-29,Credit Suisse,Neutral,,main
2016-03-07,SunTrust Robinson Humphrey,Neutral,,main
2016-03-24,Argus,Buy,,main
2016-05-09,Goldman Sachs,Neutral,Sell,up
2016-05-12,Deutsche Bank,Hold,,main
2016-06-22,Wells Fargo,Market Perform,Outperform,down
2016-07-05,Tudor Pickering,Hold,Buy,down
2016-08-01,SunTrust Robinson Humphrey,Neutral,,main
2016-08-08,Deutsche Bank,Hold,,main
2016-09-12,Evercore ISI Group,Hold,,init
2016-09-26,SunTrust Robinson Humphrey,Neutral,,main
2016-11-04,Guggenheim,Buy,,init
2016-11-08,Credit Suisse,Underperform,Neutral,down
2016-12-20,UBS,Neutral,,init
2017-08-14,Credit Suisse,Neutral,Underperform,up
2017-10-12,JP Morgan,Neutral,,main
2017-11-20,Citigroup,Neutral,,main
2017-12-04,Guggenheim,Neutral,Buy,down
2018-03-27,Citigroup,Neutral,Neutral,main
2018-03-28,Citigroup,Neutral,Neutral,main
2018-04-10,JP Morgan,Neutral,Neutral,main
2018-04-24,JP Morgan,Neutral,Neutral,main
2018-05-09,Credit Suisse,Outperform,Neutral,up
2018-06-28,Bank of America,Neutral,Underperform,up
2018-10-08,Wells Fargo,Outperform,Market Perform,up
2018-11-19,Barclays,Equal-Weight,Equal-Weight,main
2018-12-14,UBS,Buy,Neutral,up
2019-01-07,Guggenheim,Buy,Neutral,up
2019-01-18,RBC Capital,Outperform,Sector Perform,up
2019-05-15,JP Morgan,Overweight,,main
2019-06-03,Mizuho,Buy,,init
2019-06-05,Morgan Stanley,Equal-Weight,,init
2019-06-06,Morgan Stanley,Equal-Weight,,init
2019-06-13,Bank of America,Buy,Neutral,up
2019-06-14,Morgan Stanley,Equal-Weight,,main
2019-07-02,Goldman Sachs,Buy,,main
2019-08-13,Barclays,Overweight,Equal-Weight,up
2019-09-06,SunTrust Robinson Humphrey,Buy,Hold,up
2019-09-18,Wells Fargo,Outperform,,main
2019-10-17,UBS,Buy,,main
2019-11-08,Morgan Stanley,Equal-Weight,,main
2019-11-15,Wells Fargo,Outperform,,main
2019-11-15,UBS,Buy,,main
2019-11-15,Bank of America,Neutral,Buy,down
2019-11-15,SunTrust Robinson Humphrey,Hold,Buy,down
2019-11-15,Credit Suisse,Neutral,Outperform,down
2019-11-15,Guggenheim Securities,Neutral,Buy,down
2019-11-18,Goldman Sachs,Buy,,main
