Date,Firm,To Grade,From Grade,Action
2012-02-13,Morgan Stanley,Overweight,,main
2012-03-15,Jefferies,Hold,,main
2012-03-19,Jefferies,Buy,,up
2012-03-21,Morgan Stanley,Overweight,,main
2012-03-21,Guggenheim,Buy,,up
2012-03-28,Citigroup,Buy,,main
2012-03-28,Citigroup,Buy,,main
2012-03-29,Citigroup,Buy,,main
2012-04-23,JP Morgan,Overweight,,up
2012-05-08,Argus Research,Hold,,up
2012-07-20,Jefferies,Buy,,main
2012-10-02,Drexel Hamilton,Buy,,init
2012-10-19,Nomura,Neutral,,main
2012-10-22,Rochdale Securities,Buy,Hold,up
2012-12-14,Edward Jones,Buy,,init
2012-12-20,Susquehanna,Neutral,,init
2013-01-14,Goldman Sachs,Buy,Neutral,up
2013-01-15,JP Morgan,Overweight,,main
2013-01-18,Janney Capital,Neutral,Buy,down
2013-01-18,Oppenheimer,Outperform,,main
2013-01-18,Nomura,Neutral,,main
2013-01-18,Jefferies,Buy,,main
2013-01-18,Credit Suisse,Neutral,,main
2013-02-20,Rafferty,Buy,,init
2013-02-20,Guggenheim,Neutral,Buy,down
2013-02-25,Stifel Nicolaus,Buy,,main
2013-02-26,Jefferies,Buy,,main
2013-03-22,Goldman Sachs,Buy,,main
2013-04-23,Jefferies,Buy,,main
2013-05-28,Sandler O'Neill,Hold,,init
2013-06-17,Rafferty,Hold,Buy,down
2013-07-16,JP Morgan,Overweight,,main
2013-07-25,Morgan Stanley,Equal-Weight,Overweight,down
2013-10-08,Jefferies,Buy,,main
2013-10-10,Guggenheim,Buy,Neutral,up
2013-10-14,SunTrust Robinson Humphrey,Buy,,init
2014-01-07,Goldman Sachs,Buy,,main
2014-01-14,UBS,Buy,,init
2014-01-17,Susquehanna,Neutral,Positive,down
2014-04-17,Nomura,Neutral,,main
2014-04-17,Bank of America,Buy,,main
2014-04-21,Rafferty,Buy,Hold,up
2014-06-09,Nomura,Buy,Neutral,up
2014-07-14,Citigroup,Buy,,main
2014-07-16,JP Morgan,Overweight,,main
2014-07-18,FBR Capital,Outperform,,main
2014-07-18,Barclays,Overweight,,main
2014-07-24,UBS,Buy,,main
2014-10-07,Oppenheimer,Outperform,,main
2014-11-11,Nomura,Neutral,Buy,down
2014-11-13,Deutsche Bank,Buy,,init
2014-12-18,Jefferies,Hold,,init
2015-01-05,Barclays,Overweight,,main
2015-01-23,Citigroup,Buy,,main
2015-01-23,JP Morgan,Overweight,,main
2015-01-28,Guggenheim,Neutral,Buy,down
2015-03-13,Oppenheimer,Outperform,,main
2015-04-24,FBR Capital,Market Perform,Outperform,down
2015-04-24,FBR Capital,Market Perform,Outperform,down
2015-05-06,Bernstein,Outperform,,main
2015-06-04,CLSA,Outperform,,init
2015-06-18,Stifel Nicolaus,Buy,,init
2015-07-24,Goldman Sachs,Neutral,Buy,down
2015-07-24,JP Morgan,Neutral,Overweight,down
2015-07-24,Wells Fargo,Market Perform,Outperform,down
2015-07-27,CLSA,Buy,Outperform,up
2015-07-30,Morgan Stanley,Overweight,Equal-Weight,up
2015-10-06,Oppenheimer,Outperform,,main
2015-12-09,Sterne Agee CRT,Neutral,,init
2015-12-22,Evercore ISI Group,Hold,,init
2016-01-05,Oppenheimer,Outperform,Perform,down
2016-01-07,Deutsche Bank,Hold,Buy,down
2016-01-13,DA Davidson,Neutral,,init
2016-01-14,RBC Capital,Outperform,,main
2016-01-27,Jefferies,Hold,,main
2016-02-11,Nomura,Neutral,,main
2016-02-11,Bank of America,Neutral,Buy,down
2016-02-18,Deutsche Bank,Hold,,main
2016-04-01,JP Morgan,Overweight,Neutral,up
2016-04-05,Oppenheimer,Underperform,Perform,down
2016-04-06,Guggenheim,Neutral,Buy,down
2016-04-08,Deutsche Bank,Hold,,main
2016-04-27,Bank of America,Underperform,Neutral,down
2016-04-27,Sandler O'Neil,Buy,Hold,up
2016-05-09,Guggenheim,Neutral,Sell,up
2016-06-08,Sterne Agee CRT,Underperform,Neutral,down
2016-07-07,Deutsche Bank,Hold,,main
2016-07-08,DA Davidson,Buy,,up
2016-07-25,Rafferty,Hold,Buy,down
2016-09-23,CLSA,Buy,,main
2016-10-05,Deutsche Bank,Hold,,main
2016-10-11,Wedbush,Neutral,,init
2016-11-14,Stifel Nicolaus,Hold,Buy,down
2016-11-16,Baird,Neutral,Outperform,down
2016-12-15,Bank of America,Neutral,Underperform,up
2017-02-17,Goldman Sachs,Buy,Neutral,up
2017-03-29,Nomura,Buy,Neutral,up
2017-05-01,Deutsche Bank,Buy,Hold,up
2017-07-05,Wedbush,Underperform,Neutral,down
2017-07-10,Oppenheimer,Underperform,,main
2017-07-21,Oppenheimer,Perform,Underperform,up
2017-08-10,Compass Point,Neutral,,init
2017-09-08,Morgan Stanley,Equal-Weight,Overweight,down
2017-09-21,PiperJaffray,Underweight,,init
2017-10-02,Buckingham,Buy,,init
2017-10-25,BMO Capital,Outperform,,main
2017-10-25,Bank of America,Neutral,,main
2017-10-25,Wells Fargo,Outperform,,main
2017-10-25,Wedbush,Neutral,Underperform,up
2017-12-18,PiperJaffray,Neutral,Underweight,up
2017-12-18,Bank of America,Buy,Neutral,up
2017-12-22,Compass Point,Buy,Neutral,up
2018-01-03,Deutsche Bank,Hold,,init
2018-01-24,Credit Suisse,Neutral,Neutral,main
2018-01-24,Buckingham,Buy,Buy,main
2018-01-25,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-02,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-21,Instinet,Neutral,Buy,down
2018-03-28,UBS,Buy,,init
2018-04-05,Citigroup,Buy,,init
2018-04-25,BMO Capital,Outperform,Outperform,main
