,2021-10-31,2020-10-31,2019-10-31,2018-10-31
Research Development,92700000.0,93300000.0,86700000.0,84800000.0
Effect Of Accounting Charges,,,,
Income Before Tax,491500000.0,266500000.0,477400000.0,331900000.0
Minority Interest,200000.0,200000.0,200000.0,200000.0
Net Income,2944700000.0,238400000.0,466700000.0,139900000.0
Selling General Administrative,1142400000.0,990900000.0,993300000.0,973300000.0
Gross Profit,1985200000.0,1624900000.0,1756800000.0,1632300000.0
Ebit,604000000.0,403500000.0,531000000.0,427500000.0
Operating Income,604000000.0,403500000.0,531000000.0,427500000.0
Other Operating Expenses,,,,
Interest Expense,-23100000.0,-36800000.0,-68000000.0,-82700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-2453200000.0,28100000.0,10700000.0,192000000.0
Total Revenue,2922500000.0,2430900000.0,2653400000.0,2532800000.0
Total Operating Expenses,2318500000.0,2027400000.0,2122400000.0,2105300000.0
Cost Of Revenue,937300000.0,806000000.0,896600000.0,900500000.0
Total Other Income Expense Net,-112500000.0,-137000000.0,-53600000.0,-95600000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2944700000.0,238400000.0,466700000.0,139900000.0
Net Income Applicable To Common Shares,2944700000.0,238400000.0,466700000.0,139900000.0
