Date,Firm,To Grade,From Grade,Action
2012-02-10,Deutsche Bank,Buy,,up
2012-03-06,UBS,Sell,,main
2012-04-10,UBS,Sell,,main
2012-04-17,UBS,Sell,,main
2012-04-17,Jefferies,Hold,,main
2012-04-24,Morgan Stanley,Underweight,,main
2012-05-01,Morgan Stanley,Underweight,,main
2012-05-01,UBS,Sell,,main
2012-05-02,Bank oferica,Underperform,,down
2012-05-03,Deutsche Bank,Hold,,main
2012-05-29,Citigroup,Buy,,up
2012-06-26,Oppenheimer,Outperform,,main
2012-08-13,Societe Generale,Buy,Hold,up
2013-03-01,JP Morgan,Overweight,,main
2013-03-01,Credit Suisse,Neutral,,main
2013-03-22,Citigroup,Buy,,main
2013-04-23,Cowen & Co.,Hold,,init
2013-06-05,Barclays,Overweight,Equal-Weight,up
2013-06-17,Jefferies,Hold,,main
2013-06-18,Scotia Howard Weil,Sector Perform,Sector Outperform,down
2013-08-02,UBS,Sell,,main
2013-08-13,ISI Group,Strong Buy,Buy,up
2013-09-12,Guggenheim,Buy,,init
2014-01-06,Raymond James,Market Perform,Underperform,up
2014-01-27,Guggenheim,Neutral,Buy,down
2014-04-03,BMO Capital,Market Perform,,init
2014-04-11,Bank of America,Underperform,,main
2014-05-02,Barclays,Overweight,,main
2014-05-02,Bank of America,Underperform,,main
2014-05-19,Argus,Buy,,main
2014-05-21,Citigroup,Buy,,main
2014-05-28,Guggenheim,Buy,Neutral,up
2014-06-06,Oppenheimer,Outperform,,main
2014-06-10,Deutsche Bank,Buy,,init
2014-06-11,Scotia Howard Weil,Sector Outperform,Sector Perform,up
2014-06-13,Jefferies,Hold,,init
2014-06-20,Barclays,Overweight,,main
2014-07-17,Deutsche Bank,Buy,,main
2014-07-25,Barclays,Overweight,,main
2014-08-07,Argus,Buy,,main
2014-08-13,Simmons & Co.,Overweight,Neutral,up
2014-09-09,Bank of America,Neutral,Underperform,up
2014-10-06,UBS,Neutral,Sell,up
2014-10-20,Morgan Stanley,Equal-Weight,,main
2014-10-21,Jefferies,Hold,,main
2014-12-01,Citigroup,Buy,,main
2014-12-09,Credit Suisse,Neutral,,main
2015-01-05,Citigroup,Buy,,main
2015-01-13,JP Morgan,Underweight,,init
2015-01-14,Barclays,Overweight,,main
2015-01-15,Jefferies,Hold,,main
2015-02-26,Citigroup,Buy,,main
2015-03-09,Goldman Sachs,Neutral,,init
2015-04-22,Nomura,Neutral,,init
2015-04-22,Edward Jones,Hold,Buy,down
2015-07-07,Barclays,Overweight,,main
2015-08-03,Barclays,Overweight,,main
2015-08-04,Oppenheimer,Perform,Outperform,down
2015-08-07,Bernstein,Outperform,,init
2015-09-08,Credit Suisse,Neutral,,main
2015-10-12,Barclays,Overweight,,main
2015-12-15,JP Morgan,Underweight,,main
2016-01-07,Deutsche Bank,Buy,,main
2016-01-21,Nomura,Neutral,,main
2016-02-04,Societe Generale,Hold,Buy,down
2016-02-05,UBS,Neutral,,main
2016-02-05,Bernstein,Outperform,,main
2016-02-10,Wolfe Research,Peer Perform,Outperform,down
2016-03-29,Deutsche Bank,Buy,,main
2016-04-21,Jefferies,Underperform,Hold,down
2016-04-29,Citigroup,Buy,,main
2016-07-11,JP Morgan,Neutral,Underweight,up
2016-09-07,Jefferies,Hold,Underperform,up
2016-09-12,JP Morgan,Overweight,Neutral,up
2016-10-24,Wolfe Research,Outperform,Peer Perform,up
2016-10-28,PiperJaffray,Overweight,Neutral,up
2016-11-07,Edward Jones,Buy,Hold,up
2016-11-15,CLSA,Underperform,Outperform,down
2016-11-28,Goldman Sachs,Buy,Neutral,up
2016-12-12,Cowen & Co.,Outperform,Hold,up
2017-03-30,UBS,Buy,Neutral,up
2017-05-11,Bank of America,Neutral,Buy,down
2017-05-17,Jefferies,Buy,Hold,up
2017-07-06,Bernstein,Market Perform,Outperform,down
2017-07-21,Citigroup,Buy,,main
2017-07-28,Bank of America,Buy,Neutral,up
2017-10-10,Barclays,Overweight,,main
2017-10-18,Morgan Stanley,Equal-Weight,,main
2017-10-27,Barclays,Overweight,,main
2017-10-27,Wells Fargo,Outperform,,main
2017-12-12,Credit Suisse,Neutral,,init
2017-12-14,Goldman Sachs,Buy,Neutral,up
2018-01-24,Morgan Stanley,Equal-Weight,Equal-Weight,main
