Date,Firm,To Grade,From Grade,Action
2012-02-28,Oppenheimer,Perform,,init
2012-03-01,Jefferies,Hold,,main
2012-05-01,Deutsche Bank,Hold,,down
2012-05-10,ISI Group,Buy,,up
2012-05-25,Citigroup,Neutral,,main
2012-05-25,Goldman Sachs,Neutral,,main
2012-05-29,JP Morgan,Overweight,,main
2012-05-30,McAdams Wright Ragen,Hold,,main
2012-06-28,Deutsche Bank,Buy,Hold,up
2012-07-02,Stifel Nicolaus,Buy,,main
2012-07-02,PiperJaffray,Overweight,,main
2012-08-01,JP Morgan,Overweight,,main
2012-08-31,Jefferies,Hold,,main
2012-09-05,JP Morgan,Overweight,,main
2012-09-18,PiperJaffray,Overweight,,main
2012-09-26,Bank of America,Buy,,main
2012-10-02,Stifel Nicolaus,Buy,,main
2012-10-05,Jefferies,Hold,,main
2012-10-10,Credit Suisse,Outperform,,main
2012-10-10,Oppenheimer,Perform,,main
2012-10-11,Oppenheimer,Overweight,,main
2012-10-11,Jefferies,Hold,,main
2012-10-11,Citigroup,Neutral,,main
2012-10-11,McAdams Wright Ragen,Hold,,main
2012-10-11,Barclays,Equal-Weight,,main
2012-10-15,BMO Capital,Market Perform,Underperform,up
2012-10-17,Deutsche Bank,Buy,,main
2012-11-05,BMO Capital,Outperform,Market Perform,up
2012-11-28,McAdams Wright Ragen,Hold,,main
2012-12-11,PiperJaffray,Overweight,,main
2012-12-13,McAdams Wright Ragen,Hold,,main
2012-12-13,Citigroup,Neutral,,main
2013-01-23,Bernstein,Market Perform,Underperform,up
2013-02-26,Cowen & Co.,Neutral,,init
2013-03-06,PiperJaffray,Overweight,,main
2013-03-13,Citigroup,Neutral,,main
2013-03-19,Morgan Stanley,Overweight,,main
2013-04-09,Jefferies,Hold,,main
2013-04-16,UBS,Buy,,init
2013-05-28,Deutsche Bank,Buy,,main
2013-05-31,Jefferies,Hold,,main
2013-06-05,Sterne Agee,Buy,,init
2013-07-24,Williams Capital,Outperform,,init
2013-08-05,Stifel Nicolaus,Buy,,main
2013-10-03,Deutsche Bank,Buy,,main
2013-11-12,UBS,Neutral,Buy,down
2014-01-21,Northcoast Research,Neutral,Buy,down
2014-02-13,Nomura,Buy,,init
2014-02-17,JP Morgan,Overweight,,main
2014-03-20,UBS,Neutral,,main
2014-05-09,UBS,Neutral,,main
2014-06-24,Morgan Stanley,Overweight,,init
2014-09-03,Northcoast Research,Buy,Neutral,up
2014-09-15,Citigroup,Buy,,init
2014-09-25,Jefferies,Hold,,main
2014-10-02,UBS,Neutral,,main
2014-10-03,Oppenheimer,Perform,,main
2014-10-06,Deutsche Bank,Buy,,main
2014-10-07,Jefferies,Hold,,main
2014-10-29,Tigress Financial,Buy,Strong Buy,down
2014-12-05,Jefferies,Hold,,main
2014-12-10,Credit Suisse,Outperform,,main
2014-12-11,JP Morgan,Overweight,,main
2014-12-11,UBS,Neutral,,main
2014-12-12,Janney Capital,Neutral,Buy,down
2014-12-16,Cowen & Co.,Outperform,,init
2015-01-07,Jefferies,Hold,,main
2015-01-13,Goldman Sachs,Neutral,Buy,down
2015-01-16,BMO Capital,Outperform,,init
2015-02-05,Deutsche Bank,Hold,Buy,down
2015-03-06,Barclays,Equal-Weight,,main
2015-06-09,Macquarie,Neutral,,init
2015-07-09,Deutsche Bank,Hold,,main
2015-07-10,Oppenheimer,Outperform,Perform,up
2015-09-22,Sterne Agee CRT,Buy,,main
2015-10-02,Sterne Agee CRT,Buy,,main
2015-10-05,JP Morgan,Overweight,,main
2015-10-26,UBS,Buy,Neutral,up
2015-11-03,Northcoast Research,Neutral,Buy,down
2015-11-09,Citigroup,Neutral,,init
2015-12-03,Deutsche Bank,Buy,Hold,up
2015-12-09,Deutsche Bank,Buy,,main
2015-12-10,Barclays,Equal-Weight,,main
2016-02-05,BMO Capital,Outperform,,main
2016-02-12,Oppenheimer,Outperform,,main
2016-02-26,Cleveland Research,Neutral,Buy,down
