,2021-07-31,2020-07-31,2019-07-31,2018-07-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1121846000.0,800839000.0,704951000.0,562511000.0
Minority Interest,,,,
Net Income,936495000.0,699907000.0,591693000.0,417867000.0
Selling General Administrative,241025000.0,233521000.0,212467000.0,176890000.0
Gross Profit,1377451000.0,1049620000.0,928942000.0,762366000.0
Ebit,1136426000.0,816099000.0,716475000.0,585476000.0
Operating Income,1136426000.0,816099000.0,716475000.0,585476000.0
Other Operating Expenses,,,,
Interest Expense,-20247000.0,-18871000.0,-17585000.0,-20368000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,185351000.0,100932000.0,113258000.0,144504000.0
Total Revenue,2692511000.0,2205583000.0,2041957000.0,1805695000.0
Total Operating Expenses,1556085000.0,1389484000.0,1325482000.0,1220219000.0
Cost Of Revenue,1315060000.0,1155963000.0,1113015000.0,1043329000.0
Total Other Income Expense Net,-14580000.0,-15260000.0,-11524000.0,-22965000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,936495000.0,699907000.0,591693000.0,418007000.0
Net Income Applicable To Common Shares,936495000.0,699907000.0,591693000.0,417867000.0
