,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,314269000.0,130551000.0,225359000.0,162118000.0
Minority Interest,68765000.0,71682000.0,73039000.0,73681000.0
Net Income,303907000.0,123911000.0,219623000.0,156128000.0
Selling General Administrative,59368000.0,53624000.0,53201000.0,50735000.0
Gross Profit,717242000.0,647197000.0,651434000.0,598062000.0
Ebit,237182000.0,226411000.0,261959000.0,246381000.0
Operating Income,237182000.0,226411000.0,261959000.0,246381000.0
Other Operating Expenses,,,,
Interest Expense,-97297000.0,-91526000.0,-80706000.0,-84263000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1893000.0,1972000.0,1089000.0,1424000.0
Total Revenue,1165117000.0,1065638000.0,1048830000.0,971673000.0
Total Operating Expenses,927935000.0,839227000.0,786871000.0,725292000.0
Cost Of Revenue,447875000.0,418441000.0,397396000.0,373611000.0
Total Other Income Expense Net,77087000.0,-95860000.0,-33812000.0,-76427000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,312376000.0,128579000.0,224270000.0,160694000.0
Net Income Applicable To Common Shares,303362000.0,123650000.0,219084000.0,155021000.0
