,2021-12-25,2020-12-26,2019-12-28,2018-12-29
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,480710000.0,447114000.0,304084000.0,281681000.0
Minority Interest,57172000.0,29066000.0,31891000.0,20971000.0
Net Income,390982000.0,364304000.0,252019000.0,226373000.0
Selling General Administrative,578226000.0,511282000.0,487687000.0,435642000.0
Gross Profit,1337470000.0,1078914000.0,965026000.0,842686000.0
Ebit,634387000.0,455755000.0,387801000.0,342214000.0
Operating Income,634387000.0,455755000.0,387801000.0,342214000.0
Other Operating Expenses,,,,
Interest Expense,-73910000.0,-86433000.0,-60882000.0,-63772000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,81873000.0,81808000.0,50023000.0,54463000.0
Total Revenue,3540160000.0,2923933000.0,2621226000.0,2266096000.0
Total Operating Expenses,2905773000.0,2468178000.0,2233425000.0,1923882000.0
Cost Of Revenue,2202690000.0,1845019000.0,1656200000.0,1423410000.0
Total Other Income Expense Net,-153677000.0,-8641000.0,-83717000.0,-60533000.0
Discontinued Operations,,,,1506000.0
Net Income From Continuing Ops,398837000.0,365306000.0,254061000.0,227218000.0
Net Income Applicable To Common Shares,390982000.0,364304000.0,252019000.0,226373000.0
