Date,Firm,To Grade,From Grade,Action
2012-04-02,Sterne Agee,Buy,,main
2012-07-10,ISI Group,Underweight,,init
2012-10-31,Jefferies,Hold,,main
2012-12-13,Wells Fargo,Outperform,Market Perform,up
2012-12-13,JP Morgan,Overweight,Neutral,up
2013-01-14,Sterne Agee,Buy,,main
2013-02-19,Jefferies,Buy,Hold,up
2013-02-20,ISI Group,Neutral,,main
2013-03-18,Bank of America,Neutral,,init
2013-03-27,Wells Fargo,Market Perform,Outperform,down
2013-04-03,Citigroup,Sell,Neutral,down
2013-05-31,Raymond James,Underperform,Market Perform,down
2013-06-11,Sterne Agee,Buy,,init
2013-06-18,Goldman Sachs,Sell,Neutral,down
2013-09-17,UBS,Neutral,,init
2013-09-24,Credit Suisse,Neutral,,init
2013-10-01,Cantor Fitzgerald,Buy,,init
2013-11-20,Deutsche Bank,Hold,,init
2013-12-11,Raymond James,Market Perform,Underperform,up
2013-12-12,Bank of America,Neutral,,main
2014-02-18,Citigroup,Neutral,,init
2014-03-19,KeyBanc,Hold,,init
2014-05-02,Citigroup,Hold,,main
2014-06-24,SunTrust Robinson Humphrey,Neutral,,init
2014-08-08,Credit Suisse,Neutral,,main
2014-08-08,JP Morgan,Overweight,,main
2014-08-13,Deutsche Bank,Hold,,main
2014-10-15,SunTrust Robinson Humphrey,Buy,Neutral,up
2014-10-30,Jefferies,Buy,,main
2014-10-31,Deutsche Bank,Hold,,main
2014-11-03,Citigroup,Neutral,,main
2014-11-05,Credit Suisse,Neutral,,main
2015-01-16,Jefferies,Buy,,main
2015-01-23,William Blair,Outperform,Market Perform,up
2015-01-28,Jefferies,Buy,,main
2015-02-12,Deutsche Bank,Hold,,main
2015-02-12,Jefferies,Buy,,main
2015-03-26,SunTrust Robinson Humphrey,Neutral,Buy,down
2015-04-07,Wells Fargo,Underperform,Market Perform,down
2015-04-24,Jefferies,Buy,,main
2015-04-24,Barclays,Equal-Weight,,main
2015-05-04,Edward Jones,Buy,Neutral,up
2015-07-10,Bank of America,Buy,Neutral,up
2015-07-10,Morgan Stanley,Equal-Weight,,main
2015-07-10,Barclays,Underweight,Equal-Weight,down
2015-07-31,Citigroup,Neutral,,main
2015-10-12,Wells Fargo,Market Perform,Underperform,up
2015-11-05,Deutsche Bank,Hold,,main
2016-01-07,Wells Fargo,Outperform,Market Perform,down
2016-01-08,Jefferies,Buy,,main
2016-01-08,Baird,Outperform,,main
2016-02-11,Deutsche Bank,Hold,,main
2016-02-11,UBS,Neutral,,main
2016-04-26,Gabelli & Co.,Buy,,init
2016-05-20,Barclays,Underweight,,main
2016-06-21,Credit Suisse,Neutral,,init
2016-08-04,Jefferies,Buy,,main
2016-08-04,Citigroup,Neutral,,main
2016-09-06,UBS,Sell,Neutral,down
2016-11-30,Barclays,Equal-Weight,Underweight,up
2016-12-16,Goldman Sachs,Neutral,Sell,up
2017-01-04,Evercore ISI Group,Buy,Hold,up
2017-09-19,RBC Capital,Sector Perform,,init
2017-10-09,Jefferies,Buy,,main
2017-11-10,Bank of America,Buy,,main
2017-11-13,Jefferies,Buy,,main
2017-12-13,Argus,Buy,,init
2018-01-19,Evercore ISI Group,In-Line,,init
2018-01-22,SunTrust Robinson Humphrey,Hold,Buy,down
2018-02-14,JP Morgan,Overweight,Overweight,main
2018-02-14,SunTrust Robinson Humphrey,Buy,Hold,up
2018-03-14,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-20,Mitsubishi UFJ,Neutral,,init
2018-06-15,KeyBanc,Overweight,Sector Weight,up
2018-07-16,Bank of America,Buy,Buy,main
2018-07-17,RBC Capital,Outperform,Sector Perform,up
2018-08-09,Barclays,Equal-Weight,Equal-Weight,main
2018-08-09,Jefferies,Buy,Buy,main
2018-08-21,Credit Suisse,Neutral,Neutral,main
2018-08-23,Raymond James,Outperform,Market Perform,up
2018-08-27,Argus,Buy,Buy,main
