Date,Firm,To Grade,From Grade,Action
2012-02-09,UBS,Buy,,main
2012-02-09,Wunderlich,Buy,,main
2012-02-09,ISI Group,Neutral,,down
2012-02-09,Deutsche Bank,Buy,,main
2012-02-09,Oppenheimer,Outperform,,main
2012-02-09,Goldman Sachs,Buy,,main
2012-02-09,Miller Tabak,Hold,,main
2012-02-09,FBN Securities,Outperform,,main
2012-02-09,Bank oferica,Buy,,main
2012-02-09,Evercore Partners,Overweight,,main
2012-02-09,Stifel Nicolaus,Buy,,main
2012-02-09,Morgan Keegan,Outperform,,main
2012-03-07,Cantor Fitzgerald,Buy,,init
2012-04-10,Morgan Stanley,Overweight,,main
2012-05-10,Miller Tabak,Hold,,main
2012-05-10,UBS,Buy,,main
2012-05-10,Stifel Nicolaus,Buy,,main
2012-05-10,Oppenheimer,Outperform,,main
2012-05-10,Deutsche Bank,Buy,,main
2012-05-11,FBN Securities,Outperform,,main
2012-06-11,Cantor Fitzgerald,Buy,,main
2012-06-22,ThinkEquity,Hold,,init
2012-07-13,Sterne Agee,Buy,,main
2012-08-09,Goldman Sachs,Buy,Buy,up
2012-08-09,PiperJaffray,Overweight,Neutral,up
2012-08-10,Needham,Hold,,init
2012-08-16,FBN Securities,Outperform,,main
2012-08-16,JP Morgan,Overweight,,main
2012-08-16,Wedbush,Outperform,,main
2012-08-16,PiperJaffray,Overweight,,main
2012-08-16,Citigroup,Buy,,main
2012-08-16,Barclays,Overweight,,main
2012-09-07,Barclays,Overweight,,main
2012-09-10,JP Morgan,Overweight,,main
2012-10-09,Buckingham Research,Buy,,init
2012-11-05,Deutsche Bank,Buy,,main
2012-11-09,JP Morgan,Neutral,Overweight,down
2012-11-14,Pacific Crest,Outperform,Sector Perform,up
2012-11-14,Deutsche Bank,Buy,,main
2012-12-10,PiperJaffray,Overweight,,main
2012-12-10,JP Morgan,Neutral,,main
2012-12-10,Goldman Sachs,Buy,,main
2012-12-20,JP Morgan,Neutral,,main
2013-01-14,Baird,Outperform,Neutral,up
2013-01-14,William Blair,Outperform,Market Perform,up
2013-01-17,JP Morgan,Underweight,Neutral,down
2013-02-04,Deutsche Bank,Buy,,main
2013-02-06,BMO Capital,Outperform,,main
2013-02-11,Wedbush,Outperform,,main
2013-02-12,PiperJaffray,Overweight,,main
2013-02-14,Stifel Nicolaus,Buy,,main
2013-02-14,Topeka,Buy,,main
2013-02-14,Nomura,Buy,,main
2013-02-14,Jefferies,Hold,,main
2013-03-12,Standpoint,Hold,Buy,down
2013-03-21,FBR Capital,Underperform,Market Perform,down
2013-03-28,UBS,Buy,,main
2013-05-07,Cowen & Co.,Outperform,,init
