,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,4951000000.0,3627000000.0,4316000000.0,4304000000.0
Minority Interest,10000000.0,9000000.0,15000000.0,17000000.0
Net Income,3781000000.0,2765000000.0,3331000000.0,3309000000.0
Selling General Administrative,,,,
Gross Profit,6643000000.0,5760000000.0,6228000000.0,6262000000.0
Ebit,5223000000.0,4377000000.0,4879000000.0,4931000000.0
Operating Income,5223000000.0,4377000000.0,4879000000.0,4931000000.0
Other Operating Expenses,,,,
Interest Expense,-722000000.0,-754000000.0,-737000000.0,-639000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1170000000.0,862000000.0,985000000.0,995000000.0
Total Revenue,12522000000.0,10583000000.0,11937000000.0,12250000000.0
Total Operating Expenses,7299000000.0,6206000000.0,7058000000.0,7319000000.0
Cost Of Revenue,5879000000.0,4823000000.0,5709000000.0,5988000000.0
Total Other Income Expense Net,-272000000.0,-750000000.0,-563000000.0,-627000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3781000000.0,2765000000.0,3331000000.0,3309000000.0
Net Income Applicable To Common Shares,3781000000.0,2765000000.0,3331000000.0,3308000000.0
