Date,Firm,To Grade,From Grade,Action
2012-03-15,Bank oferica,Buy,,main
2012-04-02,Jefferies,Buy,,main
2012-04-16,Deutsche Bank,Buy,,main
2012-04-19,Sterne Agee,Buy,,main
2012-07-19,Deutsche Bank,Buy,,main
2012-09-06,Goldman Sachs,Buy,,main
2012-09-20,Deutsche Bank,Buy,,main
2012-09-20,BMO Capital,Outperform,,main
2012-10-03,Bernstein,Market Perform,Underperform,up
2012-10-15,Barclays,Overweight,,main
2012-10-18,Barclays,Overweight,,main
2012-10-18,Jefferies,Buy,,main
2012-10-18,Deutsche bank,Hold,Buy,down
2012-11-20,Avondale Partners,Market Perform,Market Outperform,down
2012-12-13,JP Morgan,Neutral,,main
2012-12-19,UBS,Neutral,,main
2013-01-03,Jefferies,Buy,,main
2013-01-07,Barclays,Overweight,,main
2013-01-10,Goldman Sachs,Neutral,Buy,down
2013-01-10,Raymond James,Market Perform,Outperform,down
2013-01-14,Deutsche Bank,Hold,,main
2013-01-18,Credit Suisse,Neutral,Outperform,down
2013-01-23,BMO Capital,Outperform,,main
2013-01-24,RBC Capital,Outperform,Sector Perform,up
2013-01-24,BMO Capital,Outperform,,main
2013-01-24,Jefferies,Buy,,main
2013-01-28,Jefferies,Buy,,main
2013-04-03,JP Morgan,Neutral,,main
2013-04-05,Citigroup,Buy,,main
2013-04-10,Jefferies,Buy,,main
2013-04-10,Deutsche Bank,Hold,,main
2013-04-18,Jefferies,Buy,,main
2013-07-11,Buckingham Research,Buy,,init
2013-07-17,BB&T Capital,Hold,Buy,down
2013-07-17,BB&T Capital,Hold,Buy,down
2013-10-04,Citigroup,Neutral,Buy,down
2013-10-16,BMO Capital,Market Perform,Outperform,down
2013-10-17,RBC Capital,Sector Perform,Outperform,down
2013-12-13,Bank of America,Buy,,main
2013-12-16,Deutsche Bank,Hold,,main
2013-12-20,Citigroup,Neutral,,main
2014-01-16,Argus,Buy,Hold,up
2014-01-16,Stifel,Hold,Buy,down
2014-01-27,Atlantic Equities,Neutral,Overweight,down
2014-04-03,Barclays,Equal-Weight,Overweight,down
2014-04-10,Macquarie,Outperform,,init
2014-04-16,Bank of America,Buy,,main
2014-04-22,Argus,Buy,,main
2014-06-24,FBR Capital,Outperform,,main
2014-06-27,Citigroup,Neutral,,main
2014-06-30,Barclays,Equal-Weight,,main
2014-07-15,Deutsche Bank,Hold,,main
2014-07-16,Citigroup,Neutral,,main
2014-07-17,Macquarie,Outperform,,main
2014-07-17,Credit Suisse,Neutral,,main
2014-07-17,Argus,Buy,,main
2014-08-12,Macquarie,Neutral,,main
2014-08-12,Macquarie,Neutral,Outperform,down
2014-10-07,Citigroup,Neutral,,main
2014-10-14,Deutsche Bank,Hold,,main
2014-10-16,Credit Suisse,Outperform,Neutral,up
2014-12-01,TD Securities,Hold,Buy,down
2014-12-04,Citigroup,Buy,Neutral,up
2014-12-16,Bank of America,Buy,,main
2015-01-06,UBS,Neutral,Buy,down
2015-01-12,Barclays,Equal-Weight,,main
2015-01-15,Credit Suisse,Outperform,,main
2015-01-15,Deutsche Bank,Hold,,main
2015-01-16,Susquehanna,Positive,Neutral,up
