Date,Firm,To Grade,From Grade,Action
2012-03-08,JP Morgan,Overweight,,up
2012-03-14,Citigroup,Buy,,main
2012-03-21,Citigroup,Buy,,main
2012-03-21,Barrington Research,Outperform,,main
2012-03-27,Morgan Stanley,Underweight,,main
2012-05-17,KeyBanc,Hold,,down
2012-07-17,Barrington Research,Market Perform,Outperform,down
2012-07-17,Citigroup,Buy,,main
2012-07-30,Morgan Stanley,Underweight,,main
2012-09-21,Citigroup,Buy,,main
2012-09-21,JP Morgan,Overweight,,main
2012-09-21,Bank of America,Underperform,,main
2012-09-24,Citigroup,Buy,,main
2013-05-29,Jefferies,Buy,,init
2013-05-30,Jefferies,Buy,,init
2013-06-27,Jefferies,Buy,,main
2013-07-02,RBC Capital,Outperform,,init
2013-09-20,Barclays,Equal-Weight,,main
2013-11-18,PiperJaffray,Neutral,,init
2013-12-16,Credit Suisse,Neutral,,init
2013-12-20,Bank of America,Underperform,,main
2013-12-23,Credit Suisse,Neutral,,main
2014-01-21,Barclays,Equal-Weight,,main
2014-07-17,JP Morgan,Overweight,,main
2014-09-15,Jefferies,Buy,,main
2014-09-30,Barclays,Equal-Weight,,main
2014-12-19,JP Morgan,Overweight,,main
2014-12-19,Bank of America,Underperform,,main
2014-12-22,Jefferies,Buy,,main
2014-12-22,Barclays,Equal-Weight,,main
2015-03-20,Barclays,Equal-Weight,,main
2015-08-14,Morgan Stanley,Equal-Weight,,init
2015-09-25,Bank of America,Underperform,,main
2015-12-22,Barclays,Equal-Weight,,main
2016-02-17,Morgan Stanley,Underweight,Equal-Weight,down
2016-03-22,Sterne Agee CRT,Neutral,,init
2016-04-13,KeyBanc,Overweight,Sector Weight,up
2016-04-19,Nomura,Buy,,init
2016-07-20,Barclays,Equal-Weight,,main
2016-08-11,Barclays,Equal-Weight,,main
2016-08-17,KeyBanc,Overweight,,main
2016-08-17,Nomura,Buy,,main
2016-08-17,Baird,Outperform,Neutral,up
2016-08-17,Morgan Stanley,Underweight,,main
2016-08-17,Barclays,Overweight,Equal-Weight,up
2016-08-25,Macquarie,Neutral,,init
2016-08-26,Nomura,Buy,,main
2016-10-03,KeyBanc,Overweight,,main
2017-02-22,Deutsche Bank,Hold,,init
2017-06-27,Instinet,Neutral,Buy,down
2017-07-21,Deutsche Bank,Hold,,main
2017-07-25,Morgan Stanley,Underweight,,main
2017-09-27,Barclays,Overweight,,main
