,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1502000000.0,242000000.0,900000000.0,698137000.0
Minority Interest,,,,
Net Income,1158000000.0,201000000.0,681000000.0,557043000.0
Selling General Administrative,164000000.0,106000000.0,95000000.0,96641000.0
Gross Profit,2851000000.0,761000000.0,1333000000.0,1393141000.0
Ebit,1672000000.0,296000000.0,876000000.0,786991000.0
Operating Income,1672000000.0,296000000.0,876000000.0,786991000.0
Other Operating Expenses,304000000.0,-47000000.0,-64000000.0,-21790000.0
Interest Expense,-62000000.0,-54000000.0,-55000000.0,-73201000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,344000000.0,41000000.0,219000000.0,141094000.0
Total Revenue,3670000000.0,1405000000.0,1985000000.0,2143716000.0
Total Operating Expenses,1998000000.0,1109000000.0,1109000000.0,1356725000.0
Cost Of Revenue,819000000.0,644000000.0,652000000.0,750575000.0
Total Other Income Expense Net,-170000000.0,-54000000.0,24000000.0,-88854000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1158000000.0,201000000.0,681000000.0,557043000.0
Net Income Applicable To Common Shares,1155000000.0,201000000.0,681000000.0,557043000.0
