Date,Firm,To Grade,From Grade,Action
2012-02-09,Goldman Sachs,Neutral,,main
2012-05-07,Deutsche Bank,Buy,,main
2012-05-07,Needham,Buy,,down
2012-05-07,Citigroup,Buy,,main
2012-05-07,BGB Securities,Hold,,main
2012-05-08,Deutsche Bank,Buy,,main
2012-05-08,Goldman Sachs,Neutral,,main
2012-05-08,JP Morgan,Overweight,,main
2012-05-09,Jefferies,Buy,,main
2012-06-26,Goldman Sachs,Sell,Neutral,down
2012-08-06,Bank of America,Buy,,main
2012-08-08,PiperJaffray,Overweight,,main
2012-09-14,Credit Suisse,Neutral,,init
2012-09-14,Credit Suisse,Neutral,,init
2012-09-19,Jefferies,Buy,,main
2012-10-23,Oppenheimer,Outperform,,main
2012-11-07,Bank of America,Buy,,main
2012-11-15,Credit Suisse,Outperform,,up
2012-11-23,PiperJaffray,Overweight,,main
2013-01-09,Goldman Sachs,Neutral,Sell,up
2013-01-25,Citigroup,Buy,,main
2013-02-08,BMO Capital,Outperform,,main
2013-03-11,Pacific Crest,Sector Perform,Outperform,down
2013-04-15,Evercore Partners,Overweight,,init
2013-04-29,UBS,Neutral,,main
2013-06-27,Societe Generale,,,init
2013-06-28,Societe Generale,Buy,,init
2013-07-08,Barclays,Equal-Weight,Overweight,down
2013-07-22,Goldman Sachs,Buy,Neutral,up
2013-08-07,Berenberg,Buy,Hold,up
2013-08-07,Nomura,Buy,,main
2013-09-18,Barclays,Overweight,Equal-Weight,up
2013-10-17,Tigress Financial,Buy,,init
2013-10-29,Oppenheimer,Outperform,,main
2013-11-06,BMO Capital,Outperform,,main
2013-11-19,Deutsche Bank,Buy,,main
2014-01-21,Barclays,Overweight,,main
2014-02-06,Nomura,Buy,,main
2014-02-06,Bank of America,Buy,,main
2014-03-11,Berenberg,Hold,Buy,down
2014-03-12,Nomura,Buy,,main
2014-03-28,Morgan Stanley,Overweight,,up
2014-04-02,UBS,Buy,Neutral,up
2014-05-08,Deutsche Bank,Buy,,main
2014-05-08,Credit Suisse,Outperform,,main
2014-06-10,Susquehanna,Neutral,Positive,down
2014-08-07,UBS,Buy,,main
2014-08-07,Jefferies,Buy,,main
2014-08-07,Citigroup,Buy,,main
2014-09-16,Bernstein,Outperform,,init
2014-09-30,CLSA,Outperform,,init
2014-11-06,Bank of America,Buy,,main
2014-11-06,Citigroup,Buy,,main
2014-11-11,UBS,Neutral,Buy,down
2014-12-11,Barclays,Overweight,,init
2015-01-09,Citigroup,Buy,,main
2015-01-12,Jefferies,Buy,,main
2015-02-05,Citigroup,Buy,,main
2015-03-02,Barclays,Overweight,,main
2015-03-13,Berenberg,Buy,Hold,up
2015-04-21,Citigroup,Buy,,main
2015-05-05,Citigroup,Buy,,main
2015-05-05,Oppenheimer,Outperform,,main
2015-07-06,CLSA,Buy,Outperform,up
2015-10-14,Barclays,Overweight,,main
2015-12-17,Sterne Agee CRT,Neutral,,init
2016-01-05,Barclays,Overweight,,main
2016-02-09,JP Morgan,Overweight,,main
2016-02-09,Barclays,Overweight,,main
2016-02-16,Credit Suisse,Outperform,,main
2016-02-19,Cowen & Co.,Outperform,,init
2016-07-07,Barclays,Overweight,,main
2016-07-12,Pacific Crest,Overweight,,init
2016-07-12,SunTrust Robinson Humphrey,Neutral,Buy,down
2016-07-20,Citigroup,Buy,,main
2016-08-08,Nomura,Neutral,Buy,down
2016-09-09,Wedbush,Neutral,,init
2016-09-14,CLSA,Underperform,Outperform,down
2016-09-14,CLSA,Buy,,main
2016-09-15,Goldman Sachs,Neutral,Buy,down
2016-09-26,Societe Generale,Buy,,init
2016-09-30,Argus,Hold,Buy,down
2016-09-30,Citigroup,Neutral,Buy,down
2016-09-30,HSBC,Buy,,init
2016-10-03,Citigroup,Neutral,,main
2016-10-10,Jefferies,Buy,,main
2016-11-22,Bank of America,Underperform,Buy,down
2016-11-23,William Blair,Market Perform,Outperform,down
2017-01-10,Loop Capital,Hold,,init
2017-01-31,Morgan Stanley,Equal-Weight,Overweight,down
2017-03-29,Berenberg,Hold,,init
2017-04-13,SunTrust Robinson Humphrey,Buy,Hold,up
2017-06-05,Societe Generale,Hold,Buy,down
2017-08-04,Loop Capital,Buy,Hold,up
2017-08-08,Berenberg,Buy,Hold,up
2017-10-19,Baird,Outperform,,main
2017-10-30,Barclays,Overweight,,main
2017-10-31,Citigroup,Neutral,,main
2017-11-01,William Blair,Outperform,Market Perform,up
2017-11-01,Needham,Strong Buy,Buy,up
2017-11-02,Bernstein,Outperform,,main
2017-11-02,Credit Suisse,Outperform,,main
2017-11-02,Morgan Stanley,Equal-Weight,,main
2017-11-02,BMO Capital,Outperform,,main
2017-11-02,Citigroup,Neutral,,main
2017-11-08,Pivotal Research,Buy,,init
2018-01-18,Citigroup,Buy,Neutral,up
2018-02-05,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-08,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-08,BMO Capital,Outperform,Outperform,main
2018-02-08,Nomura,Neutral,Neutral,main
2018-02-08,Barclays,Overweight,Overweight,main
2018-02-08,Bank of America,Buy,Buy,main
2018-02-09,Credit Suisse,Outperform,Outperform,main
2018-02-22,Argus,Buy,Hold,up
2018-05-08,Credit Suisse,Outperform,Outperform,main
2018-05-08,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-03,KeyBanc,Overweight,Overweight,main
2018-08-14,JP Morgan,Neutral,Overweight,down
2018-09-04,Bank of America,Underperform,Buy,down
2018-10-31,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-31,Citigroup,Buy,Buy,main
2018-10-31,KeyBanc,Overweight,Overweight,main
2018-10-31,BMO Capital,Market Perform,Outperform,down
2018-11-01,Citigroup,Buy,Buy,main
2018-11-02,Bank of America,Underperform,Underperform,main
2018-11-20,Jefferies,Hold,,init
2018-11-26,Cowen & Co.,Market Perform,Outperform,down
2018-11-26,Goldman Sachs,Buy,Neutral,up
2019-01-25,Bernstein,Outperform,Market Perform,up
2019-02-07,BMO Capital,Outperform,Market Perform,up
2019-04-16,Wells Fargo,Market Perform,Outperform,down
2019-04-25,BMO Capital,Outperform,Outperform,main
2019-04-29,Morgan Stanley,Underweight,Equal-Weight,down
2019-05-03,Wedbush,Neutral,Outperform,down
2019-05-03,JP Morgan,Underweight,Neutral,down
2019-05-03,Goldman Sachs,Neutral,Buy,down
2019-05-03,Evercore ISI Group,In-Line,Outperform,down
2019-05-03,KeyBanc,Sector Weight,Overweight,down
2019-05-07,UBS,Neutral,Neutral,main
2019-05-10,Argus,Hold,Buy,down
2019-07-23,HSBC,Hold,Buy,down
2019-08-02,UBS,Sell,Neutral,down
2019-09-20,Barclays,Underweight,,init
2019-09-23,Credit Suisse,Outperform,,main
2019-10-14,Citigroup,Buy,,main
2019-11-04,Barclays,Underweight,,main
2019-11-11,Edward Jones,Buy,Hold,up
2019-11-22,Needham,Underperform,Hold,down
2019-12-23,Ambit Capital,Sell,,init
2020-01-06,Wolfe Research,Underperform,Peer Perform,down
2020-01-09,Wells Fargo,Overweight,Equal-Weight,up
2020-01-21,Berenberg,Hold,,init
2020-02-06,Wells Fargo,Overweight,,main
2020-02-13,Wells Fargo,Overweight,,main
2020-02-19,Atlantic Equities,Underweight,,init
2020-03-30,Morgan Stanley,Equal-Weight,Underweight,up
2020-04-07,UBS,Sell,,main
2020-04-13,Morgan Stanley,Equal-Weight,,main
2020-04-14,Wells Fargo,Overweight,,main
2020-05-04,BMO Capital,Market Perform,Outperform,down
2020-05-08,RBC Capital,Outperform,,main
2020-05-08,Morgan Stanley,Equal-Weight,,main
2020-06-10,B of A Securities,Neutral,Underperform,up
2020-07-28,Morgan Stanley,Equal-Weight,,main
2020-07-30,RBC Capital,Outperform,,main
2020-07-30,Morgan Stanley,Equal-Weight,,main
2020-07-30,JP Morgan,Neutral,Underweight,up
2020-07-30,Citigroup,Buy,,main
2020-07-30,Deutsche Bank,Hold,,main
2020-07-30,Needham,Hold,Underperform,up
2020-09-11,B of A Securities,Buy,Neutral,up
2020-10-13,Susquehanna,Positive,Neutral,up
2020-10-22,Morgan Stanley,Equal-Weight,,main
2020-10-29,Deutsche Bank,Hold,,main
2020-10-29,BMO Capital,Outperform,,main
2020-10-29,Cowen & Co.,Outperform,Market Perform,up
2020-11-19,Goldman Sachs,Buy,,init
2020-12-04,Morgan Stanley,Equal-Weight,,main
2020-12-11,JP Morgan,Overweight,Neutral,up
2020-12-29,Credit Suisse,Outperform,,main
2021-01-20,William Blair,Outperform,Market Perform,up
2021-01-29,Morgan Stanley,Overweight,Equal-Weight,up
2021-02-01,Deutsche Bank,Hold,,main
2021-02-01,BMO Capital,Outperform,,main
2021-02-02,Berenberg,Hold,,main
2021-02-05,HSBC,Hold,Buy,down
2021-05-06,Susquehanna,Positive,,main
2021-05-06,Morgan Stanley,Overweight,,main
2021-06-30,Susquehanna,Positive,,main
2021-07-22,HSBC,Buy,Hold,up
2021-07-29,Societe Generale,Buy,Hold,up
2021-08-17,JP Morgan,Overweight,,main
2021-10-20,Morgan Stanley,Overweight,,main
2021-10-28,Morgan Stanley,Overweight,,main
2021-10-29,Barclays,Underweight,,main
2021-11-19,RBC Capital,Outperform,,main
2022-01-10,Morgan Stanley,Equal-Weight,Overweight,down
2022-01-10,Goldman Sachs,Buy,,init
2022-01-21,UBS,Neutral,Sell,up
2022-01-24,Deutsche Bank,Hold,,main
2022-02-07,Barclays,Underweight,,main
2022-05-05,RBC Capital,Outperform,,main
2022-05-05,Citigroup,Neutral,,main
2022-05-05,Morgan Stanley,Equal-Weight,,main
2022-05-09,Cowen & Co.,Outperform,,main
2022-05-09,Barclays,Underweight,,main
