Date,Firm,To Grade,From Grade,Action
2019-05-29,Jefferies,Buy,,init
2019-06-03,BMO Capital,Outperform,,init
2019-06-03,Morgan Stanley,Equal-Weight,,init
2019-06-04,UBS,Buy,,init
2019-06-04,Citigroup,Neutral,,init
2019-06-06,Bernstein,Market Perform,,init
2019-06-10,Nomura,Neutral,,init
2019-06-17,Deutsche Bank,Buy,Hold,up
2019-06-20,RBC Capital,Sector Perform,,init
2019-07-01,Barclays,Equal-Weight,,init
2019-07-02,Loop Capital,Hold,,init
2019-07-17,Monness Crespi Hardt,Sell,,init
2019-08-09,RBC Capital,Outperform,Sector Perform,up
2019-08-19,Citi,Buy,Neutral,up
2019-10-09,Citigroup,Buy,,main
2019-10-11,SunTrust Robinson Humphrey,Hold,,main
2019-11-01,JP Morgan,Neutral,Overweight,down
2019-11-12,Redburn,Buy,,init
2019-12-19,UBS,Buy,,main
2020-01-17,JP Morgan,Underweight,Neutral,down
2020-01-23,Loop Capital,Sell,Hold,down
2020-01-23,Bernstein,Outperform,Market Perform,up
2020-01-31,JP Morgan,Neutral,Underweight,up
2020-02-05,Susquehanna,Neutral,Positive,down
2020-03-19,Edward Jones,Buy,Hold,up
2020-03-26,KeyBanc,Sector Weight,,init
2020-03-30,Morgan Stanley,Equal-Weight,,main
2020-03-31,Susquehanna,Positive,Neutral,up
2020-04-01,Exane BNP Paribas,Outperform,Neutral,up
2020-04-17,Loop Capital,Hold,Sell,up
2020-04-17,B of A Securities,Neutral,Buy,down
2020-05-05,Credit Suisse,Neutral,,main
2020-05-08,Citigroup,Buy,,main
2020-05-11,B of A Securities,Underperform,Neutral,down
2020-05-11,RBC Capital,Outperform,,main
2020-05-11,Barclays,Equal-Weight,,main
2020-06-02,Morgan Stanley,Equal-Weight,,main
2020-07-13,B of A Securities,Buy,Underperform,up
2020-08-07,Credit Suisse,Neutral,,main
2020-08-10,B of A Securities,Neutral,Buy,down
2020-08-11,KeyBanc,Overweight,Sector Weight,up
2020-10-07,KeyBanc,Overweight,,main
2020-10-19,Exane BNP Paribas,Underperform,Outperform,down
2020-11-06,BMO Capital,Outperform,,main
2020-11-06,Credit Suisse,Neutral,,main
2020-11-09,KeyBanc,Overweight,,main
2020-11-09,Morgan Stanley,Equal-Weight,,main
2020-12-14,Morgan Stanley,Overweight,Equal-Weight,up
2021-01-15,KeyBanc,Overweight,,main
2021-01-21,Redburn,Neutral,Buy,down
2021-02-05,KeyBanc,Overweight,,main
2021-02-05,JP Morgan,Overweight,Neutral,up
2021-02-05,Morgan Stanley,Overweight,,main
2021-02-05,Credit Suisse,Neutral,,main
2021-04-12,Keybanc,Overweight,,main
2021-04-19,Loop Capital,Buy,Hold,up
2021-05-10,Morgan Stanley,Overweight,,main
2021-08-09,RBC Capital,Outperform,,main
2021-08-09,"Monness, Crespi, Hardt",Neutral,Sell,up
2021-08-09,Barclays,Equal-Weight,,main
2021-09-01,Berenberg,Buy,,init
2021-10-08,Roth Capital,Buy,,init
2021-10-13,Mizuho,Buy,,init
2021-10-18,Loop Capital,Hold,Buy,down
2021-11-05,Keybanc,Overweight,,main
2021-11-15,Morgan Stanley,Overweight,,main
2022-02-04,Keybanc,Overweight,,main
2022-03-22,Citigroup,Buy,,main
2022-04-05,Keybanc,Overweight,,main
2022-04-14,Loop Capital,Buy,Hold,up
2022-04-14,Vertical Research,Hold,Buy,down
2022-04-29,Mizuho,Buy,,main
2022-05-06,Keybanc,Overweight,,main
2022-05-06,JP Morgan,Neutral,Overweight,down
