,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,581600000.0,538080000.0,518877000.0,439984000.0
Effect Of Accounting Charges,,,,
Income Before Tax,167147000.0,554880000.0,509500000.0,629455000.0
Minority Interest,,,,
Net Income,307499000.0,504446000.0,681813000.0,575667000.0
Selling General Administrative,1587787000.0,1573186000.0,1453385000.0,1389577000.0
Gross Profit,2683488000.0,2770936000.0,2597857000.0,2587159000.0
Ebit,375843000.0,624089000.0,571565000.0,694685000.0
Operating Income,375843000.0,624089000.0,571565000.0,694685000.0
Other Operating Expenses,,,,
Interest Expense,-91793000.0,-64687000.0,-45974000.0,-80162000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-140352000.0,50434000.0,-172313000.0,53788000.0
Total Revenue,3217170000.0,3236700000.0,3010564000.0,2973903000.0
Total Operating Expenses,2841327000.0,2612611000.0,2438999000.0,2279218000.0
Cost Of Revenue,533682000.0,465764000.0,412707000.0,386744000.0
Total Other Income Expense Net,-208696000.0,-69209000.0,-62065000.0,-65230000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,307499000.0,504446000.0,681813000.0,575667000.0
Net Income Applicable To Common Shares,307499000.0,504446000.0,681813000.0,575667000.0
