Date,Firm,To Grade,From Grade,Action
2012-02-08,Citigroup,Buy,,main
2012-02-09,UBS,Buy,,main
2012-02-09,Goldman Sachs,Buy,,main
2012-03-07,Morgan Stanley,Overweight,,main
2012-03-13,BMO Capital,Market Perform,,down
2012-05-03,UBS,Buy,,main
2012-05-03,Jefferies,Buy,,main
2012-07-12,ISI Group,Overweight,,init
2012-08-07,ISI Group,Overweight,,main
2012-08-08,Citigroup,Buy,,main
2012-08-08,JP Morgan,Overweight,,main
2012-08-08,Jefferies,Buy,,main
2012-08-14,Cantor Fitzgerald,Buy,,init
2012-11-06,Jefferies,Buy,,main
2012-11-06,ISI Group,Overweight,,main
2012-11-07,Barclays,Overweight,,main
2012-11-07,BMO Capital,Outperform,,main
2012-11-07,Jefferies,Buy,,main
2012-12-13,ISI Group,Overweight,,main
2012-12-14,JP Morgan,Overweight,,main
2012-12-14,UBS,Buy,,main
2012-12-14,Credit Suisse,Outperform,,main
2012-12-14,Macquarie,Outperform,Neutral,up
2012-12-14,Morgan Stanley,Overweight,,main
2012-12-14,Cantor Fitzgerald,Buy,,main
2012-12-14,Macquarie,Outperform,Neutral,up
2012-12-20,Jefferies,Buy,,main
2013-03-12,Goldman Sachs,Neutral,Buy,down
2013-04-14,Goldman Sachs,Neutral,,main
2013-04-24,Citigroup,Buy,,main
2013-05-31,Wells Fargo,Outperform,,init
2013-08-07,Cantor Fitzgerald,Hold,Buy,down
2013-09-13,Cowen & Co.,Market Perform,,init
2013-10-07,Jefferies,Buy,,init
2013-11-06,BMO Capital,Outperform,,main
2013-11-20,Deutsche Bank,Hold,,init
2013-11-29,Morgan Stanley,Overweight,,main
2013-12-11,Credit Suisse,Outperform,,main
2013-12-19,Morgan Stanley,Overweight,,main
2013-12-20,Deutsche Bank,Hold,,main
2014-01-09,Leerink Swann,Outperform,,init
2014-01-22,ISI Group,Strong Buy,Buy,up
2014-05-05,Barclays,Overweight,,main
2014-08-06,JP Morgan,Overweight,,main
2014-08-06,Barclays,Overweight,,main
2014-09-15,Cowen & Co.,Outperform,Market Perform,up
2014-11-05,Deutsche Bank,Hold,,main
2014-11-05,FBR Capital,Outperform,,main
2014-12-10,Citigroup,Neutral,,init
2014-12-17,Barclays,Overweight,,main
2014-12-17,JP Morgan,Overweight,,main
2014-12-17,Credit Suisse,Outperform,,main
2014-12-19,SunTrust Robinson Humphrey,Buy,,up
2015-01-02,Bank of America,Buy,,main
2015-01-08,JP Morgan,Overweight,,main
2015-01-21,Goldman Sachs,Buy,Neutral,up
2015-02-13,Deutsche Bank,Hold,,main
2015-02-13,Citigroup,Neutral,,main
2015-04-27,Jefferies,Buy,,main
2015-06-09,Macquarie,Outperform,,init
2015-06-10,Cowen & Co.,Outperform,,main
2015-06-18,Oppenheimer,Outperform,,init
