,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,21639000000.0,-7453000000.0,5536000000.0,20575000000.0
Minority Interest,873000000.0,1038000000.0,995000000.0,1088000000.0
Net Income,15625000000.0,-5543000000.0,2924000000.0,14824000000.0
Selling General Administrative,25428000000.0,25416000000.0,25945000000.0,24942000000.0
Gross Profit,66234000000.0,43983000000.0,59752000000.0,64324000000.0
Ebit,15860000000.0,-4178000000.0,10478000000.0,14624000000.0
Operating Income,15860000000.0,-4178000000.0,10478000000.0,14624000000.0
Other Operating Expenses,6886000000.0,4492000000.0,4138000000.0,4864000000.0
Interest Expense,-712000000.0,-697000000.0,-798000000.0,-748000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5950000000.0,-1892000000.0,2691000000.0,5715000000.0
Total Revenue,155606000000.0,94471000000.0,139865000000.0,158902000000.0
Total Operating Expenses,139746000000.0,98649000000.0,129387000000.0,144278000000.0
Cost Of Revenue,89372000000.0,50488000000.0,80113000000.0,94578000000.0
Total Other Income Expense Net,5779000000.0,-3275000000.0,-4942000000.0,5951000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,15689000000.0,-5561000000.0,2845000000.0,14860000000.0
Net Income Applicable To Common Shares,15625000000.0,-5543000000.0,2924000000.0,14824000000.0
