Date,Firm,To Grade,From Grade,Action
2012-06-29,Bank of America,Underperform,Neutral,down
2012-07-17,RBC Capital,Underperform,,init
2012-08-22,Barclays,Underweight,,init
2012-10-01,ISI Group,Sell,,init
2012-11-05,Dahlman Rose,Hold,,main
2012-11-05,Barclays,Underweight,,main
2012-11-06,Deutsche Bank,Hold,,main
2013-04-30,Imperial Capital,In-Line,Outperform,down
2013-04-30,Imperial Capital,In-Line,Outperform,down
2013-05-15,Deutsche Bank,Hold,,main
2013-05-22,Credit Suisse,Neutral,Outperform,down
2014-03-13,Imperial Capital,Underperform,In-Line,down
2014-08-12,Macquarie,Neutral,,main
2014-10-10,Imperial Capital,Outperform,,init
2014-10-21,Bank of America,,,
2014-11-11,Macquarie,Neutral,,main
2015-05-14,Barclays,Underweight,,main
2015-12-14,Barclays,Underweight,,main
2017-04-20,Macquarie,Outperform,Neutral,up
2017-06-01,Oppenheimer,Outperform,,init
2017-09-15,SunTrust Robinson Humphrey,Buy,,init
2017-10-06,Instinet,Neutral,,init
2018-01-19,Jefferies,Hold,,init
2018-05-24,JP Morgan,Overweight,,init
2018-07-23,Bank of America,Buy,,init
2018-08-02,Bank of America,Buy,Buy,main
2018-09-05,Deutsche Bank,Buy,,init
2018-09-11,Credit Suisse,Outperform,,init
2018-09-24,UBS,Sell,,init
2018-10-23,Morgan Stanley,Overweight,,init
2019-01-02,UBS,Neutral,Sell,up
2019-01-07,Deutsche Bank,Buy,Buy,main
2019-01-16,Bank of America,Neutral,Buy,down
2019-05-01,UBS,Neutral,,main
2019-06-25,SunTrust Robinson Humphrey,Hold,Buy,down
2019-06-25,Morgan Stanley,Equal-Weight,Overweight,down
2019-06-25,Nomura,Neutral,Buy,down
2020-01-10,UBS,Neutral,,main
2020-01-21,Morgan Stanley,Equal-Weight,,main
2020-03-30,Morgan Stanley,Equal-Weight,,main
2020-04-17,SunTrust Robinson Humphrey,Buy,Hold,up
2020-05-12,Morgan Stanley,Equal-Weight,,main
2020-05-12,SunTrust Robinson Humphrey,Buy,,main
2020-05-12,Deutsche Bank,Buy,,main
2020-05-27,UBS,Neutral,,main
2020-06-04,Deutsche Bank,Buy,,main
2020-07-20,Morgan Stanley,Equal-Weight,,main
2020-07-21,Cowen & Co.,Outperform,,init
2020-08-10,Morgan Stanley,Overweight,,main
2020-08-28,Morgan Stanley,Overweight,,main
2020-09-14,Goldman Sachs,Neutral,,init
2020-09-22,Deutsche Bank,Buy,,main
2020-10-16,Morgan Stanley,Overweight,,main
2020-11-25,Morgan Stanley,Equal-Weight,Overweight,down
2021-01-14,KeyBanc,Overweight,,init
2021-01-20,Morgan Stanley,Equal-Weight,,main
2021-02-26,Morgan Stanley,Equal-Weight,,main
2021-02-26,Roth Capital,Buy,,main
2021-03-01,KeyBanc,Overweight,,main
2021-03-23,Goldman Sachs,Neutral,,main
2021-04-05,Morgan Stanley,Overweight,Equal-Weight,up
2021-04-08,Keybanc,Overweight,,main
2021-04-27,Deutsche Bank,Buy,,main
2021-04-27,Truist Securities,Buy,,main
2021-05-05,Morgan Stanley,Overweight,,main
2021-05-06,Keybanc,Overweight,,main
2021-06-07,Deutsche Bank,Buy,,main
2021-06-10,JP Morgan,Overweight,,main
2021-08-04,Morgan Stanley,Overweight,,main
2021-08-04,Stifel,Buy,,main
2021-08-09,B of A Securities,Buy,Neutral,up
2021-09-15,Wells Fargo,Overweight,,init
2021-10-06,Keybanc,Overweight,,main
2021-10-20,Morgan Stanley,Overweight,,main
2021-10-27,Goldman Sachs,Neutral,,main
2021-11-03,Wells Fargo,Overweight,,main
2021-11-12,B. Riley Securities,Buy,,init
2021-11-29,Deutsche Bank,Buy,,main
2021-12-17,Wells Fargo,Overweight,,main
2022-01-18,Morgan Stanley,Overweight,,main
2022-02-14,Deutsche Bank,Buy,,main
2022-02-23,Wells Fargo,Overweight,,main
2022-02-23,B. Riley Securities,Buy,,main
2022-02-23,Deutsche Bank,Buy,,main
2022-02-24,Morgan Stanley,Overweight,,main
2022-02-28,Loop Capital,Buy,,main
2022-04-04,Stifel,Buy,,main
2022-04-13,Wells Fargo,Overweight,,main
2022-04-18,B of A Securities,Buy,,main
2022-04-19,Truist Securities,Buy,,main
2022-04-21,Deutsche Bank,Buy,,main
2022-04-25,Morgan Stanley,Overweight,,main
2022-05-04,Wells Fargo,Overweight,,main
2022-05-04,Morgan Stanley,Overweight,,main
