Date,Firm,To Grade,From Grade,Action
2012-03-20,Morgan Stanley,Hold,,main
2012-04-30,ISI Group,Hold,,main
2012-05-15,Jefferies,Buy,,up
2012-07-09,UBS,Neutral,,main
2012-08-02,Barclays,Overweight,,main
2012-08-02,Jefferies,Buy,,main
2012-08-02,Deutsche Bank,Hold,,main
2012-08-02,UBS,Neutral,,main
2012-08-02,ISI Group,Hold,,main
2012-09-07,ISI Group,Hold,,main
2012-10-10,Credit Suisse,Outperform,Neutral,up
2012-10-26,Goldman Sachs,Neutral,,main
2012-12-18,Deutsche Bank,Hold,,main
2013-01-07,ISI Group,Neutral,Buy,down
2013-01-08,Citigroup,Neutral,,main
2013-01-17,Morgan Stanley,Equal-Weight,,main
2013-03-05,BMO Capital,Market Perform,,main
2013-03-05,Deutsche Bank,Hold,,main
2013-03-07,UBS,Neutral,,main
2013-03-11,JP Morgan,Neutral,,main
2013-04-09,Atlantic Equities,Overweight,Neutral,up
2013-04-15,Jefferies,Buy,,main
2013-04-17,Deutsche Bank,Hold,,main
2013-06-17,Jefferies,Buy,,main
2013-09-13,JP Morgan,Overweight,Neutral,up
2013-09-16,ISI Group,Buy,Neutral,up
2013-10-01,Deutsche Bank,Hold,,main
2013-11-06,BMO Capital,Market Perform,,main
2013-11-06,Jefferies,Buy,,main
2013-12-11,Deutsche Bank,Hold,,main
2014-01-09,UBS,Buy,Neutral,up
2014-01-13,Morgan Stanley,Overweight,,up
2014-01-31,S&P Capital IQ,Sell,Hold,down
2014-02-28,Argus,Hold,Buy,down
2014-04-03,Bank of America,Buy,,main
2014-04-23,Deutsche Bank,Hold,,main
2014-04-24,Citigroup,Hold,,main
2014-07-09,JP Morgan,,Overweight,main
2014-07-23,Citigroup,Neutral,,main
2014-07-31,UBS,Buy,,main
2014-09-29,Deutsche Bank,Hold,,main
2014-10-15,Jefferies,Hold,,main
2014-11-03,Jefferies,Hold,,main
2014-12-08,Wells Fargo,Market Perform,,init
2014-12-11,Citigroup,Buy,,main
2014-12-17,Deutsche Bank,Hold,,main
2014-12-26,Argus,Buy,,main
2015-01-12,JP Morgan,Overweight,,main
2015-02-03,JP Morgan,Overweight,,main
2015-02-10,Deutsche Bank,Hold,,main
2015-04-22,Deutsche Bank,Hold,,main
2015-05-05,Barclays,Overweight,,main
2015-11-03,Barclays,Overweight,,main
2015-11-17,Scotia Howard Weil,Sector Outperform,,init
2016-01-04,Barclays,Overweight,,main
2016-01-29,UBS,Neutral,Buy,down
2016-02-02,Wolfe Research,Peer Perform,,down
2016-02-02,Citigroup,Neutral,,down
2016-02-04,Barclays,Overweight,,main
2016-03-18,Barclays,Overweight,,main
2016-06-16,JP Morgan,Neutral,Overweight,down
2016-08-08,Morgan Stanley,Equal-Weight,Overweight,down
2016-09-26,Barclays,Overweight,,main
2016-10-04,Citigroup,Neutral,,main
2017-01-25,Credit Suisse,Outperform,,init
2017-07-26,Citigroup,Neutral,,main
2017-08-03,Deutsche Bank,Hold,,main
2017-10-12,JP Morgan,Neutral,,main
