,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,398000000.0,-15587000000.0,6198000000.0,5151000000.0
Minority Interest,,,,
Net Income,280000000.0,-12385000000.0,4767000000.0,3935000000.0
Selling General Administrative,953000000.0,643000000.0,2211000000.0,1941000000.0
Gross Profit,2171000000.0,-3780000000.0,13186000000.0,11452000000.0
Ebit,-2185000000.0,-7945000000.0,6567000000.0,5459000000.0
Operating Income,-2185000000.0,-7945000000.0,6567000000.0,5459000000.0
Other Operating Expenses,1405000000.0,1232000000.0,1827000000.0,1723000000.0
Interest Expense,-1279000000.0,-929000000.0,-301000000.0,-311000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,118000000.0,-3202000000.0,1431000000.0,1216000000.0
Total Revenue,29899000000.0,17095000000.0,47007000000.0,44438000000.0
Total Operating Expenses,32084000000.0,25040000000.0,40440000000.0,38979000000.0
Cost Of Revenue,27728000000.0,20875000000.0,33821000000.0,32986000000.0
Total Other Income Expense Net,2583000000.0,-7642000000.0,-369000000.0,-308000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,280000000.0,-12385000000.0,4767000000.0,3935000000.0
Net Income Applicable To Common Shares,280000000.0,-12385000000.0,4767000000.0,3935000000.0
