Date,Firm,To Grade,From Grade,Action
2012-05-30,Imperial Capital,Outperform,,init
2012-05-31,UBS,Buy,,main
2012-06-27,Imperial Capital,Outperform,,main
2012-07-12,Goldman Sachs,Sell,,init
2012-08-01,Dahlman Rose,Hold,Buy,down
2012-09-11,Barclays,Overweight,,main
2012-09-12,JP Morgan,Overweight,,main
2012-09-27,UBS,Buy,,main
2012-10-23,Buckingham Research,Buy,,init
2012-10-26,Imperial Capital,Outperform,,main
2012-12-13,UBS,Buy,,main
2012-12-17,Dahlman Rose,Buy,Hold,up
2012-12-19,Imperial Capital,Outperform,,main
2013-01-10,Goldman Sachs,Buy,Sell,up
2013-02-14,Evercore Partners,Underweight,Equal-weight,down
2013-03-08,UBS,Buy,,main
2013-03-15,Raymond James,Market Perform,Outperform,down
2013-04-08,Deutsche Bank,Buy,,main
2013-05-08,Imperial Capital,Outperform,,main
2013-05-23,Standpoint Research,Hold,Buy,down
2013-06-20,Standpoint Research,Buy,Hold,up
2013-07-25,Raymond James,Outperform,Market Perform,up
2013-07-25,Evercore Partners,Equal-Weight,Underweight,up
2013-08-14,JP Morgan,Neutral,Overweight,down
2013-09-17,Imperial Capital,Outperform,,main
2013-09-17,JP Morgan,Overweight,Neutral,up
2013-10-02,Standpoint Research,Hold,Buy,down
2013-10-03,Imperial Capital,Outperform,,main
2013-10-08,Deutsche Bank,Buy,,main
2013-12-16,Imperial Capital,Outperform,,main
2013-12-18,UBS,Buy,,init
2013-12-19,Evercore Partners,Overweight,Equal-weight,up
2014-01-03,S&P Capital IQ,Strong Buy,Buy,up
2014-01-08,Atlantic Equities,Overweight,,init
2014-01-22,Imperial Capital,Outperform,,main
2014-01-31,JP Morgan,Overweight,,main
2014-04-17,Barclays,Overweight,,main
2014-04-24,Deutsche Bank,Buy,,main
2014-04-24,Imperial Capital,Outperform,,main
2014-05-09,JP Morgan,Overweight,,main
2014-06-10,Deutsche Bank,Buy,,main
2014-07-11,Barclays,Overweight,,main
2014-07-24,UBS,Buy,,main
2014-07-24,Raymond James,Outperform,,main
2014-07-25,CRT Capital,Buy,,main
2014-09-09,Credit Suisse,Outperform,,init
2014-09-26,Wolfe Research,Peer Perform,Outperform,down
2014-10-15,Barclays,Overweight,,main
2014-10-17,CRT Capital,Buy,,main
2014-12-01,Bank of America,Neutral,Buy,down
2014-12-12,Credit Suisse,Outperform,,main
2014-12-12,CRT Capital,Buy,,main
2014-12-12,Deutsche Bank,Buy,,main
2015-01-16,Barclays,Overweight,,main
2015-01-21,CRT Capital,Buy,,main
2015-03-04,CRT Capital,Buy,,main
2015-03-30,Argus,Buy,,init
2015-04-01,Deutsche Bank,Hold,Buy,down
2015-04-16,CRT Capital,Buy,,main
2015-05-14,JP Morgan,Overweight,,main
2015-06-08,Raymond James,Outperform,Strong Buy,down
2015-06-10,JP Morgan,Overweight,,main
2015-06-19,Wolfe Research,Outperform,Peer Perform,up
2015-06-23,Morgan Stanley,Overweight,,init
2015-09-01,Deutsche Bank,Buy,Hold,up
2015-10-05,Deutsche Bank,Buy,,main
2016-02-04,JP Morgan,Overweight,,main
2016-03-29,Stephens & Co.,Overweight,,init
2016-04-01,Deutsche Bank,Hold,Buy,down
2016-04-12,Credit Suisse,Outperform,,main
2016-04-14,Credit Suisse,Outperform,,main
2016-04-28,Morgan Stanley,Overweight,,main
2016-07-06,Credit Suisse,Outperform,,main
2016-07-12,Deutsche Bank,Buy,Hold,up
2016-07-15,Deutsche Bank,Buy,,main
2016-07-15,Evercore ISI Group,Hold,Buy,down
2016-07-27,JP Morgan,Overweight,,main
2016-08-24,Imperial Capital,In-Line,,init
2016-10-05,Buckingham Research,Buy,,main
2016-10-11,Bernstein,Market Perform,,init
2016-11-18,Citigroup,Buy,,init
2016-12-05,Deutsche Bank,Buy,,main
2017-02-06,Bernstein,Outperform,Market Perform,up
2017-03-16,Evercore ISI Group,Outperform,In-Line,up
2017-06-20,Atlantic Equities,Overweight,,init
2017-07-14,Morgan Stanley,Overweight,,main
2017-07-14,Deutsche Bank,Buy,,main
2017-08-10,Barclays,Overweight,,init
2017-08-17,Morgan Stanley,Overweight,,main
2017-09-06,Deutsche Bank,Buy,,main
2017-09-26,Macquarie,Outperform,,init
2017-09-28,Cowen & Co.,Outperform,,main
2017-10-12,Imperial Capital,Outperform,In-Line,up
2017-11-01,JP Morgan,Overweight,,main
2017-11-13,Morgan Stanley,Overweight,,main
2018-02-23,Morgan Stanley,Overweight,Overweight,main
2018-03-19,Morgan Stanley,Overweight,Overweight,main
2018-04-12,Morgan Stanley,Overweight,Overweight,main
2018-04-20,Morgan Stanley,Overweight,Overweight,main
2018-06-07,Citigroup,Buy,Buy,main
2018-06-07,Deutsche Bank,Buy,Buy,main
2018-06-07,Buckingham,Buy,Buy,main
2018-07-03,Deutsche Bank,Hold,Buy,down
2018-07-12,Morgan Stanley,Overweight,Overweight,main
2018-07-13,Stifel Nicolaus,Buy,Buy,main
2018-07-16,Barclays,Overweight,Overweight,main
2018-09-07,Buckingham,Buy,Buy,main
2018-09-27,Imperial Capital,Outperform,Outperform,main
2018-10-03,Citigroup,Buy,Buy,main
2018-10-03,Imperial Capital,Outperform,Outperform,main
2018-10-10,Bank of America,Buy,Buy,main
2018-10-10,Buckingham,Buy,Buy,main
2018-10-12,Morgan Stanley,Overweight,Overweight,main
2018-10-17,Deutsche Bank,Buy,Hold,up
2018-11-19,Credit Suisse,Outperform,,init
2018-11-29,Citigroup,Buy,Buy,main
2019-01-09,Imperial Capital,In-Line,Outperform,down
2019-01-14,Bank of America,Neutral,Buy,down
2019-03-01,Deutsche Bank,Hold,Buy,down
2019-04-03,Stifel Nicolaus,Buy,Buy,main
2019-04-03,Buckingham,Buy,Buy,main
2019-04-11,Citigroup,Buy,Buy,main
2019-04-11,Raymond James,Outperform,Outperform,main
2019-04-11,Credit Suisse,Outperform,Outperform,main
2019-05-20,Morgan Stanley,Equal-Weight,Overweight,down
2019-07-10,Imperial Capital,In-Line,,main
2019-07-12,Morgan Stanley,Equal-Weight,,main
2019-07-12,Raymond James,Outperform,,main
2019-07-12,Deutsche Bank,Hold,,main
2019-07-12,Buckingham Research,Buy,,main
2019-09-06,Berenberg,Buy,,init
2019-10-02,Morgan Stanley,Equal-Weight,,main
2019-10-03,Credit Suisse,Outperform,,main
2019-10-03,Buckingham Research,Neutral,Buy,down
2019-10-10,Morgan Stanley,Equal-Weight,,main
2019-10-11,Argus Research,Hold,Buy,down
2019-10-11,Buckingham,Neutral,,main
2019-10-11,Raymond James,Outperform,,main
2019-10-14,Stephens & Co.,Equal-Weight,Overweight,down
2019-11-11,Morgan Stanley,Equal-Weight,,main
2019-11-13,UBS,Neutral,,init
2019-12-16,Buckingham,Neutral,,main
2019-12-18,Deutsche Bank,Buy,Hold,up
2020-01-13,Wolfe Research,Peer Perform,Outperform,down
2020-01-15,Stephens & Co.,Equal-Weight,,main
2020-01-15,Citigroup,Buy,,main
2020-01-21,Argus Research,Buy,Hold,up
2020-02-28,CFRA,Hold,Strong Buy,down
