Date,Firm,To Grade,From Grade,Action
2012-07-02,Jefferies,Hold,Buy,down
2012-07-24,S&P Capital IQ,Buy,Hold,up
2012-07-25,Deutsche Bank,Buy,,main
2012-07-25,Jefferies,Hold,,main
2012-07-26,Barclays,Equal-Weight,,main
2012-08-31,Citigroup,Neutral,,main
2012-08-31,JP Morgan,Overweight,,main
2012-09-12,UBS,Neutral,,main
2012-09-24,JP Morgan,Overweight,,main
2012-10-24,UBS,Neutral,,main
2012-10-24,Monness Crespi Hardt,Neutral,Buy,down
2012-10-24,Deutsche Bank,Buy,,main
2012-10-24,JP Morgan,Neutral,Overweight,down
2012-11-05,PiperJaffray,Neutral,Overweight,down
2012-12-12,Jefferies,Hold,,main
2012-12-14,SunTrust Robinson Humphrey,Reduce,,init
2013-01-03,Citigroup,Neutral,,main
2013-01-14,Macquarie,Outperform,Neutral,up
2013-01-23,Deutsche Bank,Buy,,main
2013-01-23,UBS,Neutral,,main
2013-01-23,CLSA,Underperform,Outperform,down
2013-04-24,Citigroup,Neutral,,main
2013-04-24,Credit Suisse,Neutral,,main
2013-05-03,BGC Financial,Hold,Buy,down
2013-05-23,BGC Financial,Sell,Hold,down
2013-06-05,PiperJaffray,Neutral,,main
2013-06-14,Bank of America,Neutral,Buy,down
2013-06-18,JP Morgan,Neutral,,main
2013-07-09,Macquarie,Neutral,Outperform,down
2013-10-23,JP Morgan,Overweight,Neutral,up
2013-10-25,Citigroup,Buy,Neutral,up
2013-11-27,Citigroup,Buy,,main
2013-12-02,BGC Financial,Hold,Sell,up
2014-01-09,Bank of America,Buy,Neutral,up
2014-01-29,Deutsche Bank,Buy,,main
2014-02-05,SunTrust Robinson Humphrey,Neutral,Reduce,up
2014-04-09,Citigroup,Buy,,main
2014-04-21,Deutsche Bank,Buy,,main
2014-04-22,Citigroup,Buy,,main
2014-07-23,Citigroup,Buy,,main
2014-07-23,Barclays,Equal-Weight,,main
2014-07-23,JP Morgan,Neutral,Overweight,down
2014-09-18,JP Morgan,Overweight,Neutral,up
2014-09-18,Deutsche Bank,Buy,,main
2014-09-19,BGC Financial,Buy,Hold,up
2014-10-09,RBC Capital,Sector Perform,,init
2014-10-28,Barclays,Equal-Weight,,main
2014-10-29,Citigroup,Buy,,main
2014-10-29,Barclays,Equal-Weight,,main
2014-10-29,Deutsche Bank,Buy,,main
2015-01-28,Citigroup,Neutral,,main
2015-01-28,Deutsche Bank,Buy,,main
2015-01-28,Barclays,Equal-Weight,,main
2015-01-28,JP Morgan,Neutral,Overweight,down
2015-02-06,Deutsche Bank,Buy,,main
2015-03-11,Jefferies,Buy,,main
2015-03-16,Bank of America,Underperform,Buy,down
2015-04-22,Deutsche Bank,Buy,,main
2015-04-27,Barclays,Equal-Weight,,main
2015-04-28,CLSA,Outperform,Underperform,up
2015-05-14,Bank of America,Neutral,Underperform,up
2015-06-22,Jefferies,Buy,,main
2015-07-02,RBC Capital,Sector Perform,,main
2015-07-16,Deutsche Bank,Buy,,main
