,2021-10-31,2020-11-01,2019-11-03,2018-10-28
Research Development,1587000000.0,1589000000.0,1782000000.0,1658000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,7623000000.0,3835000000.0,4109000000.0,4098000000.0
Minority Interest,3000000.0,7000000.0,18000000.0,17000000.0
Net Income,5963000000.0,2751000000.0,3253000000.0,2368000000.0
Selling General Administrative,2879000000.0,2732000000.0,2999000000.0,2897000000.0
Gross Profit,12188000000.0,8934000000.0,9178000000.0,8985000000.0
Ebit,8094000000.0,4548000000.0,4310000000.0,4159000000.0
Operating Income,8094000000.0,4548000000.0,4310000000.0,4159000000.0
Other Operating Expenses,-372000000.0,65000000.0,87000000.0,271000000.0
Interest Expense,-306000000.0,-305000000.0,-232000000.0,-268000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1658000000.0,1082000000.0,852000000.0,1727000000.0
Total Revenue,43956000000.0,35514000000.0,39233000000.0,37318000000.0
Total Operating Expenses,35862000000.0,30966000000.0,34923000000.0,33159000000.0
Cost Of Revenue,31768000000.0,26580000000.0,30055000000.0,28333000000.0
Total Other Income Expense Net,-471000000.0,-713000000.0,-201000000.0,-61000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5965000000.0,2753000000.0,3257000000.0,2371000000.0
Net Income Applicable To Common Shares,5963000000.0,2751000000.0,3253000000.0,2368000000.0
