,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,7064000000.0,1435000000.0,3835000000.0,3597000000.0
Minority Interest,,,,
Net Income,5449000000.0,1141000000.0,2957000000.0,2742000000.0
Selling General Administrative,3685000000.0,3383000000.0,3481000000.0,3258000000.0
Gross Profit,11369000000.0,5414000000.0,7819000000.0,7324000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,7251000000.0,1590000000.0,3931000000.0,3680000000.0
Other Operating Expenses,433000000.0,441000000.0,407000000.0,386000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1615000000.0,294000000.0,878000000.0,855000000.0
Total Revenue,11869000000.0,5954000000.0,8228000000.0,7674000000.0
Total Operating Expenses,4618000000.0,4364000000.0,4297000000.0,3994000000.0
Cost Of Revenue,500000000.0,540000000.0,409000000.0,350000000.0
Total Other Income Expense Net,-187000000.0,-155000000.0,-96000000.0,-83000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5449000000.0,1141000000.0,2957000000.0,2742000000.0
Net Income Applicable To Common Shares,5351000000.0,1104000000.0,2908000000.0,2689000000.0
