Date,Firm,To Grade,From Grade,Action
2012-03-06,Credit Suisse,Neutral,,main
2012-03-19,Goldman Sachs,Neutral,,main
2012-03-20,Stifel Nicolaus,Buy,,main
2012-03-22,Citigroup,Neutral,,main
2012-03-22,Jefferies,Buy,,main
2012-03-23,Goldman Sachs,Buy,,up
2012-03-26,Guggenheim,Buy,,main
2012-07-03,Sterne Agee,Buy,,main
2012-09-17,Stifel Nicolaus,Hold,Buy,down
2012-09-21,JP Morgan,Overweight,,main
2012-09-24,Barclays,Overweight,,main
2012-09-24,Goldman Sachs,Buy,,main
2012-09-24,Jefferies,Buy,,main
2012-09-25,Citigroup,Neutral,,main
2012-09-28,Citigroup,Neutral,,main
2012-09-28,Bank of America,Buy,,main
2012-09-28,Sterne Agee,Buy,,main
2012-12-18,JP Morgan,Overweight,,main
2012-12-20,Stifel Nicolaus,Buy,Hold,up
2012-12-20,Citigroup,Neutral,,main
2012-12-21,FBR Capital,Market Perform,Outperform,down
2012-12-21,FBR Capital,Market Perform,Outperform,down
2013-02-08,Credit Suisse,Outperform,Neutral,up
2013-03-06,William Blair,Outperform,Market Perform,up
2013-03-13,FBR Capital,Outperform,Market Perform,up
2013-03-13,Sterne Agee,Buy,,main
2013-03-14,Morgan Stanley,Equal-Weight,,main
2013-03-15,Jefferies,Buy,,main
2013-04-23,Sterne Agee,Buy,,main
2013-04-24,Jefferies,Hold,Buy,down
2013-04-24,Citigroup,Neutral,,main
2013-06-12,Oppenheimer,Outperform,,init
2013-07-16,JP Morgan,Neutral,Overweight,down
2013-07-24,Jefferies,Hold,,main
2013-07-24,Stifel Nicolaus,Buy,,main
2013-07-24,Nomura,Buy,,main
2013-10-10,Citigroup,Buy,Neutral,up
2013-10-14,Deutsche Bank,Buy,,init
2013-11-19,Nomura,Buy,,main
2013-12-18,SunTrust Robinson Humphrey,Neutral,,init
2014-01-13,Nomura,Buy,,main
2014-01-14,UBS,Neutral,,init
2014-01-23,Morgan Stanley,Equal-Weight,,main
2014-01-24,Citigroup,Buy,,main
2014-01-28,Morgan Stanley,Overweight,Equal-weight,up
2014-02-14,Jefferies,Buy,Hold,up
2014-04-23,SunTrust Robinson Humphrey,Neutral,,main
2014-04-23,Bank of America,Buy,,main
2014-07-10,Barclays,Overweight,,main
2014-07-10,Macquarie,Outperform,,init
2014-07-14,Citigroup,Buy,,main
2014-07-16,JP Morgan,Neutral,,main
2014-07-23,Deutsche Bank,Buy,,main
2014-07-24,UBS,Neutral,,main
2014-10-07,Oppenheimer,Outperform,,main
2014-10-09,Buckingham Research,Buy,,main
2014-11-13,Deutsche Bank,Hold,Buy,up
2014-11-14,Burke & Quick Partners,Market Perform,Market Outperform,down
2014-12-09,Keefe Bruyette & Woods,Market Perform,,main
2014-12-18,Jefferies,Buy,,init
2015-01-22,Deutsche Bank,Buy,,main
2015-01-22,Nomura,Buy,,main
2015-01-28,Guggenheim,Neutral,Buy,down
2015-03-13,Oppenheimer,Outperform,,main
2015-04-14,Wells Fargo,Outperform,,init
2015-04-15,JP Morgan,Outperform,Neutral,up
2015-04-22,Nomura,Buy,,main
2015-04-22,Citigroup,Buy,,main
2015-05-06,Bernstein,Market Perform,,main
2015-06-18,Stifel Nicolaus,Buy,,init
2015-07-23,BMO Capital,Market Perform,,main
2015-09-22,Nomura,Buy,,main
2015-10-06,Oppenheimer,Outperform,,main
2015-10-21,Oppenheimer,Outperform,,main
2015-10-21,Stifel Nicolaus,Buy,,main
2015-12-16,Argus,Buy,Hold,up
2015-12-22,Evercore ISI Group,Hold,,init
2015-12-22,JMP Securities,Outperform,,init
2016-01-07,Deutsche Bank,Buy,Hold,up
2016-01-11,Evercore ISI Group,Buy,Hold,up
2016-01-13,DA Davidson,Buy,,init
2016-01-14,JP Morgan,Neutral,Overweight,down
2016-01-28,BMO Capital,Market Perform,,main
2016-01-28,Barclays,Overweight,,main
2016-01-28,Oppenheimer,Outperform,,main
2016-01-28,Stifel Nicolaus,Buy,,main
2016-01-28,Macquarie,Neutral,,main
2016-01-28,Macquarie,Outperform,,main
2016-01-28,JP Morgan,Neutral,,main
2016-01-28,Jefferies,Buy,,main
2016-01-29,Barclays,Overweight,,main
2016-02-11,Nomura,Buy,,main
2016-02-11,Bank of America,Neutral,Buy,down
2016-02-18,Deutsche Bank,Buy,,main
2016-04-20,Bernstein,Outperform,,main
2016-04-20,JP Morgan,Neutral,,main
2016-04-20,Goldman Sachs,Buy,,main
2016-05-04,Deutsche Bank,Buy,,main
2016-07-20,Credit Suisse,Outperform,,main
2016-09-01,Jefferies,Buy,,main
2016-09-07,Barclays,Equal-Weight,Overweight,down
2016-10-05,Deutsche Bank,Buy,,main
2016-10-11,Wedbush,Neutral,,init
2016-11-22,JMP Securities,Market Outperform,,main
2016-12-07,Wedbush,Outperform,Neutral,up
2016-12-15,Bank of America,Buy,Neutral,up
2017-03-29,Rafferty,Hold,,init
2017-05-01,Deutsche Bank,Hold,Buy,down
2017-07-10,Oppenheimer,Outperform,,main
2017-07-13,Barclays,Equal-Weight,,main
2017-09-08,Morgan Stanley,Overweight,,main
2017-10-02,Buckingham,Buy,,init
2017-10-25,Compass Point,Neutral,Buy,down
2017-10-25,Nomura,Buy,,main
2017-10-25,BMO Capital,Market Perform,,main
2017-10-25,Barclays,Equal-Weight,,main
2017-10-25,Bank of America,Neutral,,main
2017-12-11,Barclays,Overweight,Equal-Weight,up
2017-12-18,Bank of America,Buy,Neutral,up
2018-01-03,Deutsche Bank,Buy,,init
2018-01-25,Wells Fargo,Market Perform,Market Perform,main
2018-01-25,Credit Suisse,Outperform,Outperform,main
2018-01-25,Evercore ISI Group,In-Line,Outperform,down
2018-01-25,BMO Capital,Market Perform,Market Perform,main
2018-01-25,JP Morgan,Neutral,Neutral,main
2018-01-25,Barclays,Overweight,Overweight,main
2018-01-25,Oppenheimer,Outperform,Outperform,main
2018-01-25,Morgan Stanley,Overweight,Overweight,main
2018-02-02,Morgan Stanley,Overweight,Overweight,main
2018-03-28,UBS,Sell,,init
2018-03-29,Barclays,Overweight,Overweight,main
2018-04-05,Citigroup,Neutral,,init
2018-04-16,Goldman Sachs,Neutral,Buy,down
2018-04-27,JMP Securities,Market Outperform,Market Outperform,main
2018-04-30,Morgan Stanley,Overweight,Overweight,main
2018-04-30,BMO Capital,Market Perform,Market Perform,main
2018-05-07,UBS,Neutral,Sell,up
2018-07-27,JP Morgan,Neutral,Neutral,main
2018-09-21,Bank of America,Buy,Buy,main
2018-10-01,Wells Fargo,Market Perform,Market Perform,main
2018-10-02,JP Morgan,Overweight,Neutral,up
2018-10-26,Wells Fargo,Market Perform,Market Perform,main
2018-11-01,Citigroup,Neutral,Neutral,main
2019-03-06,Morgan Stanley,Overweight,Overweight,main
2019-04-04,JMP Securities,Market Outperform,Market Outperform,main
2019-04-26,Nomura,Buy,Buy,main
2019-07-24,JP Morgan,Overweight,,main
2019-07-24,Morgan Stanley,Overweight,,main
2019-07-24,Nomura,Buy,,main
2019-07-24,JMP Securities,Market Outperform,,main
2019-07-24,Barclays,Overweight,,main
2019-07-30,UBS,Neutral,,main
2019-10-23,JP Morgan,Overweight,,main
2019-10-23,Credit Suisse,Outperform,,main
2019-10-23,Wells Fargo,Market Perform,,main
2019-12-05,Nomura,Neutral,Buy,down
2020-01-24,Deutsche Bank,Hold,,reit
2020-01-24,Morgan Stanley,Overweight,,main
2020-01-24,Piper Sandler,Neutral,Overweight,down
2020-01-24,Wells Fargo,Equal-Weight,,main
2020-01-24,Evercore ISI Group,Underperform,In-Line,down
2020-03-02,Morgan Stanley,Overweight,,main
2020-03-09,Morgan Stanley,Overweight,,main
2020-03-20,Nomura,Buy,Neutral,up
2020-04-08,Wells Fargo,Equal-Weight,,main
2020-04-09,Piper Sandler,Neutral,,main
2020-04-13,Deutsche Bank,Hold,,main
2020-04-24,Deutsche Bank,Hold,,main
2020-04-27,JMP Securities,Market Outperform,,main
2020-05-15,BMO Capital,Outperform,Market Perform,up
2020-05-20,Piper Sandler,Neutral,,main
2020-06-08,Morgan Stanley,Overweight,,main
2020-06-22,UBS,Buy,Neutral,up
2020-07-24,BMO Capital,Outperform,,main
2020-07-24,JMP Securities,Market Outperform,,main
2020-08-17,B of A Securities,Neutral,,main
2020-10-05,Morgan Stanley,Overweight,,main
2020-10-09,Piper Sandler,Neutral,,main
2020-10-22,Morgan Stanley,Overweight,,main
2020-11-16,B of A Securities,Neutral,,main
2020-11-30,Morgan Stanley,Equal-Weight,Overweight,down
2021-01-22,BMO Capital,Outperform,,main
2021-01-22,Deutsche Bank,Hold,,main
2021-01-22,RBC Capital,Outperform,,main
2021-01-22,Morgan Stanley,Equal-Weight,,main
2021-03-15,Wells Fargo,Equal-Weight,,main
2021-04-08,Piper Sandler,Neutral,,main
2021-04-16,Piper Sandler,Neutral,,main
2021-04-19,BMO Capital,Market Perform,Outperform,down
2021-04-22,Morgan Stanley,Equal-Weight,,main
2021-04-23,Deutsche Bank,Hold,,main
2021-04-26,B of A Securities,Buy,Neutral,up
2021-06-11,Piper Sandler,Neutral,,main
2021-07-02,Credit Suisse,Outperform,,main
2021-07-02,Piper Sandler,Neutral,,main
2021-07-09,Citigroup,Buy,Neutral,up
2021-07-09,Barclays,Overweight,,main
2021-07-12,Deutsche Bank,Hold,,main
2021-07-12,Wells Fargo,Equal-Weight,,main
2021-07-23,Morgan Stanley,Equal-Weight,,main
2021-07-29,Morgan Stanley,Equal-Weight,,main
2021-08-30,Seaport Global,Neutral,,init
2021-09-16,Morgan Stanley,Equal-Weight,,main
2021-10-05,Piper Sandler,Neutral,,main
2021-10-08,Wells Fargo,Equal-Weight,,main
2021-10-22,RBC Capital,Outperform,,main
2021-10-22,Stephens & Co.,Equal-Weight,,main
2021-11-02,Seaport Global,Buy,Neutral,up
2021-12-06,Morgan Stanley,Equal-Weight,,main
2022-01-10,Barclays,Overweight,,main
2022-01-19,JP Morgan,Overweight,,main
2022-01-21,Credit Suisse,Outperform,,main
2022-01-24,Piper Sandler,Overweight,Neutral,up
2022-02-01,Morgan Stanley,Equal-Weight,,main
2022-02-14,Deutsche Bank,Buy,Hold,up
2022-03-28,Morgan Stanley,Equal-Weight,,main
2022-04-06,Wells Fargo,Equal-Weight,,main
2022-04-29,BMO Capital,Market Perform,,main
2022-04-29,Citigroup,Buy,,main
2022-04-29,Morgan Stanley,Equal-Weight,,main
2022-05-12,Wolfe Research,Peer Perform,Outperform,down
