Date,Firm,To Grade,From Grade,Action
2012-03-13,Deutsche Bank,Buy,,main
2012-03-23,Citigroup,Buy,,main
2012-03-23,Wedbush,Outperform,,main
2012-03-23,BMO Capital,Outperform,,main
2012-03-23,Guggenheim,Buy,,main
2012-04-02,Bank oferica,Buy,,main
2012-04-09,Deutsche Bank,Buy,,main
2012-05-31,Guggenheim,Buy,,main
2012-05-31,Wedbush,Outperform,,main
2012-06-04,Citigroup,Buy,,main
2012-06-05,BMO Capital,Outperform,,main
2012-06-21,Bank of America,Buy,,main
2012-06-27,Raymond James,Strong Buy,,main
2012-06-27,Wedbush,Outperform,,main
2012-06-27,Deutsche Bank,Buy,,main
2012-09-05,Bank of America,Buy,,main
2012-09-06,Wedbush,Outperform,,main
2012-09-07,Nomura,Buy,,main
2012-09-11,PiperJaffray,Overweight,,init
2012-10-10,Nomura,Buy,,main
2012-12-03,Deutsche Bank,,,main
2012-12-11,Bank of America,Neutral,Buy,down
2012-12-12,PiperJaffray,Overweight,,main
2012-12-12,Citigroup,Buy,,main
2012-12-12,Bank of America,Neutral,Buy,down
2012-12-12,Nomura,Buy,,main
2012-12-12,BMO Capital,Outperform,,main
2012-12-12,Credit Suisse,Neutral,,main
2012-12-14,Deutsche Bank,Buy,,main
2013-01-09,RBC Capital,Sector Perform,Outperform,down
2013-03-25,Deutsche Bank,Buy,,main
2013-03-25,Citigroup,Buy,,main
2013-03-26,Wedbush,Outperform,,main
2013-03-26,Bank of America,Neutral,,main
2013-05-06,Bank of America,Buy,Neutral,up
2013-05-31,Nomura,Buy,,main
2013-05-31,Deutsche Bank,Buy,,main
2013-06-04,Raymond James,Market Perform,Strong Buy,down
2013-06-05,Sterne Agee,Neutral,,init
2013-06-05,PiperJaffray,Overweight,,main
2013-06-05,BMO Capital,Outperform,,main
2013-07-11,Nomura,Buy,,main
2013-07-12,Goldman Sachs,Neutral,,init
2013-07-25,CLSA,Buy,,init
2013-08-01,Nomura,Buy,,main
2013-08-19,JP Morgan,Overweight,Neutral,up
2013-08-26,Deutsche Bank,Buy,,main
2013-09-04,Sterne Agee,Buy,Neutral,up
2013-09-05,BMO Capital,Outperform,,main
2013-09-10,Barclays,Equal-Weight,Overweight,down
2013-10-28,Susquehanna,Positive,,init
2013-12-06,Goldman Sachs,Buy,Neutral,up
2014-01-14,S&P Capital IQ,Sell,Buy,down
2014-02-19,Wells Fargo,Market Perform,Outperform,down
2014-04-03,Jefferies,Hold,,init
2014-05-28,Deutsche Bank,Hold,Buy,down
2014-05-29,Sterne Agee,Neutral,Buy,down
2014-06-09,Jefferies,Buy,Hold,up
2014-06-25,Morgan Stanley,Equal-weight,,init
2014-06-30,Johnson Rice,Equal-Weight,Overweight,down
2014-07-28,Argus,Hold,,init
2014-08-18,Sterne Agee,Buy,Neutral,up
2014-08-18,Johnson Rice,Overweight,Equal-Weight,up
2014-08-18,Deutsche Bank,Buy,Hold,up
2014-08-19,Deutsche Bank,Buy,,main
2014-09-12,UBS,Buy,,init
2014-12-01,Credit Suisse,Outperform,,main
2014-12-05,Barclays,Equal-Weight,,main
2014-12-10,Citigroup,Buy,,init
2015-03-13,Jefferies,Buy,,main
2015-04-08,Deutsche Bank,Buy,,main
2015-05-26,Goldman Sachs,Buy,,main
2015-06-03,UBS,Buy,,main
2015-06-05,JP Morgan,Overweight,,main
2015-06-09,Raymond James,Strong Buy,Market Perform,up
2015-06-09,Macquarie,Outperform,,init
2015-06-10,RBC Capital,Outperform,Sector Perform,up
2015-07-15,Citigroup,Buy,,main
2015-08-28,Barclays,Equal-Weight,,main
2015-08-28,RBC Capital,Outperform,,main
2015-10-21,Bank of America,Neutral,Underperform,up
2015-11-03,PiperJaffray,Overweight,,main
2015-11-10,Wolfe Research,Peer perform,,down
2015-11-20,BB&T Capital,Buy,Hold,up
2016-02-11,Deutsche Bank,Buy,,main
2016-02-16,Morgan Stanley,Overweight,Equal-Weight,up
2016-02-23,Buckingham Research,Buy,,init
2016-03-11,Jefferies,Buy,,main
2016-03-11,Barclays,Equal-Weight,,main
2016-03-13,Citigroup,Buy,,main
2016-03-28,Stifel Nicolaus,Buy,,main
2016-03-28,Goldman Sachs,Buy,,main
2016-04-04,Macquarie,Outperform,,main
2016-05-04,Bank of America,Buy,Neutral,up
2016-05-27,MKM Partners,Buy,,main
2016-05-27,Credit Suisse,Outperform,,main
2016-05-27,Deutsche Bank,Buy,,main
2016-05-27,Jefferies,Buy,,main
2016-05-27,UBS,Buy,,main
2016-06-01,BTIG Research,Buy,,init
2016-06-03,Citigroup,Buy,,main
2016-06-06,Citigroup,Buy,,main
2016-07-18,Morgan Stanley,Overweight,,main
2016-08-01,Deutsche Bank,Hold,Buy,down
2016-08-15,Jefferies,Hold,Buy,down
2016-08-25,Johnson Rice,Accumulate,Buy,down
2016-08-25,JP Morgan,Neutral,Overweight,down
2016-08-25,Credit Suisse,Neutral,Outperform,down
2016-08-26,Telsey Advisory Group,Market Perform,Outperform,down
2016-08-26,Deutsche Bank,Hold,,main
2016-08-26,BMO Capital,Market Perform,Outperform,down
2016-08-26,Macquarie,Outperform,,main
2016-08-26,Jefferies,Hold,,main
2016-08-26,UBS,Buy,,main
2016-08-31,Citigroup,Buy,,main
2016-08-31,Atlantic Equities,Neutral,Buy,down
2016-09-07,Wolfe Research,Underperform,Peer Perform,down
2016-09-23,Barclays,Equal-Weight,,init
2016-10-10,,Hold,,main
2016-10-13,KeyBanc,Sector Weight,,init
2016-11-30,JP Morgan,Neutral,,main
2016-12-07,Loop Capital,Hold,,init
2017-01-13,Bank of America,Neutral,Buy,down
2017-02-07,Bernstein,Outperform,,init
2017-05-09,Gordon Haskett,Reduce,,init
2017-09-13,Citigroup,Buy,,main
2017-11-03,Wells Fargo,Underweight,,init
2017-11-16,Deutsche Bank,Buy,Hold,up
2017-12-04,Moffett Nathanson,Neutral,,init
2018-01-17,Oppenheimer,Outperform,,init
2018-01-23,Wells Fargo,Outperform,Underperform,up
2018-01-25,Telsey Advisory Group,Outperform,Market Perform,up
2018-02-27,Wells Fargo,Outperform,Outperform,main
2018-03-16,Morgan Stanley,Overweight,Overweight,main
2018-03-16,Loop Capital,Hold,Hold,main
2018-04-16,Raymond James,Outperform,Strong Buy,down
2018-04-17,JP Morgan,Overweight,Neutral,up
2018-04-18,Credit Suisse,Neutral,,init
2018-04-25,Morgan Stanley,Overweight,Overweight,main
2018-06-01,Morgan Stanley,Overweight,Overweight,main
2018-06-01,Credit Suisse,Neutral,Neutral,main
2018-06-01,Buckingham,Neutral,Neutral,main
2018-06-01,Barclays,Equal-Weight,Equal-Weight,main
2018-06-04,Gordon Haskett,Buy,Accumulate,up
