Date,Firm,To Grade,From Grade,Action
2012-04-18,Bank of America,Buy,,main
2012-06-21,Canaccord Genuity,Hold,,init
2012-07-02,Goldman Sachs,Neutral,Sell,up
2012-07-12,Deutsche Bank,Hold,,main
2012-07-19,Deutsche Bank,Hold,,main
2012-07-20,Credit Suisse,Outperform,,main
2012-08-09,Jefferies,Hold,,main
2012-09-14,Credit Suisse,Neutral,Outperform,down
2012-10-08,Deutsche Bank,Hold,,main
2012-10-17,Goldman Sachs,Neutral,,main
2012-10-17,Canaccord Genuity,Hold,,main
2012-10-18,UBS,Neutral,,main
2012-11-05,Jefferies,Hold,,main
2012-11-20,Macquarie,Neutral,Underperform,up
2013-01-23,JP Morgan,Neutral,,main
2013-01-28,Oppenheimer,Underperform,,init
2013-04-11,Goldman Sachs,Buy,Neutral,up
2013-07-09,Morgan Stanley,Underweight,Equal-Weight,down
2013-07-09,Morgan Stanley,Underweight,Equal-Weight,down
2013-07-12,Baird,Neutral,,init
2013-08-08,Maxim Group,Buy,Hold,up
2013-09-19,Craig-Hallum,Buy,,init
2013-11-19,ISI Group,Neutral,,init
2013-12-10,Bank of America,Underperform,Buy,down
2013-12-18,JMP Securities,Market Perform,,init
2014-01-31,JP Morgan,Neutral,,main
2014-01-31,UBS,Neutral,,main
2014-01-31,Morgan Stanley,Underweight,,main
2014-03-27,Citigroup,,,main
2014-05-08,Bank of America,Neutral,Underperform,up
2014-07-25,Citigroup,Neutral,,main
2014-07-25,Canaccord Genuity,Hold,,main
2014-11-13,Deutsche Bank,Buy,Hold,up
2014-12-29,Bank of America,Neutral,,main
2015-01-02,Raymond James,Market Perform,Underperform,up
2015-01-30,Jefferies,Hold,,main
2015-01-30,Citigroup,Neutral,,main
2015-01-30,Wells Fargo,Underperform,Market Perform,down
2015-02-23,Bank of America,Underperform,Neutral,down
2015-03-02,Barclays,Equal-Weight,,init
2015-03-03,Canaccord Genuity,Buy,Hold,up
2015-03-25,Deutsche Bank,Hold,Buy,down
2015-03-27,JMP Securities,Market Perform,,init
2015-06-16,KeyBanc,Sector Weight,,init
2015-06-23,Goldman Sachs,Neutral,Buy,down
2015-08-03,Canaccord Genuity,Buy,,main
2015-10-23,Barclays,Equal-Weight,,main
2016-03-01,Mizuho,Buy,Neutral,up
2016-03-15,Credit Suisse,Neutral,,init
2016-06-24,Jyske Bank,Sell,,down
2016-08-31,Mizuho,Neutral,Buy,down
2016-09-09,Citigroup,Neutral,,init
2016-11-14,UBS,Buy,Neutral,up
2016-12-12,Goldman Sachs,Buy,Neutral,up
2017-01-03,Mizuho,Buy,Neutral,up
2017-01-17,Deutsche Bank,Buy,,init
2017-01-18,Deutsche Bank,Buy,,init
2017-03-16,Bank of America,Neutral,Underperform,up
2017-04-21,Raymond James,Outperform,Market Perform,up
2017-05-12,Argus,Hold,,init
2017-07-25,Bank of America,Buy,Neutral,up
2017-08-10,Morgan Stanley,Underweight,,main
2017-09-25,Raymond James,Market Perform,Outperform,down
2017-09-28,Credit Suisse,Neutral,,main
2017-10-20,Wells Fargo,Market Perform,,main
2017-10-20,Citigroup,Neutral,,main
2017-10-26,Canaccord Genuity,Buy,,main
2018-01-05,Evercore ISI Group,In-Line,,init
2018-02-13,Credit Suisse,Outperform,Neutral,up
