,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5356300000.0,2983000000.0,2125300000.0,2060000000.0
Minority Interest,329700000.0,281500000.0,274200000.0,174500000.0
Net Income,4175800000.0,2373700000.0,1618500000.0,1460300000.0
Selling General Administrative,2067900000.0,1683100000.0,1539500000.0,1404200000.0
Gross Profit,7444600000.0,4622000000.0,3650600000.0,3462800000.0
Ebit,5376700000.0,2938900000.0,2111100000.0,2058600000.0
Operating Income,5376700000.0,2938900000.0,2111100000.0,2058600000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1165100000.0,602500000.0,506700000.0,597700000.0
Total Revenue,27774200000.0,20311100000.0,17592900000.0,16068000000.0
Total Operating Expenses,22397500000.0,17372200000.0,15481800000.0,14009400000.0
Cost Of Revenue,20329600000.0,15689100000.0,13942300000.0,12605200000.0
Total Other Income Expense Net,-20400000.0,44100000.0,14200000.0,1400000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,4191200000.0,2380500000.0,1618600000.0,1462300000.0
Net Income Applicable To Common Shares,4175800000.0,2373700000.0,1618500000.0,1460300000.0
