Date,Firm,To Grade,From Grade,Action
2012-02-08,UBS,Neutral,,main
2012-02-08,Morgan Stanley,Overweight,,main
2012-02-13,Miller Tabak,Buy,,main
2012-02-27,Goldman Sachs,Buy,,up
2012-03-20,Wunderlich,Hold,,main
2012-04-09,Citigroup,Neutral,,down
2012-04-09,Deutsche Bank,Buy,,main
2012-05-09,Hilliard Lyons,Long-Term Buy,,main
2012-05-09,UBS,Neutral,,main
2012-05-09,Citigroup,Neutral,,main
2012-05-09,JP Morgan,Overweight,,main
2012-05-14,Stifel Nicolaus,Buy,,main
2012-05-29,Morgan Stanley,Overweight,,main
2012-07-12,Wells Fargo,Outperform,Market Perform,up
2012-07-17,Bank of America,Buy,Neutral,up
2012-07-27,Morgan Stanley,Overweight,,main
2012-08-07,Wunderlich,Hold,,main
2012-08-08,Barclays,Equal-Weight,,main
2012-08-08,UBS,Neutral,,main
2012-08-08,Gabelli & Co.,Hold,Buy,down
2012-08-08,PiperJaffray,Neutral,,main
2012-08-08,Credit Suisse,Outperform,,main
2012-08-09,Stifel Nicolaus,Buy,,main
2012-08-13,Hilliard Lyons,Long-Term Buy,,main
2012-09-20,Credit Suisse,Outperform,,main
2012-10-08,Caris & Co.,Average,Above Average,down
2012-11-09,Nomura,Buy,,main
2012-11-12,Citigroup,Buy,Neutral,up
2013-01-15,Nomura,Buy,,main
2013-01-16,Deutsche Bank,,,main
2013-01-23,B. Riley FBR,Buy,Neutral,up
2013-01-31,Stifel Nicolaus,Buy,,main
2013-02-04,Wunderlich,Hold,,main
2013-02-04,Deutsche Bank,Buy,,main
2013-02-06,Credit Suisse,Outperform,,main
2013-02-06,Nomura,Buy,,main
2013-03-20,Tigress Financial,Buy,,init
2013-04-08,JP Morgan,Overweight,,main
2013-04-29,UBS,Buy,Neutral,up
2013-04-30,Stifel Nicolaus,Buy,,main
2013-05-06,Wunderlich,Hold,,main
2013-05-08,Nomura,Buy,,main
2013-05-17,Atlantic Equities,Neutral,Overweight,down
2013-06-11,Macquarie,Outperform,Neutral,up
2013-06-12,Sterne Agee,Neutral,,init
2013-06-20,Goldman Sachs,Neutral,Buy,down
2013-07-08,Credit Suisse,Outperform,,main
2013-07-19,Wunderlich,Buy,,main
2013-09-10,ISI Group,Neutral,,init
2013-09-13,Stifel Nicolaus,Buy,,main
2013-09-19,Morgan Stanley,Equal-Weight,Overweight,down
2013-10-25,FBR Capital,Outperform,,init
2013-11-05,Wunderlich,Hold,,main
2013-12-03,B. Riley FBR,Neutral,Buy,down
2013-12-12,Credit Suisse,Outperform,,main
2013-12-19,Ascendiant Capital,Buy,,init
2013-12-30,Guggenheim,Buy,Neutral,up
2014-01-15,Nomura,Buy,,init
2014-01-23,Topeka,Hold,,init
2014-01-24,Stifel Nicolaus,Buy,,main
2014-02-04,Topeka,Neutral,,init
2014-04-09,JP Morgan,Overweight,,main
2014-04-24,Citigroup,Buy,,main
2014-04-29,FBR Capital,Outperform,,main
2014-05-05,Topeka,Buy,Hold,up
2014-05-07,JP Morgan,Overweight,,main
2014-05-08,FBR Capital,Outperform,,main
2014-05-08,Stifel Nicolaus,Buy,,main
2014-05-19,Hudson Square,Buy,,init
2014-07-02,Nomura,Buy,,main
2014-07-09,Barclays,Equal-weight,,init
2014-08-06,Nomura,Buy,,main
2014-08-06,JP Morgan,Overweight,,main
2014-09-03,Morgan Stanley,Equal-Weight,,main
2014-10-16,Guggenheim,Neutral,Buy,down
2014-11-11,J. Safra Sarasin,Buy,,init
2014-11-18,Barclays,Equal-Weight,,main
2014-12-08,UBS,Buy,,init
2014-12-10,Topeka,Hold,Buy,down
2015-01-16,Stifel Nicolaus,Buy,,main
2015-02-02,FBR Capital,Outperform,,main
2015-02-04,Stifel Nicolaus,Buy,,main
2015-02-04,UBS,Buy,,main
2015-02-04,Nomura,Buy,,main
2015-03-05,Deutsche Bank,Hold,,init
2015-03-16,BTIG Research,Neutral,Buy,down
