Date,Firm,To Grade,From Grade,Action
2012-02-21,Brean Capital,Buy,,main
2012-02-24,UBS,Neutral,,main
2012-02-27,Evercore Partners,Overweight,,main
2012-03-06,Wunderlich,Hold,,main
2012-03-22,Deutsche Bank,Buy,,main
2012-07-18,Deutsche Bank,Buy,,main
2012-07-31,Jefferies,Hold,,init
2012-09-11,Credit Suisse,Outperform,,main
2012-10-12,Morgan Stanley,Equal-Weight,,main
2012-10-22,Deutsche Bank,Buy,,main
2012-10-23,Barclays,Equal-Weight,,main
2012-11-05,Deutsche Bank,Buy,,main
2012-11-06,Pivotal Research,Buy,,main
2012-11-14,Jefferies,Hold,,main
2012-11-21,Deutsche Bank,Buy,,main
2012-12-20,Deutsche Bank,Buy,,main
2013-01-09,Wunderlich,Buy,Hold,up
2013-01-28,ISI Group,Buy,,main
2013-02-21,Brean Capital,Buy,,main
2013-02-21,Jefferies,Hold,,main
2013-02-21,Nomura,Neutral,,main
2013-02-25,Morgan Stanley,Equal-Weight,,main
2013-04-16,Stifel Nicolaus,Hold,,init
2013-04-19,Deutsche Bank,Buy,,main
2013-05-20,Credit Suisse,Outperform,,main
2013-06-27,Moffett Nathanson,,Neutral,up
2013-07-24,Wunderlich,Hold,Buy,down
2013-07-31,Barclays,Overweight,,init
2013-08-08,Jefferies,Hold,,main
2013-08-19,Nomura,Neutral,,main
2013-08-27,Raymond James,Underperform,,init
2013-08-28,Wunderlich,Hold,,main
2013-10-25,FBR Capital,Underperform,,init
2013-11-13,Nomura,Neutral,,main
2013-11-13,Brean Capital,Buy,,main
2013-11-15,Barclays,Equal-weight,Overweight,down
2013-11-18,Wunderlich,Hold,,main
2013-12-04,Northland Securities,Market Perform,,init
2014-01-27,Buckingham Research,Neutral,,init
2014-02-14,Citigroup,Neutral,Buy,down
2014-02-19,Brean Capital,Buy,,main
2014-02-19,Wunderlich,Hold,,main
2014-03-06,Macquarie,Outperform,,main
2014-05-09,Wells Fargo,Outperform,Outperform,main
2014-05-09,JP Morgan,Neutral,,main
2014-05-09,Raymond James,Market Perform,Underperform,up
2014-05-09,Nomura,Neutral,Neutral,main
2014-05-12,Jefferies,Buy,,main
2014-05-19,Moffett Nathanson,Sell,Neutral,down
2014-05-20,Wunderlich,Hold,,main
2014-06-16,JP Morgan,Overweight,Neutral,up
2014-06-23,Citigroup,Buy,Neutral,up
2014-08-22,Wunderlich,Hold,,main
2014-09-10,Canaccord Genuity,Hold,,init
2014-10-03,BTIG Research,Buy,,init
2014-11-21,Citigroup,Buy,,main
2014-12-03,Wunderlich,Sell,Hold,down
2014-12-04,Barclays,Underweight,Equal-Weight,down
2014-12-18,Jefferies,Buy,,main
2015-02-02,JP Morgan,Overweight,,main
2015-02-09,RBC Capital,Sector Perform,Outperform,down
2015-02-24,Nomura,Neutral,,main
2015-03-20,BMO Capital,Underperform,,init
2015-05-20,Barclays,Underweight,,main
2015-06-03,Credit Suisse,Neutral,,init
2015-06-05,Citigroup,Buy,,main
2015-08-14,Barclays,Underweight,,main
2015-09-08,Wunderlich,Sell,,main
2015-09-09,Wunderlich,Sell,,main
2015-10-05,JP Morgan,Overweight,,main
2015-10-08,Deutsche Bank,Buy,,init
2015-10-26,Moffett Nathanson,Neutral,Sell,up
2015-11-16,Credit Suisse,Neutral,,main
2015-11-16,Deutsche Bank,Buy,,main
2015-11-18,Deutsche Bank,Buy,,main
2016-02-16,Barclays,Equal-Weight,Underweight,up
2016-02-17,Wunderlich,Hold,Sell,up
2016-02-22,Deutsche Bank,Buy,,main
2016-02-22,Macquarie,Neutral,,main
2016-02-26,HSBC,Hold,Reduce,up
2016-03-03,Credit Suisse,Neutral,,main
2016-04-21,Goldman Sachs,Buy,,main
2016-06-28,Moffett Nathanson,Sell,Neutral,down
2016-07-22,Wunderlich,Sell,Hold,down
2016-08-09,Macquarie,Outperform,Neutral,up
2017-01-23,Morgan Stanley,Overweight,Equal-Weight,up
2017-04-19,SunTrust Robinson Humphrey,Hold,,init
2017-04-27,Barclays,Overweight,Equal-Weight,up
2017-05-01,Hilliard Lyons,Neutral,Buy,down
2017-07-26,Citigroup,Sell,Buy,down
2017-09-15,Citigroup,Neutral,Sell,up
2017-11-06,Pivotal Research,Buy,Hold,up
2017-11-10,Barclays,Overweight,,main
2017-11-10,UBS,Neutral,,main
2018-01-17,Morgan Stanley,Equal-Weight,Overweight,down
2018-03-23,Moffett Nathanson,Neutral,Sell,up
2018-03-27,Cowen & Co.,Outperform,,init
2018-04-16,Barclays,Overweight,Overweight,main
2018-04-23,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-29,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-06-21,Goldman Sachs,Neutral,Buy,down
2018-07-11,Credit Suisse,Underperform,,init
2018-08-13,Moffett Nathanson,Sell,Neutral,down
2018-09-07,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-23,Macquarie,Underperform,Neutral,down
2018-12-06,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-12-19,Citigroup,Buy,Buy,main
2019-02-14,Barclays,Equal-Weight,Overweight,down
2019-05-06,Credit Suisse,Neutral,Underperform,up
2019-07-25,MoffettNathanson,Sell,Neutral,down
2019-07-29,Barclays,Underweight,Equal-Weight,down
2019-08-26,Raymond James,Strong Buy,Market Perform,up
2019-10-04,Citi,Buy,,main
2019-10-16,Bernstein,Underperform,,init
2019-11-08,UBS,Neutral,,main
