,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1820211000.0,400777000.0,611216000.0,343199000.0
Minority Interest,519214000.0,770650000.0,770253000.0,1015398000.0
Net Income,1709259000.0,356398000.0,579761000.0,331246000.0
Selling General Administrative,627854000.0,546169000.0,370197000.0,236567000.0
Gross Profit,2791645000.0,2450664000.0,2108347000.0,1981474000.0
Ebit,758009000.0,613041000.0,635558000.0,628093000.0
Operating Income,758009000.0,613041000.0,635558000.0,628093000.0
Other Operating Expenses,2550000.0,1075000.0,14118000.0,2818000.0
Interest Expense,-293846000.0,-333021000.0,-353057000.0,-321529000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,72799000.0,38047000.0,11995000.0,2084000.0
Total Revenue,4426165000.0,3845980000.0,3217308000.0,3079457000.0
Total Operating Expenses,3668156000.0,3232939000.0,2581750000.0,2451364000.0
Cost Of Revenue,1634520000.0,1395316000.0,1108961000.0,1097983000.0
Total Other Income Expense Net,1062202000.0,-212264000.0,-24342000.0,-284894000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1747412000.0,362730000.0,599221000.0,341115000.0
Net Income Applicable To Common Shares,1681498000.0,263342000.0,493011000.0,249930000.0
