Date,Firm,To Grade,From Grade,Action
2012-02-16,Morgan Stanley,Overweight,,init
2012-02-21,Collins Stewart,Neutral,,main
2012-03-15,Jefferies,Hold,,down
2012-04-30,Deutsche Bank,Hold,,main
2012-05-15,Cantor Fitzgerald,Sell,,main
2012-07-13,Jefferies,Buy,Hold,up
2012-09-04,ISI Group,Hold,,main
2012-10-08,Deutsche Bank,Hold,,main
2012-10-22,Barclays,Overweight,,main
2012-10-23,Evercore Partners,Equal-Weight,Overweight,down
2012-10-29,Canaccord Genuity,Hold,,main
2012-11-01,Barclays,Overweight,,main
2012-12-03,ISI Group,Buy,Hold,up
2012-12-05,Cantor Fitzgerald,Hold,Sell,up
2012-12-12,McNicoll Lewis Vlak,Hold,,init
2013-01-09,Deutsche Bank,Hold,,main
2013-01-15,Baird,Outperform,,init
2013-01-29,Bank of America,Neutral,Buy,down
2013-02-01,Jefferies,Buy,,main
2013-02-12,Evercore Partners,Overweight,Equal-Weight,up
2013-02-19,McNicoll Lewis Vlak,Hold,,main
2013-03-05,Jefferies,Buy,,main
2013-04-11,Macquarie,Neutral,Outperform,down
2013-04-17,Jefferies,Buy,,main
2013-04-29,ISI Group,Neutral,Buy,down
2013-05-13,McNicoll Lewis Vlak,Buy,Hold,up
2013-06-24,UBS,Neutral,Sell,up
2013-07-10,RBC Capital,Outperform,Sector Perform,up
2013-07-29,McNicoll Lewis Vlak,Buy,,main
2013-07-29,Stifel Nicolaus,Buy,,main
2013-10-11,Cantor Fitzgerald,Buy,Hold,up
2013-10-22,Jefferies,Hold,Buy,down
2013-10-30,Evercore Partners,Equal-Weight,Overweight,down
2013-10-30,Raymond James,Market Perform,Strong Buy,down
2013-10-31,Stifel Nicolaus,Hold,Buy,down
2013-11-04,Baird,Neutral,Outperform,down
2014-01-29,Macquarie,Underperform,Neutral,down
2014-04-04,Cowen & Co.,Underperform,,init
2014-04-22,Barclays,Overweight,,main
2014-05-07,Deutsche Bank,Hold,,main
2014-05-20,Barclays,Overweight,,main
2014-05-21,MLV & Co.,Hold,Buy,down
2014-05-29,Cantor Fitzgerald,Hold,Buy,down
2014-06-16,Jefferies,Buy,Hold,up
2014-07-21,Barclays,Overweight,,main
2014-07-22,Deutsche Bank,Buy,Hold,up
2014-07-30,Jefferies,Buy,,main
2014-09-10,Stifel Nicolaus,Hold,,init
2014-09-12,Citigroup,Neutral,,main
2014-11-03,Cantor Fitzgerald,Sell,Hold,down
