Date,Firm,To Grade,From Grade,Action
2012-02-09,JP Morgan,Overweight,,init
2012-02-22,Bank of America,Buy,,main
2012-03-26,Canaccord Genuity,Hold,,init
2012-04-25,Deutsche Bank,Buy,,main
2012-05-15,Jefferies,Buy,,main
2012-05-17,Feltl & Co.,Strong Buy,,main
2012-05-18,Goldman Sachs,Neutral,,main
2012-06-28,Barclays,Equal-Weight,,main
2012-06-29,Goldman Sachs,Neutral,,main
2012-07-02,Deutsche Bank,Hold,Buy,down
2012-07-03,Wedbush,Outperform,,main
2012-07-09,Morgan Stanley,Underweight,Equal-Weight,down
2012-08-13,Jefferies,Buy,,main
2012-08-16,PiperJaffray,Overweight,,main
2012-10-11,Bank of America,Buy,,main
2012-10-12,Jefferies,Hold,Buy,down
2012-10-12,PiperJaffray,Neutral,Overweight,down
2012-10-15,JP Morgan,Overweight,,main
2012-10-18,Goldman Sachs,Neutral,,main
2012-11-15,MKM Partners,Buy,,up
2012-11-16,MKM Partners,Buy,Neutral,up
2013-01-08,Nomura,,,main
2013-02-25,Wedbush,Outperform,,main
2013-02-27,Deutsche Bank,Hold,,main
2013-02-27,Canaccord Genuity,Hold,,main
2013-02-28,Jefferies,Hold,,main
2013-03-04,Standpoint Research,Accumulate,,init
2013-04-03,Morgan Stanley,Overweight,Equal-Weight,up
2013-05-07,JP Morgan,Overweight,,main
2013-05-24,Nomura,Neutral,,main
2013-06-05,Sterne Agee,Buy,,init
2013-06-17,JP Morgan,Overweight,,main
2013-07-02,Standpoint Research,Hold,Buy,down
2013-08-26,Deutsche Bank,Buy,Hold,up
2013-08-26,BMO Capital,Outperform,,main
2013-09-18,Deutsche Bank,Buy,,main
2013-09-19,Jefferies,Hold,,main
2013-11-21,Canaccord Genuity,Hold,,main
2013-11-22,Deutsche Bank,Buy,,main
2013-11-22,Barclays,Overweight,Equal-Weight,up
2014-01-06,Johnson Rice,Overweight,Equal-Weight,up
2014-01-22,Sterne Agee,Neutral,Buy,down
2014-03-04,JP Morgan,Overweight,,main
2014-05-29,Sterne Agee,Buy,Neutral,up
2014-06-24,Northcoast Research,Buy,Neutral,up
2014-06-25,Morgan Stanley,Equal-weight,,init
2014-07-28,Bank of America,Neutral,Buy,down
2014-07-28,Credit Suisse,Neutral,Outperform,down
2014-07-29,BMO Capital,Market Perform,Outperform,down
2014-07-29,Jefferies,Hold,,main
2014-07-29,Johnson Rice,Equal-Weight,Overweight,down
2014-08-18,Bank of America,Buy,Neutral,up
2014-09-12,UBS,Buy,,init
2014-11-10,Deutsche Bank,Buy,,main
2014-11-12,Jefferies,Hold,,main
2014-11-21,Stifel Nicolaus,Buy,,main
2014-11-21,Barclays,Overweight,,main
2014-11-21,Wedbush,Outperform,,main
2014-12-10,Citigroup,Neutral,,init
2014-12-16,Deutsche Bank,Hold,Buy,down
2015-01-15,Deutsche Bank,Hold,,main
2015-01-22,Barclays,Overweight,,main
2015-02-04,Raymond James,Strong Buy,,main
2015-02-17,Stifel Nicolaus,Buy,,main
2015-02-25,BB&T Capital,Hold,Buy,down
2015-02-26,Deutsche Bank,Hold,,main
2015-02-26,Stifel Nicolaus,Hold,Buy,down
2015-02-26,Jefferies,Hold,,main
2015-02-26,BB&T Capital,Hold,Buy,down
2015-03-17,BMO Capital,Market Perform,,main
2015-04-21,Cantor Fitzgerald,Buy,,init
2015-07-15,Citigroup,Neutral,,main
2015-09-02,Cantor Fitzgerald,Buy,,main
2015-09-02,RBC Capital,Outperform,,main
2015-09-02,Jefferies,Hold,,main
2015-09-02,UBS,Buy,,main
2015-09-02,Deutsche Bank,Hold,,main
2015-09-02,Credit Suisse,Neutral,,main
2015-09-04,Bank of America,Buy,Neutral,up
