,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,157826000.0,142101000.0,140957000.0,143033000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1400826000.0,841734000.0,843009000.0,725378000.0
Minority Interest,,,,
Net Income,1123818000.0,683451000.0,677918000.0,570267000.0
Selling General Administrative,1513951000.0,1366960000.0,1431176000.0,1531829000.0
Gross Profit,2982681000.0,2492914000.0,2629848000.0,2576477000.0
Ebit,1310904000.0,983853000.0,1057715000.0,901615000.0
Operating Income,1310904000.0,983853000.0,1057715000.0,901615000.0
Other Operating Expenses,,,,
Interest Expense,-106319000.0,-111937000.0,-125818000.0,-130972000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,277008000.0,158283000.0,165091000.0,134233000.0
Total Revenue,7907081000.0,6683760000.0,7136397000.0,6992118000.0
Total Operating Expenses,6596177000.0,5699907000.0,6078682000.0,6090503000.0
Cost Of Revenue,4924400000.0,4190846000.0,4506549000.0,4415641000.0
Total Other Income Expense Net,89922000.0,-142119000.0,-214706000.0,-176237000.0
Discontinued Operations,,,,-20878000.0
Net Income From Continuing Ops,1123818000.0,683451000.0,677918000.0,591145000.0
Net Income Applicable To Common Shares,1123818000.0,683451000.0,677918000.0,570267000.0
