Date,Firm,To Grade,From Grade,Action
2012-04-13,BMO Capital,Outperform,,init
2012-04-13,Morgan Stanley,Equal-Weight,,up
2012-07-09,Stifel Nicolaus,Buy,,main
2012-07-09,Goldman Sachs,Buy,,main
2012-07-10,Morgan Stanley,Equal-Weight,,main
2012-07-10,Barclays,Equal-Weight,,main
2012-09-10,JP Morgan,Neutral,Underweight,up
2012-09-13,Barclays,Overweight,Equal-Weight,up
2012-09-18,Citigroup,Neutral,,init
2012-10-08,Stifel Nicolaus,Buy,,main
2012-10-12,Deutsche Bank,Hold,,init
2012-11-16,Citigroup,Neutral,,main
2012-12-11,Baird,Outperform,Neutral,up
2012-12-11,Barclays,Overweight,,main
2012-12-11,Credit Suisse,Neutral,,main
2012-12-12,BMO Capital,Outperform,,main
2013-01-08,Morgan Stanley,Overweight,Equal-Weight,up
2013-02-04,Ascendiant Capital,Buy,,init
2013-03-18,Citigroup,Neutral,,main
2013-03-25,Deutsche Bank,Hold,,main
2013-04-18,Credit Suisse,Neutral,,main
2013-05-23,Bank of America,Buy,Neutral,up
2013-05-30,Nomura,Buy,,main
2013-10-18,Global Hunter Securities,Buy,,up
2013-10-18,Ascendiant Capital,Neutral,Buy,down
2013-12-02,Morgan Stanley,Equal-weight,Overweight,down
2014-01-16,Citigroup,Neutral,,main
2014-01-31,Citigroup,Neutral,,main
2014-03-03,Stifel Nicolaus,Buy,,main
2014-03-04,Morgan Stanley,Equal-Weight,,main
2014-03-04,Citigroup,Hold,,main
2014-03-21,Goldman Sachs,Neutral,,init
2014-04-02,Credit Suisse,Outperform,Neutral,up
2014-04-21,Stifel Nicolaus,Hold,Buy,down
2014-07-18,JP Morgan,Neutral,,main
2014-07-18,Credit Suisse,Outperform,,main
2014-07-18,Barclays,Overweight,,main
2014-10-06,Barclays,Overweight,,main
2014-10-13,Bank of America,Neutral,Outperform,down
2014-10-17,Morgan Stanley,Equal-Weight,,main
2014-10-17,Barclays,Overweight,,main
2014-10-17,Credit Suisse,Outperform,,main
2014-11-25,RBC Capital,Sector Perform,,init
2014-11-28,Vertical Research,Sell,,down
2014-12-01,JP Morgan,Underweight,Neutral,down
2014-12-02,Seaport Global,Neutral,Buy,down
2014-12-02,Goldman Sachs,Sell,Neutral,down
2014-12-05,Bank of America,Neutral,Buy,down
2014-12-09,JP Morgan,Underweight,,main
2014-12-09,Deutsche Bank,Sell,Hold,down
2015-01-12,Barclays,Overweight,,main
2015-01-12,Credit Suisse,Outperform,,main
2015-01-15,JP Morgan,Underweight,,main
2015-01-28,Barclays,Overweight,,main
2015-01-28,Credit Suisse,Outperform,,main
2015-02-02,JP Morgan,Underweight,,main
2015-03-17,Barclays,Overweight,,main
2015-03-23,Barclays,Equal-Weight,Overweight,down
2015-04-01,Nomura,Buy,,init
2015-04-10,Nomura,Buy,,main
2015-04-10,BMO Capital,Outperform,,main
2015-04-10,Barclays,Equal-Weight,,main
2015-05-22,Deutsche Bank,Hold,Sell,up
2015-07-13,Barclays,Equal-Weight,,main
2015-07-22,Barclays,Equal-Weight,,main
2015-08-26,Vertical Research,Buy,Sell,up
2015-08-31,Bernstein,Outperform,Market Perform,up
2015-09-11,JP Morgan,Neutral,Underweight,up
2015-10-05,Barclays,Equal-Weight,,main
2015-11-03,SunTrust Robinson Humphrey,Buy,,init
2015-12-04,Oppenheimer,Perform,,init
2015-12-04,Oppenheimer,Perform,,init
2015-12-16,Credit Suisse,Outperform,,main
2015-12-16,William Blair,Market Perform,Outperform,down
2016-01-12,Goldman Sachs,Neutral,,up
2016-01-13,UBS,Sell,Neutral,down
2016-01-15,Bernstein,Market Perform,Outperform,down
2016-01-19,Barclays,Equal-Weight,,main
2016-01-21,Citigroup,Neutral,,init
2016-03-07,Nomura,Buy,,main
2016-03-08,Vertical Research,Hold,Buy,down
2016-03-14,Credit Suisse,Outperform,,main
2016-03-15,Citigroup,Neutral,,main
2016-03-16,Citigroup,Neutral,,main
2016-03-17,Barclays,Equal-Weight,,main
2016-04-19,Citigroup,Neutral,,main
2016-04-25,Seaport Global,Neutral,Buy,down
2016-05-10,Bank of America,Buy,Neutral,up
2016-06-08,Baird,Outperform,Neutral,up
2016-06-08,Citigroup,Neutral,,main
2016-06-10,Bernstein,Outperform,Market Perform,up
2016-07-18,Barclays,Equal-Weight,,main
