,2022-01-02,2021-01-03,2019-12-29,2018-12-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,625705000.0,555130000.0,482637000.0,428678000.0
Minority Interest,,,,
Net Income,510467000.0,491296000.0,400709000.0,361972000.0
Selling General Administrative,428333000.0,406613000.0,380793000.0,371964000.0
Gross Profit,1208741000.0,1132255000.0,1011700000.0,944153000.0
Ebit,780408000.0,725642000.0,630907000.0,572189000.0
Operating Income,780408000.0,725642000.0,630907000.0,572189000.0
Other Operating Expenses,,,,
Interest Expense,-191806000.0,-172166000.0,-150818000.0,-146345000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,115238000.0,63834000.0,81928000.0,66706000.0
Total Revenue,4357373000.0,4117411000.0,3618774000.0,3432867000.0
Total Operating Expenses,3576965000.0,3391769000.0,2987867000.0,2860678000.0
Cost Of Revenue,3148632000.0,2985156000.0,2607074000.0,2488714000.0
Total Other Income Expense Net,-154703000.0,-170512000.0,-148270000.0,-143511000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,510467000.0,491296000.0,400709000.0,361972000.0
Net Income Applicable To Common Shares,510467000.0,491296000.0,400709000.0,361972000.0
