Date,Firm,To Grade,From Grade,Action
2012-02-14,Miller Tabak,Hold,,init
2012-02-29,Citigroup,Neutral,,main
2012-02-29,JP Morgan,Neutral,,down
2012-03-20,Bank oferica,Underperform,,down
2012-03-23,JP Morgan,Neutral,,main
2012-04-25,Bank oferica,Neutral,,up
2012-05-01,Citigroup,Neutral,,main
2012-06-01,Goldman Sachs,Neutral,,init
2012-07-25,Goldman Sachs,Buy,Neutral,up
2012-10-08,Miller Tabak,Buy,,main
2012-10-16,Citigroup,Neutral,,main
2012-10-16,Miller Tabak,Buy,,main
2012-10-16,Feltl & Co.,Hold,,main
2012-10-17,Barclays,Equal-Weight,,main
2012-12-27,Oppenheimer,Outperform,,main
2013-01-03,Miller Tabak,Buy,,main
2013-01-10,Sidoti & Co.,Hold,Buy,down
2013-01-14,Citigroup,Neutral,,main
2013-02-28,Oppenheimer,Outperform,,main
2013-03-04,Miller Tabak,Buy,,main
2013-03-11,JP Morgan,Neutral,,main
2013-04-04,Goldman Sachs,Buy,,main
2013-05-15,Miller Tabak,Hold,Buy,down
2013-05-15,Miller Tabak,Hold,Buy,down
2013-07-03,Oriel,Hold,Add,down
2013-07-03,Numis Securities,Add,Buy,down
2013-07-16,Stifel Nicolaus,Buy,,init
2013-07-16,Stifel Nicolaus,Buy,,init
2013-07-16,JP Morgan,Neutral,,main
2013-09-09,KeyBanc,Buy,,init
2013-10-03,Oppenheimer,Perform,Outperform,down
2014-03-14,Longbow Research,Buy,,init
2014-04-15,Barclays,Equal-Weight,,main
2014-05-02,JP Morgan,Neutral,,main
2014-06-10,Jefferies,Buy,,init
2014-06-17,Bank of America,Underperform,Neutral,down
2014-07-23,Barclays,Equal-Weight,,main
2014-07-31,Citigroup,Neutral,,main
2014-08-04,Miller Tabak,Buy,Hold,up
2014-10-15,Jefferies,Buy,,main
2014-10-15,Morgan Stanley,Equal-Weight,,main
2014-11-04,Citigroup,Neutral,,main
2014-11-05,Miller Tabak,Hold,Buy,down
2014-12-08,Goldman Sachs,Neutral,,init
2015-01-06,Jefferies,Hold,Buy,down
