,2021-05-30,2020-05-31,2019-05-26,2018-05-27
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,576500000.0,-161000000.0,782300000.0,605700000.0
Minority Interest,,,,
Net Income,629300000.0,-52400000.0,713400000.0,596000000.0
Selling General Administrative,487300000.0,614400000.0,660800000.0,662100000.0
Gross Profit,1493500000.0,1408400000.0,1849000000.0,1745400000.0
Ebit,655300000.0,438100000.0,851500000.0,770200000.0
Operating Income,655300000.0,438100000.0,851500000.0,770200000.0
Other Operating Expenses,,,,
Interest Expense,-65200000.0,-62200000.0,-54000000.0,-59700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-55900000.0,-111800000.0,63700000.0,1900000.0
Total Revenue,7196100000.0,7806900000.0,8510400000.0,8080100000.0
Total Operating Expenses,6540800000.0,7368800000.0,7658900000.0,7309900000.0
Cost Of Revenue,5702600000.0,6398500000.0,6661400000.0,6334700000.0
Total Other Income Expense Net,-78800000.0,-599100000.0,-69200000.0,-164500000.0
Discontinued Operations,-3100000.0,-3200000.0,-5200000.0,-7800000.0
Net Income From Continuing Ops,632400000.0,-49200000.0,718600000.0,603800000.0
Net Income Applicable To Common Shares,629300000.0,-52400000.0,713400000.0,596000000.0
