Date,Firm,To Grade,From Grade,Action
2012-02-16,UBS,Buy,,main
2012-02-27,DA Davidson,Neutral,,main
2012-03-23,Jefferies,Buy,,main
2012-03-23,Citigroup,Buy,,main
2012-03-23,Sterne Agee,Buy,,main
2012-03-23,DA Davidson,Neutral,,main
2012-03-26,Citigroup,Buy,,main
2012-03-26,Jefferies,Buy,,main
2012-03-27,Citigroup,Buy,,main
2012-06-22,Miller Tabak,Buy,,main
2012-06-25,Barclays,Overweight,,main
2012-06-25,Goldman Sachs,Buy,,main
2012-07-13,KeyBanc,Hold,,init
2012-07-24,Davenport,Buy,,init
2012-09-13,Baird,Neutral,Outperform,down
2012-09-21,Jefferies,Buy,,main
2012-09-21,Citigroup,Buy,,main
2012-09-21,Deutsche Bank,Hold,,main
2012-09-21,Sterne Agee,Buy,,main
2012-09-21,Miller Tabak,Buy,,main
2012-09-24,JP Morgan,Neutral,Overweight,down
2012-09-24,Jefferies,Buy,,main
2012-09-24,Susquehanna,Neutral,Positive,down
2012-09-24,UBS,Buy,,main
2012-09-24,Barclays,Overweight,,main
2012-09-24,Bank of America,Buy,,main
2012-12-04,Citigroup,Buy,,main
2012-12-04,JP Morgan,Neutral,,main
2012-12-04,Bank of America,Underperform,Buy,down
2012-12-04,Cowen & Co.,Neutral,Buy,down
2012-12-05,Jefferies,Hold,Buy,down
2012-12-05,Deutsche Bank,Hold,,main
2012-12-05,Sterne Agee,Buy,,main
2012-12-13,Goldman Sachs,Neutral,Buy,down
2012-12-21,JP Morgan,Neutral,,main
2012-12-21,BMO Capital,Market Perform,,main
2013-02-13,Credit Agricole,Underperform,,init
2013-02-22,Janney Capital,Buy,Neutral,up
2013-02-25,Jefferies,Hold,,main
2013-02-26,Oppenheimer,Outperform,,main
2013-02-27,Bank of America,Neutral,Underperform,up
2013-02-27,Jefferies,Hold,,main
2013-02-27,JP Morgan,Neutral,,main
2013-02-28,Miller Tabak,Buy,,main
2013-03-01,UBS,Neutral,Buy,down
2013-03-25,Oppenheimer,Outperform,,main
2013-03-25,Citigroup,Buy,,main
2013-03-25,Stephens & Co.,Overweight,Equal-weight,up
2013-06-19,Oppenheimer,Outperform,,main
2013-06-19,Oppenheimer,Outperform,,main
2013-06-19,Deutsche Bank,Hold,,main
2013-06-24,Deutsche Bank,Hold,,main
2013-06-24,Jefferies,Hold,,main
2013-06-24,JP Morgan,Neutral,,main
2013-06-24,BMO Capital,Market Perform,,main
2013-07-16,Stifel Nicolaus,Hold,,init
2013-07-16,JP Morgan,Neutral,,main
2013-08-28,Oppenheimer,Outperform,,main
2013-09-06,Wunderlich,Hold,,init
