Date,Firm,To Grade,From Grade,Action
2012-06-04,Citigroup,Neutral,,main
2012-07-18,Credit Suisse,Outperform,,main
2012-07-23,Argus,Hold,Buy,down
2012-07-30,Deutsche Bank,Hold,,main
2012-07-30,Barclays,Equal-Weight,,main
2012-07-30,BMO Capital,Market Perform,,main
2012-07-31,Jefferies,Buy,,init
2012-08-02,Pivotal Research,Buy,,main
2012-09-18,Credit Suisse,Neutral,,main
2012-09-25,Hudson Square,Buy,Hold,up
2012-10-08,Pacific Crest,Sector Perform,,init
2012-10-09,JP Morgan,Neutral,Overweight,down
2012-10-15,Morgan Stanley,Overweight,,main
2012-10-23,Barclays,Overweight,,main
2012-10-24,ISI Group,Hold,,main
2012-10-25,Deutsche Bank,Hold,,main
2012-10-25,Wunderlich,Hold,,main
2012-11-02,Wunderlich,Buy,,main
2012-11-05,Deutsche Bank,Buy,,main
2012-11-06,Pivotal Research,Buy,,main
2012-11-14,Jefferies,Buy,,main
2012-12-18,Deutsche Bank,Hold,,main
2012-12-21,Wunderlich,Buy,,main
2013-01-08,Citigroup,Neutral,,main
2013-01-14,Brean Capital,Buy,,main
2013-01-28,ISI Group,Buy,,main
2013-02-15,Nomura,Reduce,,main
2013-02-15,Brean Capital,Buy,,main
2013-02-15,ISI Group,Neutral,Buy,down
2013-02-19,JP Morgan,Neutral,,main
2013-02-21,Credit Suisse,Outperform,,main
2013-02-21,BMO Capital,Market Perform,,main
2013-03-04,Standpoint,Buy,,init
2013-03-25,Guggenheim,Buy,Neutral,up
2013-03-25,Brean Capital,Buy,,main
2013-03-27,UBS,Neutral,,main
2013-04-15,Wunderlich,Buy,,main
2013-04-16,Stifel Nicolaus,Buy,,init
2013-04-17,Deutsche Bank,Hold,,main
2013-04-29,Deutsche Bank,Hold,,main
2013-04-29,BMO Capital,Market Perform,,main
2013-04-29,Wunderlich,Hold,,main
2013-05-08,Brean Capital,Buy,,main
2013-05-08,Credit Suisse,Neutral,,main
2013-05-08,Stifel Nicolaus,Buy,,main
2013-05-17,Wunderlich,Buy,,main
2013-05-23,Standpoint Research,Hold,Buy,down
2013-06-27,Moffett Nathanson,Buy,Neutral,up
2013-07-29,Brean Capital,Buy,,main
2013-07-31,Barclays,Equal-Weight,,init
2013-08-02,Guggenheim,Neutral,Buy,down
2013-08-19,Nomura,Reduce,,main
2013-08-27,Raymond James,Outperform,,init
2013-09-25,Wells Fargo,Market Perform,,init
2013-10-01,Deutsche Bank,Hold,,main
2013-10-25,FBR Capital,Market Perform,,init
2013-10-28,Wolfe Research,Outperform,Hold,up
2013-12-04,Northland Securities,Outperform,,init
2013-12-09,Wunderlich,Buy,,main
2013-12-11,Deutsche Bank,Hold,,main
2013-12-13,Brean Capital,Buy,,main
2014-01-03,Citigroup,Buy,Neutral,up
2014-01-21,Macquarie,Outperform,Neutral,up
2014-02-19,Standpoint Research,Hold,Buy,down
2014-02-21,Wunderlich,Buy,,main
2014-02-21,Brean Capital,Buy,,main
2014-03-10,Barclays,Equal-Weight,Equal-Weight,main
2014-03-31,KeyBanc,Buy,Hold,up
2014-04-23,Deutsche Bank,Hold,,main
2014-04-24,Citigroup,Buy,,main
2014-04-28,UBS,Neutral,,main
2014-05-02,Citigroup,Hold,,main
2014-05-02,Citigroup,Neutral,Buy,down
2014-05-05,Brean Capital,Buy,,main
2014-05-07,UBS,Neutral,,main
2014-05-07,Raymond James,Outperform,,main
2014-05-07,JP Morgan,Neutral,,main
2014-05-07,Brean Capital,Buy,,main
2014-05-08,Buckingham Research,,,main
2014-05-08,Wunderlich,Buy,,main
2014-05-19,Brean Capital,Buy,,main
2014-05-19,Wunderlich,Hold,Buy,down
2014-05-19,Atlantic Equities,Neutral,,down
2014-05-19,Buckingham Research,Neutral,,main
2014-05-19,Nomura,Neutral,Reduce,up
2014-05-19,Pivotal Research,Hold,Buy,down
2014-05-20,Morgan Stanley,Equal-weight,Overweight,down
2014-06-12,Macquarie,Neutral,Outperform,down
2014-06-18,Buckingham Research,Buy,Neutral,up
2014-07-15,Barclays,Equal-Weight,,main
2014-07-23,Citigroup,Buy,,main
2014-08-01,JP Morgan,Neutral,,main
2014-08-01,Jefferies,Hold,,main
2014-08-07,ISI Group,Buy,Neutral,up
2014-08-28,UBS,Neutral,,main
2014-09-10,Canaccord Genuity,Hold,,init
2014-10-27,Macquarie,Outperform,,main
2014-10-27,KeyBanc,Buy,,main
2014-10-29,ISI Group,Hold,Buy,down
2014-12-12,UBS,Buy,Neutral,up
2014-12-15,Citigroup,Neutral,,main
2014-12-17,Deutsche Bank,Hold,,main
2015-02-17,Deutsche Bank,Hold,,main
2015-02-17,Barclays,Equal-Weight,,main
2015-02-20,Buckingham Research,Neutral,Buy,down
2015-02-23,Brean Capital,Hold,Buy,down
2015-04-13,Goldman Sachs,Neutral,,init
2015-07-27,Barclays,Equal-Weight,,main
2016-01-13,Barclays,Overweight,Equal-Weight,up
2016-01-27,Deutsche Bank,Hold,,main
2016-04-07,Barclays,Overweight,,main
2016-09-27,Macquarie,Outperform,,main
2016-09-29,UBS,Buy,,main
2016-11-14,Jefferies,Buy,,init
2016-11-22,Bank of America,Buy,Neutral,up
2017-01-09,UBS,Neutral,Buy,down
2017-01-25,Credit Suisse,Neutral,,init
2017-10-26,Credit Suisse,Neutral,,main
2018-01-12,Wells Fargo,Outperform,Market Perform,up
2018-02-02,UBS,Neutral,,init
2018-02-20,Bank of America,Underperform,Underperform,main
2018-02-20,Credit Suisse,Neutral,Neutral,main
2018-04-13,Citigroup,Neutral,,init
2018-04-18,KeyBanc,Overweight,Overweight,main
2018-06-11,Wells Fargo,Market Perform,Outperform,down
2018-07-11,KeyBanc,Overweight,Overweight,main
2018-07-24,Scotia Howard Weil,Sector Outperform,,init
2018-07-27,KeyBanc,Overweight,Overweight,main
2018-08-15,Barclays,Equal-Weight,,init
2018-09-10,Citigroup,Neutral,Neutral,main
2018-09-17,Wells Fargo,Market Perform,Market Perform,main
2018-10-25,Wells Fargo,Market Perform,Market Perform,main
2018-10-25,Credit Suisse,Underperform,Neutral,down
2018-12-10,Citigroup,Neutral,Neutral,main
2019-02-11,Credit Suisse,Underperform,Underperform,main
2019-04-25,UBS,Neutral,Neutral,main
2019-06-03,Bank of America,Underperform,,main
2019-08-12,Mizuho,Neutral,,init
2019-08-26,Wells Fargo,Outperform,Market Perform,up
2019-10-07,Mizuho,Buy,Neutral,up
2019-10-08,JP Morgan,Neutral,,init
2019-10-21,Bank of America,Neutral,Underperform,up
