,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2898000000.0,-3090000000.0,-109000000.0,944000000.0
Minority Interest,137000000.0,134000000.0,118000000.0,118000000.0
Net Income,2813000000.0,-2680000000.0,-355000000.0,3064000000.0
Selling General Administrative,391000000.0,338000000.0,475000000.0,574000000.0
Gross Profit,7414000000.0,1557000000.0,2665000000.0,2965000000.0
Ebit,3317000000.0,73000000.0,177000000.0,1390000000.0
Operating Income,3317000000.0,73000000.0,177000000.0,1390000000.0
Other Operating Expenses,1534000000.0,-169000000.0,458000000.0,-464000000.0
Interest Expense,-388000000.0,-259000000.0,-260000000.0,-287000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,65000000.0,-547000000.0,-30000000.0,230000000.0
Total Revenue,13117000000.0,4503000000.0,6674000000.0,8439000000.0
Total Operating Expenses,9800000000.0,4430000000.0,6497000000.0,7049000000.0
Cost Of Revenue,5703000000.0,2946000000.0,4009000000.0,5474000000.0
Total Other Income Expense Net,-419000000.0,-3163000000.0,-286000000.0,-446000000.0
Discontinued Operations,,-128000000.0,-274000000.0,2510000000.0
Net Income From Continuing Ops,2833000000.0,-2543000000.0,-79000000.0,714000000.0
Net Income Applicable To Common Shares,2783000000.0,-2684000000.0,-357000000.0,3056000000.0
