Date,Firm,To Grade,From Grade,Action
2012-02-13,ISI Group,Outperform,,up
2012-02-28,Oppenheimer,Outperform,,main
2012-05-02,Societe Generale,Buy,,main
2012-05-07,Jefferies,Buy,,main
2012-05-07,Guggenheim,Buy,,main
2012-05-18,Deutsche Bank,Hold,,main
2012-05-25,Oppenheimer,Outperform,,main
2012-06-05,Guggenheim,Buy,,main
2012-07-02,Barclays,Equal-Weight,Overweight,down
2012-07-16,Deutsche Bank,Hold,,main
2012-07-18,JP Morgan,Overweight,,main
2012-07-23,Tudor Pickering,Accumulate,Buy,down
2012-08-01,Susquehanna,Positive,Neutral,up
2012-08-02,Macquarie,Neutral,Outperform,down
2012-08-02,UBS,Buy,,main
2012-08-02,Citigroup,Buy,,main
2012-08-02,Jefferies,Buy,,main
2012-08-03,Barclays,Equal-Weight,,main
2012-08-06,JP Morgan,Overweight,,main
2012-09-28,Credit Suisse,Outperform,,init
2012-10-05,Barclays,Equal-Weight,,main
2012-11-08,UBS,Neutral,Buy,down
2012-11-08,Deutsche Bank,Hold,,main
2012-11-08,Citigroup,Neutral,Buy,down
2012-11-08,Barclays,Equal-Weight,,main
2012-11-09,Jefferies,Buy,,main
2012-11-13,Credit Suisse,Outperform,,main
2012-11-15,UBS,Neutral,,main
2012-11-19,Oppenheimer,Outperform,,main
2012-11-20,Morgan Stanley,Equal-Weight,,init
2012-11-20,Morgan Stanley,Equal-Weight,,init
2012-12-21,Jefferies,Buy,,main
2013-01-15,JP Morgan,Overweight,,main
2013-02-14,Bank of America,Buy,,main
2013-02-27,JP Morgan,Overweight,,main
2013-05-07,ISI Group,Neutral,,init
2013-05-23,JP Morgan,Neutral,Overweight,down
2013-08-20,Canaccord Genuity,Buy,,init
2013-09-10,Deutsche Bank,Hold,,main
2013-10-22,Guggenheim,,,main
2013-10-22,iBERIA Capital Partners,Sector Perform,,init
2013-10-22,Jefferies,Buy,,main
2013-11-07,Credit Suisse,Neutral,Outperform,down
2013-11-08,Global Hunter Securities,Neutral,,init
2013-11-21,UBS,Neutral,,main
2013-12-03,Argus,Buy,Hold,up
2013-12-09,Deutsche Bank,Hold,,main
2014-01-06,Guggenheim,Neutral,Buy,down
2014-02-04,Credit Suisse,Outperform,Neutral,up
2014-02-20,Morgan Stanley,Equal-Weight,,main
2014-03-18,Goldman Sachs,Neutral,,init
2014-03-25,Raymond James,Outperform,,main
2014-03-26,Capital One Financial,Overweight,Equal-Weight,up
2014-03-31,Citigroup,Neutral,,main
2014-04-01,Deutsche Bank,Hold,,main
2014-04-03,Credit Suisse,Outperform,,main
2014-04-09,BMO Capital,Outperform,,init
2014-04-22,JP Morgan,Neutral,,main
2014-04-22,FBR Capital,Outperform,,main
2014-05-08,UBS,Neutral,,main
2014-05-20,Barclays,Overweight,Equal-weight,up
2014-06-03,Wells Fargo,Outperform,Market Perform,up
2014-06-11,Deutsche Bank,Hold,,main
2014-06-16,Argus,Buy,,main
2014-07-07,Citigroup,Buy,Neutral,up
2014-07-18,JP Morgan,Neutral,,main
2014-07-18,Deutsche Bank,Hold,,main
2014-07-21,Barclays,Overweight,,main
2014-09-24,Wolfe Research,Outperform,,init
2014-10-09,Barclays,Overweight,,main
2014-10-20,Morgan Stanley,Equal-Weight,,main
2014-10-21,Seaport Global,,Neutral,up
2014-10-21,Guggenheim,Buy,Neutral,up
2014-12-05,JP Morgan,Neutral,,main
2014-12-08,Citigroup,Buy,,main
2014-12-11,Deutsche Bank,Hold,,main
2014-12-16,Barclays,Overweight,,main
2014-12-16,Scotia Howard Weil,Sector Outperform,,main
2015-01-06,Deutsche Bank,Hold,,main
2015-01-14,Barclays,Equal-Weight,Overweight,down
2015-01-30,Deutsche Bank,Buy,Hold,up
2015-02-18,Citigroup,Buy,,main
2015-02-19,Deutsche Bank,Buy,,main
2015-02-20,Jefferies,Buy,,main
2015-03-30,Credit Suisse,Outperform,,main
2015-04-22,Nomura,Neutral,,init
2015-04-24,Jefferies,Buy,,main
2015-04-28,Cowen & Co.,Outperform,,init
2015-05-06,RBC Capital,Outperform,,main
2015-05-11,Barclays,Equal-Weight,,main
2015-05-20,Imperial Capital,Outperform,,init
2015-06-01,Deutsche Bank,Buy,,main
2015-06-02,Evercore ISI Group,Hold,,init
2015-06-10,GMP Securities,Buy,,up
2015-06-17,Oppenheimer,Perform,Outperform,down
2015-07-10,Macquarie,Outperform,Neutral,up
2015-07-13,Barclays,Equal-Weight,,main
2015-08-06,Peters & Co.,Sector Perform,,down
2015-08-10,Barclays,Equal-Weight,,main
2015-08-24,Susquehanna,Positive,,main
2015-09-08,Barclays,Equal-Weight,,main
2015-09-14,Citigroup,Buy,,main
2015-09-17,Argus,Buy,,main
2015-10-01,Bernstein,Outperform,Market Perform,up
2015-10-28,UBS,Sell,Neutral,down
2015-10-29,UBS,Sell,Neutral,down
2015-11-12,Guggenheim,Buy,Neutral,up
2015-12-09,JP Morgan,Overweight,,init
2016-01-07,Deutsche Bank,Buy,,main
2016-01-11,Barclays,Overweight,Equal-Weight,up
2016-01-13,Seaport Global,Neutral,Accumulate,down
2016-01-21,Nomura,Neutral,,main
2016-01-26,Susquehanna,Positive,,main
2016-01-26,Citigroup,Buy,,init
