Date,Firm,To Grade,From Grade,Action
2017-04-04,RBC Capital,Outperform,,init
2017-04-06,Morgan Stanley,Overweight,Equal-Weight,up
2017-04-19,JP Morgan,Overweight,,init
2017-05-25,Barclays,Overweight,,init
2017-05-30,Stifel Nicolaus,Hold,,init
2017-07-21,KeyBanc,Overweight,Sector Weight,up
2017-08-09,BMO Capital,Outperform,,main
2017-08-10,BMO Capital,Outperform,,main
2017-09-12,Bank of America,Buy,,init
2017-09-15,BMO Capital,Outperform,,main
2017-10-12,Barclays,Overweight,,main
2017-10-12,BMO Capital,Outperform,,main
2017-10-13,Cantor Fitzgerald,Neutral,,main
2017-10-13,Citigroup,Buy,,main
2017-10-17,Evercore ISI Group,Outperform,,init
2017-10-18,Morgan Stanley,Overweight,,main
2017-11-08,Barclays,Overweight,,main
2017-11-08,KeyBanc,Overweight,,main
2017-11-08,Stifel Nicolaus,Hold,,main
2017-11-08,BMO Capital,Outperform,,main
2017-11-13,Jefferies,Buy,,main
2018-01-31,SunTrust Robinson Humphrey,Buy,Hold,up
2018-02-05,Morgan Stanley,Overweight,Overweight,main
2018-02-09,BMO Capital,Outperform,Outperform,main
2018-02-09,Deutsche Bank,Hold,,main
2018-04-18,Berenberg,Hold,,init
2018-05-21,KeyBanc,Overweight,Overweight,main
2018-05-25,BMO Capital,Outperform,Outperform,main
2018-05-29,JP Morgan,Overweight,Overweight,main
2018-05-30,SunTrust Robinson Humphrey,Buy,Buy,main
2018-06-01,Morgan Stanley,Overweight,Overweight,main
2018-08-08,KeyBanc,Overweight,Overweight,main
2018-08-08,BMO Capital,Outperform,Outperform,main
2018-08-08,Morgan Stanley,Overweight,Overweight,main
2018-08-09,Cantor Fitzgerald,Neutral,Neutral,main
2018-11-02,BMO Capital,Outperform,Outperform,main
2018-11-26,Cowen & Co.,Outperform,Market Perform,up
2019-05-20,KeyBanc,Overweight,,main
2019-05-21,BMO Capital,Outperform,,main
2019-05-24,KeyBanc,Overweight,,main
2019-05-24,Wells Fargo,Market Perform,,main
2019-05-24,BMO Capital,Outperform,,main
2019-08-09,BMO Capital,Market Perform,Outperform,down
2019-08-09,Bank of America,Buy,,reit
2019-08-09,KeyBanc,Sector Weight,Overweight,down
2019-08-28,Stifel,Hold,,main
2019-09-12,Evercore ISI Group,In-Line,Outperform,down
2019-09-26,Wells Fargo,Market Perform,,main
2019-10-07,JP Morgan,Overweight,,main
2019-10-14,Citigroup,Buy,,main
2019-11-12,Wells Fargo,Market Perform,,main
2019-11-12,RBC Capital,Outperform,,main
2019-11-12,Cantor Fitzgerald,Neutral,,main
2019-12-18,JP Morgan,Overweight,,main
2020-01-09,Wells Fargo,Underweight,Equal-Weight,down
2020-01-15,Citigroup,Buy,,main
2020-02-07,Wells Fargo,Underweight,,main
2020-03-11,Wells Fargo,Underweight,,main
2020-04-14,Wells Fargo,Underweight,,main
2020-05-21,Citigroup,Buy,,main
2020-05-29,Morgan Stanley,Overweight,,main
2020-05-29,JP Morgan,Neutral,Overweight,down
2020-06-01,Morgan Stanley,Overweight,,main
2020-08-10,BMO Capital,Market Perform,,main
2020-11-06,Morgan Stanley,Overweight,,main
2021-01-06,B of A Securities,Underperform,Buy,down
2021-01-29,Morgan Stanley,Equal-Weight,Overweight,down
2021-02-05,Wolfe Research,Outperform,Peer Perform,up
2021-03-30,Deutsche Bank,Buy,Hold,up
2021-05-27,Morgan Stanley,Equal-Weight,,main
2021-06-02,Wells Fargo,Overweight,Equal-Weight,up
2021-08-03,BMO Capital,Outperform,Market Perform,up
2021-08-17,JP Morgan,Underweight,Neutral,down
2021-08-24,Susquehanna,Positive,Neutral,up
2021-09-14,B of A Securities,Buy,Neutral,up
2021-09-22,MoffettNathanson,Neutral,Buy,down
2022-03-09,B of A Securities,Underperform,Buy,down
2022-03-22,JP Morgan,Underweight,,main
