,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,604200000.0,359900000.0,273500000.0,417400000.0
Effect Of Accounting Charges,,,,
Income Before Tax,173900000.0,225000000.0,104200000.0,-126500000.0
Minority Interest,,,,
Net Income,154700000.0,493600000.0,101100000.0,-127100000.0
Selling General Administrative,810500000.0,620700000.0,515700000.0,432800000.0
Gross Profit,1680500000.0,1280100000.0,931500000.0,663900000.0
Ebit,265800000.0,299500000.0,142300000.0,-186300000.0
Operating Income,265800000.0,299500000.0,142300000.0,-186300000.0
Other Operating Expenses,,,,
Interest Expense,-100300000.0,-84700000.0,-60300000.0,-22700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,19200000.0,-268600000.0,3100000.0,600000.0
Total Revenue,2448500000.0,1926700000.0,1476000000.0,1031600000.0
Total Operating Expenses,2182700000.0,1627200000.0,1333700000.0,1217900000.0
Cost Of Revenue,768000000.0,646600000.0,544500000.0,367700000.0
Total Other Income Expense Net,-91900000.0,-74500000.0,-38100000.0,59800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,154700000.0,493600000.0,101100000.0,-127100000.0
Net Income Applicable To Common Shares,154700000.0,493600000.0,101100000.0,-127100000.0
