Date,Firm,To Grade,From Grade,Action
2012-02-24,Brean Capital,Buy,,main
2012-02-24,Wunderlich,Buy,,main
2012-05-03,Feltl & Co.,Hold,,main
2012-05-03,McNicoll Lewis Vlak,Hold,,main
2012-08-07,Jefferies,Buy,,main
2012-09-20,PiperJaffray,Overweight,,main
2012-09-20,Jefferies,Buy,,main
2012-10-08,Feltl & Co.,Hold,,main
2012-10-08,Canaccord Genuity,Buy,,main
2012-10-09,Wedbush,Outperform,,main
2012-11-02,Canaccord Genuity,Buy,,main
2012-11-02,Jefferies,Buy,,main
2013-01-14,Wunderlich,Buy,,main
2013-03-13,Wunderlich,Buy,,main
2013-06-10,Wunderlich,Hold,Buy,down
2013-06-13,Feltl & Co.,Sell,Hold,down
2013-06-24,Canaccord Genuity,Buy,,main
2013-07-24,Northland Securities,Underperform,Market Perform,down
2013-08-08,Jefferies,Buy,,main
2013-09-13,JP Morgan,Overweight,,init
2013-09-13,JP Morgan,Overweight,,init
2013-10-15,Benchmark,Buy,,init
2013-11-07,Jefferies,Buy,,main
2013-11-07,Northland Securities,Market Perform,Underperform,up
2013-11-07,Benchmark,Buy,,main
2013-11-07,Wedbush,Outperform,,main
2014-02-20,Feltl & Co.,Sell,Hold,down
2014-04-10,Sterne Agee,Buy,Neutral,up
2014-05-02,Raymond James,Outperform,,main
2014-05-02,Leerink Swann,Market Perform,,main
2014-08-07,Raymond James,Outperform,,main
2014-08-07,Canaccord Genuity,Buy,,main
2014-11-07,JP Morgan,Overweight,,main
2014-12-08,Cowen & Co.,Outperform,,init
2014-12-17,JP Morgan,Overweight,,main
2015-01-06,Sterne Agee,Neutral,Buy,down
2015-02-26,JP Morgan,Overweight,,main
2015-02-26,Jefferies,Buy,,main
2015-05-01,Oppenheimer,Perform,,main
2015-07-08,Baird,Outperform,,init
2015-10-15,Leerink Swann,Outperform,Market Perform,up
2015-10-15,Sterne Agee CRT,Buy,Neutral,up
2015-11-02,Morgan Stanley,Overweight,,init
2016-02-08,Baird,Neutral,Outperform,down
2016-02-24,JP Morgan,Overweight,,main
2016-02-24,Jefferies,Buy,,main
2016-04-14,BTIG Research,Buy,,init
2016-07-15,Deutsche Bank,Buy,,main
2016-09-14,BTIG Research,Neutral,Buy,down
2016-09-16,Desjardins,Buy,Hold,up
2016-09-27,B. Riley FBR,Neutral,,init
2016-10-31,BTIG Research,Buy,Neutral,up
2016-12-15,B. Riley FBR,Buy,Neutral,up
2016-12-19,Oppenheimer,Outperform,Perform,up
2017-01-03,Morgan Stanley,Neutral,Overweight,down
2017-04-27,William Blair,Outperform,,init
2017-05-03,BTIG Research,Neutral,Buy,down
2017-08-02,BMO Capital,Outperformer,,main
2017-09-15,Barclays,Equal-Weight,,init
2017-09-26,Northland Securities,Outperform,,init
2017-09-28,JP Morgan,Neutral,Overweight,down
2017-09-28,Raymond James,Market Perform,Outperform,down
2017-09-28,Barclays,Equal-Weight,,main
2017-09-28,Cowen & Co.,Outperform,,main
2017-09-28,Baird,Neutral,,main
2017-09-28,Canaccord Genuity,Buy,,main
2017-11-02,Barclays,Equal-Weight,,main
2017-11-03,Morgan Stanley,Neutral,,main
2018-01-04,Northland Securities,Underperform,Market Perform,down
2018-02-28,Canaccord Genuity,Buy,Buy,main
2018-03-23,Baird,Outperform,Neutral,up
2018-04-04,Goldman Sachs,Sell,,init
2018-04-04,Guggenheim,Neutral,,init
2018-05-03,Canaccord Genuity,Buy,Buy,main
2018-05-03,BMO Capital,Outperformer,Outperformer,main
2018-05-04,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-11,Bank of America,Buy,,init
2018-06-08,JP Morgan,Overweight,Neutral,up
2018-07-02,Raymond James,Outperform,Market Perform,up
2018-08-02,Jefferies,Buy,Buy,main
2018-08-02,Bank of America,Buy,Buy,main
2018-08-02,Canaccord Genuity,Buy,Buy,main
2018-08-02,BMO Capital,Outperformer,Outperformer,main
2018-08-03,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-06,Berenberg,Buy,Hold,up
2018-08-15,Bank of America,Buy,Buy,main
2018-08-23,Baird,Outperform,Outperform,main
2018-08-23,Stephens & Co.,Overweight,Overweight,main
2018-08-23,Canaccord Genuity,Buy,Buy,main
2018-09-12,Northland Securities,Market Perform,Underperform,up
2018-10-11,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-19,Goldman Sachs,Neutral,Sell,up
2018-10-23,Raymond James,Outperform,Outperform,main
2018-11-28,UBS,Neutral,,init
2019-01-02,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-01-08,UBS,Neutral,Neutral,main
2019-02-25,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-04-30,UBS,Neutral,Neutral,main
2019-05-02,BMO Capital,Outperform,Outperform,main
2019-05-02,Raymond James,Outperform,Outperform,main
2019-08-01,Bank of America,Buy,,main
2019-08-01,Baird,Outperform,,main
2019-08-01,JP Morgan,Overweight,,main
2019-08-01,UBS,Neutral,,main
2019-08-01,Raymond James,Outperform,,main
2019-08-29,Baird,Outperform,,main
2019-09-03,BMO Capital,Outperform,,main
2019-10-23,Stifel,Buy,,init
2019-11-07,UBS,Neutral,,main
2019-11-07,JP Morgan,Overweight,,main
2019-11-07,Baird,Outperform,,main
2019-11-07,Piper Jaffray,Overweight,,main
2019-11-07,Stifel Nicolaus,Buy,,main
2019-11-07,Canaccord Genuity,Buy,,main
2019-11-07,Raymond James,Outperform,,main
2019-11-07,Morgan Stanley,Equal-Weight,,main
2019-12-17,Morgan Stanley,Equal-Weight,,main
2019-12-18,Bank of America,Buy,,reit
2019-12-20,JP Morgan,Overweight,,main
2020-02-14,Stephens & Co.,Overweight,,main
2020-02-14,UBS,Neutral,,main
2020-02-14,Canaccord Genuity,Buy,,main
2020-02-14,Oppenheimer,Outperform,,main
2020-02-14,Raymond James,Outperform,,main
2020-02-14,CFRA,Hold,,main
2020-02-18,Morgan Stanley,Equal-Weight,,main
2020-03-05,Citigroup,Buy,,init
2020-03-06,Oppenheimer,Outperform,,main
2020-03-23,Stephens & Co.,Overweight,,main
2020-03-27,Morgan Stanley,Equal-Weight,,main
2020-04-27,Raymond James,Outperform,,main
2020-04-29,Raymond James,Outperform,,main
2020-04-29,Oppenheimer,Outperform,,main
2020-04-29,Morgan Stanley,Equal-Weight,,main
2020-04-29,Stifel,Buy,,main
2020-04-29,Piper Sandler,Overweight,,main
2020-04-29,Guggenheim,Buy,,main
2020-04-29,JP Morgan,Overweight,,main
2020-04-29,Citigroup,Buy,,main
2020-04-30,UBS,Neutral,,main
2020-05-14,Wells Fargo,Equal-Weight,,init
2020-05-27,Piper Sandler,Overweight,,main
2020-06-09,Raymond James,Outperform,,main
2020-06-17,B of A Securities,Buy,,main
2020-07-29,Piper Sandler,Overweight,,main
2020-07-29,UBS,Neutral,,main
2020-07-29,Stifel,Buy,,main
2020-07-29,Raymond James,Outperform,,main
2020-07-29,Morgan Stanley,Equal-Weight,,main
2020-07-29,SVB Leerink,Outperform,,main
2020-10-02,Wells Fargo,Underweight,Equal-Weight,down
2020-10-28,Canaccord Genuity,Buy,,main
2020-10-28,Stifel,Buy,,main
2020-10-28,Raymond James,Outperform,,main
2020-10-28,Morgan Stanley,Equal-Weight,,main
2020-12-10,Canaccord Genuity,Buy,,main
2020-12-15,Morgan Stanley,Equal-Weight,,main
2021-02-12,Morgan Stanley,Equal-Weight,,main
2021-02-12,Raymond James,Outperform,,main
2021-02-12,Citigroup,Buy,,main
2021-04-15,Atlantic Equities,Overweight,,init
2021-04-30,Canaccord Genuity,Buy,,main
2021-04-30,Raymond James,Outperform,,main
2021-04-30,Citigroup,Buy,,main
2021-05-25,Barclays,Overweight,,init
2021-05-28,Wells Fargo,Equal-Weight,Underweight,up
2021-07-30,SVB Leerink,Outperform,,main
2021-07-30,Wells Fargo,Equal-Weight,,main
2021-07-30,Piper Sandler,Overweight,,main
2021-07-30,Oppenheimer,Outperform,,main
2021-07-30,Canaccord Genuity,Buy,,main
2021-07-30,Raymond James,Outperform,,main
2021-08-02,Morgan Stanley,Equal-Weight,,main
2021-09-16,Piper Sandler,Overweight,,main
2021-10-18,Guggenheim,Neutral,Buy,down
2021-10-29,Morgan Stanley,Equal-Weight,,main
2021-10-29,SVB Leerink,Outperform,,main
2021-11-01,Raymond James,Outperform,,main
2021-11-03,Piper Sandler,Overweight,,main
2022-01-07,Morgan Stanley,Equal-Weight,,main
2022-01-07,Guggenheim,Buy,Neutral,up
2022-01-19,Wells Fargo,Overweight,Equal-Weight,up
2022-01-19,Raymond James,Outperform,,main
