Date,Firm,To Grade,From Grade,Action
2012-03-27,Stifel Nicolaus,Buy,,init
2012-04-12,Ascendiant Capital,Neutral,,init
2012-05-01,Brean Capital,Buy,,main
2012-05-03,National Alliance,Market Perform,,main
2012-05-08,Hudson Square,Hold,,down
2012-05-08,Citigroup,Buy,,main
2012-05-08,Ascendiant Capital,Neutral,,main
2012-05-08,PiperJaffray,Overweight,,main
2012-05-08,Bank oferica,Neutral,,main
2012-05-11,Indaba Global Research,Buy,,init
2012-05-15,Hilliard Lyons,Long-Term Buy,,up
2012-07-27,Brean Capital,Buy,,main
2012-08-01,PiperJaffray,Overweight,,main
2012-08-01,Ascendiant Capital,Neutral,,main
2012-08-01,Bank of America,Buy,Neutral,up
2012-08-01,Stifel Nicolaus,Buy,,main
2012-09-04,Jefferies,Hold,,init
2012-09-06,PiperJaffray,Overweight,,main
2012-09-26,Bank of America,Neutral,Buy,down
2012-10-11,Credit Suisse,Neutral,,init
2012-10-31,BMO Capital,Outperform,,main
2012-11-28,Brean Capital,,,main
2013-01-07,Sterne Agee,Neutral,Buy,down
2013-01-11,PiperJaffray,Neutral,Overweight,down
2013-01-31,Ascendiant Capital,Neutral,,main
2013-02-01,Hilliard Lyons,Neutral,Long-Term Buy,down
2013-02-01,Hilliard Lyons,Neutral,Long-term Buy,down
2013-02-06,Sterne Agee,Buy,Neutral,up
2013-02-21,Macquarie,Outperform,Neutral,up
2013-03-06,Bank of America,Neutral,,main
2013-03-08,Brean Capital,Buy,,main
2013-03-14,PiperJaffray,Neutral,,main
2013-03-19,Stifel Nicolaus,Buy,,main
2013-03-19,Needham,Hold,Buy,down
2013-03-21,Longbow Research,Buy,Neutral,up
2013-03-25,Wedbush,Outperform,,main
2013-03-26,PiperJaffray,Overweight,Neutral,up
2013-05-06,Monness Crespi Hardt,Sell,,main
2013-05-06,Hudson Square,Sell,Hold,down
2013-05-06,Hudson Square,Sell,Hold,down
2013-05-08,Monness Crespi Hardt,Neutral,Sell,up
2013-05-08,BMO Capital,Outperform,,main
2013-05-08,Stifel Nicolaus,Buy,,main
2013-05-08,Brean Capital,Buy,,main
2013-05-08,PiperJaffray,Overweight,,main
2013-05-22,Stifel Nicolaus,Buy,,main
2013-06-05,PiperJaffray,Overweight,,main
2013-07-24,Jefferies,Hold,,main
2013-07-24,Stifel Nicolaus,Buy,,main
2013-07-24,Credit Suisse,Neutral,,main
2013-08-02,Benchmark,Buy,,init
2013-08-14,Hilliard Lyons,Underperform,Neutral,down
2013-10-30,Brean Capital,Buy,,main
2013-10-30,Needham,Strong Buy,Hold,up
2013-12-04,Hilliard Lyons,Neutral,Underperform,up
2014-01-14,Credit Suisse,Outperform,Neutral,up
2014-01-17,CRT Capital,Buy,,init
