Date,Firm,To Grade,From Grade,Action
2012-03-15,Credit Suisse,Neutral,,down
2012-03-19,Citigroup,Neutral,,down
2012-03-26,Morgan Stanley,Overweight,,main
2012-04-19,PiperJaffray,Overweight,,up
2012-04-19,Goldman Sachs,Buy,,main
2012-04-19,Bank oferica,Buy,,main
2012-04-19,Stifel Nicolaus,Buy,,main
2012-04-19,Canaccord Genuity,Hold,,main
2012-04-19,JP Morgan,Neutral,,main
2012-04-19,Benchmark,Buy,,up
2012-05-29,Morgan Stanley,Overweight,,main
2012-06-06,JP Morgan,Neutral,,main
2012-06-26,Needham,Buy,,init
2012-07-06,Wedbush,Outperform,,main
2012-07-16,Wedbush,Outperform,,main
2012-07-17,Lazard,Buy,,init
2012-07-19,Canaccord Genuity,Hold,,main
2012-07-19,Bank of America,Buy,,main
2012-07-19,Morgan Stanley,Overweight,,main
2012-07-19,Stifel Nicolaus,Buy,,main
2012-07-20,JP Morgan,Overweight,Neutral,up
2012-08-22,Topeka,Hold,,main
2012-08-23,Wedbush,Outperform,,main
2012-08-23,Goldman Sachs,Buy,,main
2012-08-23,Bank of America,Buy,,main
2012-09-10,PiperJaffray,Overweight,,main
2012-09-18,Compass Point,Neutral,Buy,down
2012-09-20,Benchmark,Buy,,main
2012-09-21,Cantor Fitzgerald,Hold,,init
2012-09-21,Deutsche Bank,Hold,,init
2012-10-04,Nomura,Buy,Neutral,up
2012-10-10,Wedbush,Outperform,,main
2012-10-18,Barclays,Equal-Weight,,main
2012-10-18,Stifel Nicolaus,Buy,,main
2012-10-18,Nomura,Buy,,main
2012-10-18,Credit Suisse,Neutral,,main
2012-12-31,BGC Financial,Buy,,main
2013-01-02,Canaccord Genuity,Hold,,main
2013-01-11,Goldman Sachs,Buy,,main
2013-01-14,Credit Suisse,Neutral,,main
2013-01-15,Nomura,Buy,,main
2013-01-17,Stifel Nicolaus,Buy,,main
2013-01-17,Nomura,Buy,,main
2013-01-17,Benchmark,Buy,,main
2013-01-17,Jefferies,Buy,,main
2013-01-17,Compass Point,Neutral,,main
2013-01-25,Susquehanna,Positive,,init
2013-01-25,Bernstein,Outperform,Market Perform,up
2013-02-28,BMO Capital,Outperform,,init
2013-03-14,Evercore Partners,Overweight,Equal-weight,up
2013-03-19,JMP Securities,Market Outperform,,init
2013-03-19,Cantor Fitzgerald,Buy,Hold,up
2013-04-01,Jefferies,Buy,,main
2013-04-01,Canaccord Genuity,Buy,Hold,up
2013-04-02,UBS,Buy,,init
2013-04-02,Topeka,Buy,Hold,up
2013-04-14,Bank of America,Buy,,main
2013-04-18,Macquarie,Neutral,Outperform,down
2013-04-24,Wells Fargo,Outperform,Market Perform,up
2013-05-16,Lazard,Buy,,init
2013-06-04,Compass Point,Buy,Neutral,up
2013-07-09,Citigroup,Buy,,init
2013-07-16,SunTrust Robinson Humphrey,Neutral,,init
2013-07-18,Needham,Hold,Buy,down
2013-07-18,Deutsche Bank,Hold,,main
2013-09-06,SunTrust Robinson Humphrey,Neutral,,main
2013-10-17,Deutsche Bank,Hold,,main
2013-10-17,Citigroup,Buy,,main
2013-12-02,SunTrust Robinson Humphrey,Buy,Neutral,up
2013-12-04,Evercore Partners,Equal-weight,Overweight,down
2014-01-06,Morgan Stanley,Equal-weight,Overweight,down
2014-01-07,Compass Point,Buy,,main
2014-01-14,FBN Securities,Sector Perform,,init
2014-01-22,Susquehanna,Neutral,Positive,down
2014-01-22,Topeka,Hold,Buy,down
2014-01-23,Credit Suisse,Neutral,,main
2014-01-23,Stifel,Hold,Buy,down
2014-03-04,UBS,Buy,,main
2014-04-30,UBS,Buy,,main
2014-04-30,JP Morgan,Overweight,,main
2014-04-30,Jefferies,Buy,,main
2014-04-30,CRT Capital,Fair Value,,main
2014-05-07,SunTrust Robinson Humphrey,Neutral,Buy,down
2014-06-10,UBS,Buy,,main
2014-06-17,JP Morgan,Overweight,,main
2014-06-26,Barclays,Equal-Weight,,init
2014-07-14,Pacific Crest,Sector Perform,Outperform,down
2014-07-17,Canaccord Genuity,Buy,,main
2014-07-17,Macquarie,Neutral,,main
2014-07-17,Deutsche Bank,Hold,,main
2014-07-17,Citigroup,Buy,,main
2014-09-10,PiperJaffray,Neutral,Overweight,down
2014-09-30,Canaccord Genuity,Hold,Buy,down
2014-10-01,SunTrust Robinson Humphrey,Neutral,,main
2014-10-01,Wedbush,Neutral,Outperform,down
2014-10-01,JMP Securities,Market Perform,Market Outperform,down
2014-10-01,Jefferies,Neutral,Buy,down
2014-10-01,JP Morgan,Neutral,Overweight,down
2014-10-02,Goldman Sachs,,Buy,main
2014-10-10,Susquehanna,Neutral,,main
2014-10-16,Topeka,Hold,,main
2014-10-16,Canaccord Genuity,Hold,,main
2014-10-16,Barclays,Equal-Weight,,main
2014-10-27,"Monness, Crespi, Hardt",Buy,,init
2014-10-29,Morgan Stanley,Underweight,,init
2014-11-21,Evercore ISI Group,Sell,Hold,down
2014-12-08,Stifel,Buy,Hold,up
2015-01-20,Benchmark,Buy,,main
2015-01-22,Deutsche Bank,Hold,,main
2015-01-22,Morgan Stanley,Equal-Weight,Underweight,up
2015-03-09,Axiom Capital,Hold,,init
2015-03-13,Susquehanna,Positive,Neutral,up
2015-03-19,PiperJaffray,Underweight,Neutral,down
2015-04-23,PiperJaffray,Underweight,,main
2015-04-23,Deutsche Bank,Hold,,main
2015-04-23,Citigroup,Buy,,main
2015-04-23,Barclays,Equal-Weight,,main
2015-05-26,Axiom Capital,Buy,Hold,up
2015-05-27,Topeka,Buy,,init
2015-06-01,Keefe Bruyette & Woods,Outperform,,main
2015-06-26,Mizuho,Neutral,,init
2015-07-09,Monness Crespi Hardt,Neutral,,main
2015-07-17,Mizuho,Neutral,,main
2015-07-17,Jefferies,Hold,,main
2015-07-20,SunTrust Robinson Humphrey,Neutral,,main
2015-07-21,Stifel Nicolaus,Hold,Buy,down
2015-07-21,Deutsche Bank,Hold,,main
2015-07-22,Raymond James,Market Perform,Outperform,down
2015-07-22,FBN Securities,Sector Perform,,init
2015-07-22,Barclays,Equal-Weight,,main
2015-07-23,Morgan Stanley,Equal-Weight,,init
2015-08-17,Evercore ISI Group,Hold,,init
2015-09-03,PiperJaffray,Neutral,Underperform,up
2015-09-10,Cantor Fitzgerald,Hold,Buy,down
2016-01-14,Susquehanna,Positive,,init
2016-01-20,Jyske Bank,Strong Buy,,init
2016-01-28,Jefferies,Hold,,main
2016-01-28,JP Morgan,Neutral,,main
2016-01-28,Canaccord Genuity,Hold,,main
2016-01-28,SunTrust Robinson Humphrey,Neutral,,main
2016-01-28,Cowen & Co.,Market Perform,,main
2016-01-28,Benchmark,Buy,,main
2016-01-28,Deutsche Bank,Hold,,main
2016-03-02,BMO Capital,Market Perform,,init
2016-03-18,Jyske Bank,Strong Buy,Buy,down
2016-03-29,Barclays,Underweight,Equal-Weight,down
2016-04-01,Citigroup,Buy,,main
2016-04-18,Credit Suisse,Neutral,,main
2016-04-19,Morgan Stanley,Underweight,Equal-Weight,down
2016-04-26,Citigroup,Buy,,main
2016-04-27,Jefferies,Hold,,main
2016-04-27,Benchmark,Buy,,main
2016-06-23,Maxim Group,Buy,,init
2016-07-21,Deutsche Bank,Hold,,main
2016-07-21,Cantor Fitzgerald,Hold,,main
2016-07-21,Canaccord Genuity,Hold,,main
2016-07-21,Morgan Stanley,Underweight,,main
2016-08-30,Hilliard Lyons,Long-Term Buy,,init
2016-09-29,Deutsche Bank,Buy,Hold,up
2016-10-13,Wedbush,Neutral,Neutral,main
2016-10-21,Hilliard Lyons,Buy,Long-Term Buy,up
2017-01-03,Aegis Capital,Buy,,init
2017-03-28,Barclays,Overweight,,init
2017-04-12,Argus,Buy,,main
2017-04-20,Monness Crespi Hardt,Neutral,Buy,down
2017-07-21,Bank of America,Buy,,main
2017-07-21,Citigroup,Buy,,main
2017-08-16,SunTrust Robinson Humphrey,Hold,,init
2017-09-14,DA Davidson,Buy,,init
2017-10-18,BMO Capital,Market Perform,,main
2017-10-19,Canaccord Genuity,Hold,,main
2017-10-19,Morgan Stanley,Underweight,,main
2017-10-20,Guggenheim,Neutral,,init
2017-12-04,BMO Capital,Outperform,Market Perform,up
2017-12-06,Evercore ISI Group,In-Line,,init
2018-01-12,SunTrust Robinson Humphrey,Buy,Hold,up
2018-01-24,Credit Suisse,Outperform,Outperform,main
2018-02-01,BMO Capital,Outperform,Outperform,main
2018-02-01,Bank of America,Buy,Buy,main
2018-02-01,Stifel Nicolaus,Hold,Hold,main
2018-02-01,RBC Capital,Outperform,Sector Perform,up
2018-03-02,Raymond James,Strong Buy,Market Perform,up
2018-04-18,Morgan Stanley,Overweight,Underweight,up
2018-04-20,Credit Suisse,Outperform,Outperform,main
2018-04-23,Stifel Nicolaus,Hold,Hold,main
2018-04-26,Raymond James,Strong Buy,Strong Buy,main
2018-04-26,Stifel Nicolaus,Hold,Hold,main
2018-04-26,JP Morgan,Neutral,Neutral,main
2018-04-26,Macquarie,Neutral,Neutral,main
2018-04-26,UBS,Buy,Buy,main
2018-07-10,SunTrust Robinson Humphrey,Hold,Buy,down
2018-07-13,Bank of America,Buy,Buy,main
2018-07-16,Credit Suisse,Outperform,Outperform,main
2018-07-19,Stifel Nicolaus,Hold,Hold,main
2018-07-19,Raymond James,Outperform,Strong Buy,down
2018-07-19,Morgan Stanley,Overweight,Overweight,main
2018-07-19,UBS,Buy,Buy,main
2018-07-19,Canaccord Genuity,Hold,Hold,main
2018-07-20,BMO Capital,Outperform,Outperform,main
2018-09-14,Wedbush,Neutral,,init
2018-10-11,Baird,Outperform,Outperform,main
2018-10-19,Stifel Nicolaus,Hold,Buy,down
2018-10-22,Bank of America,Neutral,Buy,down
2018-10-23,Raymond James,Outperform,Outperform,main
2018-10-23,RBC Capital,Sector Perform,Outperform,down
2018-10-29,Credit Suisse,Outperform,Outperform,main
2018-10-31,KeyBanc,Overweight,Overweight,main
2018-10-31,Canaccord Genuity,Hold,Hold,main
2018-10-31,Citigroup,Buy,Buy,main
2018-10-31,Deutsche Bank,Buy,Buy,main
2018-10-31,Raymond James,Outperform,Outperform,main
2018-11-01,Citigroup,Buy,Buy,main
2018-12-12,Morgan Stanley,Equal-Weight,Overweight,down
2018-12-21,Wells Fargo,Outperform,Outperform,main
2019-01-04,Goldman Sachs,Neutral,Buy,down
2019-04-24,Morgan Stanley,Equal-Weight,,main
2019-04-24,UBS,Buy,Buy,main
2019-04-24,Stifel Nicolaus,Hold,Hold,main
2019-04-24,Baird,Outperform,Outperform,main
2019-04-24,Deutsche Bank,Buy,Buy,main
2019-04-24,Barclays,Overweight,Overweight,main
2019-04-24,BMO Capital,Outperform,Outperform,main
2019-04-24,Canaccord Genuity,Hold,Hold,main
2019-07-15,Morgan Stanley,Equal-Weight,,main
2019-07-18,Citigroup,Buy,,main
2019-07-18,Raymond James,Outperform,,main
2019-07-18,Canaccord Genuity,Hold,,main
2019-07-18,Piper Jaffray,Neutral,,main
2019-07-18,Credit Suisse,Outperform,,main
2019-07-18,Morgan Stanley,Equal-Weight,,main
2019-07-29,KeyBanc,Overweight,,main
2019-09-04,UBS,Neutral,Buy,down
2019-09-09,Citigroup,Buy,,main
2019-09-27,Wells Fargo,Market Perform,Outperform,down
2019-10-15,Morgan Stanley,Equal-Weight,,main
2019-10-23,Benchmark,Buy,,reit
2019-10-24,Raymond James,Market Perform,Outperform,down
2019-10-24,Piper Jaffray,Neutral,,main
2019-10-24,Bank of America,Neutral,,reit
2019-10-24,Morgan Stanley,Equal-Weight,,main
2019-10-24,UBS,Neutral,,main
2019-10-24,Barclays,Overweight,,main
2019-10-24,Deutsche Bank,Hold,,main
2019-12-02,Wells Fargo,Market Perform,,main
2020-01-09,Jefferies,Underperform,Hold,down
2020-01-17,Wells Fargo,Underweight,Equal-Weight,down
2020-01-21,Morgan Stanley,Equal-Weight,,main
2020-01-29,B of A Securities,Neutral,,reit
2020-01-29,RBC Capital,Sector Perform,,main
2020-01-29,BMO Capital,Outperform,,main
2020-01-29,Wedbush,Neutral,,main
2020-01-29,Canaccord Genuity,Hold,,main
2020-02-25,RBC Capital,Sector Perform,,main
2020-04-06,Guggenheim,Buy,Neutral,up
2020-04-24,Credit Suisse,Outperform,,main
2020-04-24,Stifel,Buy,Hold,up
2020-04-27,Deutsche Bank,Hold,,main
2020-04-27,Mizuho,Neutral,Underperform,up
2020-04-28,Morgan Stanley,Equal-Weight,,main
2020-04-30,B of A Securities,Neutral,,reit
2020-04-30,Morgan Stanley,Equal-Weight,,main
2020-04-30,Credit Suisse,Outperform,,main
2020-04-30,UBS,Neutral,,main
2020-04-30,Susquehanna,Positive,,main
2020-04-30,SunTrust Robinson Humphrey,Hold,,main
2020-04-30,BMO Capital,Outperform,,main
2020-06-05,SunTrust Robinson Humphrey,Hold,,main
2020-06-05,Morgan Stanley,Equal-Weight,,main
2020-06-05,Credit Suisse,Outperform,,main
2020-06-05,BMO Capital,Market Perform,Outperform,down
2020-06-08,RBC Capital,Sector Perform,,main
2020-06-09,Wells Fargo,Equal-Weight,Underweight,up
2020-06-10,Jefferies,Hold,Underperform,up
2020-06-26,Deutsche Bank,Buy,Hold,up
2020-07-21,B of A Securities,Neutral,,main
2020-07-22,Wells Fargo,Equal-Weight,,main
2020-07-22,KeyBanc,Overweight,,main
2020-07-24,Credit Suisse,Outperform,,main
2020-07-27,Benchmark,Buy,,main
2020-07-29,Barclays,Overweight,,main
2020-07-29,Morgan Stanley,Equal-Weight,,main
2020-07-29,Credit Suisse,Outperform,,main
2020-07-29,UBS,Neutral,,main
2020-07-29,JP Morgan,Neutral,,main
2020-07-29,Stifel,Buy,,main
2020-08-20,CFRA,Hold,Sell,up
2020-10-07,Benchmark,Buy,,main
2020-10-15,Morgan Stanley,Equal-Weight,,main
2020-10-21,BMO Capital,Market Perform,,main
2020-10-29,B of A Securities,Neutral,,main
2020-10-29,Morgan Stanley,Equal-Weight,,main
2020-10-29,Piper Sandler,Overweight,,main
2020-10-29,Deutsche Bank,Buy,,main
2020-10-29,Benchmark,Buy,,main
2021-01-15,Morgan Stanley,Equal-Weight,,main
2021-01-28,Deutsche Bank,Hold,Buy,down
2021-02-04,Credit Suisse,Outperform,,main
2021-02-04,Stifel,Buy,,main
2021-02-04,KeyBanc,Overweight,,main
2021-02-04,Deutsche Bank,Hold,,main
2021-02-04,Mizuho,Neutral,,main
2021-02-04,Piper Sandler,Overweight,,main
2021-02-04,Wedbush,Outperform,,main
2021-02-04,Morgan Stanley,Equal-Weight,,main
2021-04-01,Wolfe Research,Outperform,,init
2021-04-26,Credit Suisse,Outperform,,main
2021-04-29,Susquehanna,Neutral,Positive,down
2021-04-29,Wedbush,Neutral,Outperform,down
2021-05-03,BMO Capital,Market Perform,,main
2021-07-01,Piper Sandler,Overweight,,main
2021-08-09,Credit Suisse,Outperform,,main
2021-08-12,Credit Suisse,Outperform,,main
2021-08-12,Benchmark,Buy,,main
2021-10-28,Barclays,Overweight,,main
2021-10-28,Credit Suisse,Outperform,,main
2021-10-28,Keybanc,Overweight,,main
2022-02-22,Credit Suisse,Outperform,,main
2022-02-24,Wells Fargo,Equal-Weight,,main
2022-02-24,Mizuho,Neutral,,main
2022-02-24,Benchmark,Buy,,main
2022-02-24,JP Morgan,Neutral,,main
2022-02-24,Piper Sandler,Overweight,,main
2022-02-25,Susquehanna,Neutral,,main
2022-03-11,Piper Sandler,Overweight,,main
2022-03-11,Benchmark,Buy,,main
2022-03-22,Argus Research,Buy,,main
2022-05-02,Credit Suisse,Outperform,,main
2022-05-05,Deutsche Bank,Buy,,main
2022-05-05,Credit Suisse,Outperform,,main
2022-05-05,Piper Sandler,Overweight,,main
2022-05-06,Wells Fargo,Equal-Weight,,main
2022-05-06,Mizuho,Neutral,,main
