,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1383000000.0,1234000000.0,1736000000.0,1783000000.0
Minority Interest,299000000.0,218000000.0,191000000.0,113000000.0
Net Income,1346000000.0,1101000000.0,1343000000.0,1382000000.0
Selling General Administrative,138000000.0,203000000.0,81000000.0,170000000.0
Gross Profit,7668000000.0,7163000000.0,6766000000.0,6237000000.0
Ebit,2688000000.0,2465000000.0,2595000000.0,2363000000.0
Operating Income,2688000000.0,2465000000.0,2595000000.0,2363000000.0
Other Operating Expenses,2810000000.0,2575000000.0,2406000000.0,2266000000.0
Interest Expense,-930000000.0,-1033000000.0,-1004000000.0,-829000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,190000000.0,90000000.0,296000000.0,401000000.0
Total Revenue,13676000000.0,12246000000.0,12574000000.0,12337000000.0
Total Operating Expenses,10988000000.0,9781000000.0,9979000000.0,9974000000.0
Cost Of Revenue,6008000000.0,5083000000.0,5808000000.0,6100000000.0
Total Other Income Expense Net,-1305000000.0,-1231000000.0,-859000000.0,-580000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1193000000.0,1144000000.0,1440000000.0,1382000000.0
Net Income Applicable To Common Shares,1346000000.0,1101000000.0,1343000000.0,1382000000.0
