,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,949200000.0,685200000.0,-413800000.0,370400000.0
Minority Interest,16800000.0,41900000.0,44300000.0,47900000.0
Net Income,744200000.0,520100000.0,-384100000.0,310500000.0
Selling General Administrative,1324400000.0,1306300000.0,1166500000.0,1162200000.0
Gross Profit,2943000000.0,2390100000.0,1985900000.0,1971700000.0
Ebit,1138200000.0,692800000.0,488300000.0,499100000.0
Operating Income,1138200000.0,692800000.0,488300000.0,499100000.0
Other Operating Expenses,,,,
Interest Expense,-145600000.0,-141600000.0,-111700000.0,-103500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,200700000.0,159000000.0,-35700000.0,53400000.0
Total Revenue,4923900000.0,4127500000.0,3507600000.0,3412100000.0
Total Operating Expenses,3785700000.0,3434700000.0,3019300000.0,2913000000.0
Cost Of Revenue,1980900000.0,1737400000.0,1521700000.0,1440400000.0
Total Other Income Expense Net,-189000000.0,-7600000.0,-902100000.0,-128700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,748500000.0,526200000.0,-378100000.0,317000000.0
Net Income Applicable To Common Shares,744200000.0,520100000.0,-384100000.0,310500000.0
