,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3331000000.0,1046000000.0,2307000000.0,1980000000.0
Minority Interest,891000000.0,27000000.0,25000000.0,22000000.0
Net Income,2870000000.0,684000000.0,1785000000.0,1108000000.0
Selling General Administrative,9345000000.0,8658000000.0,8896000000.0,8599000000.0
Gross Profit,12391000000.0,10752000000.0,11498000000.0,10857000000.0
Ebit,3046000000.0,2094000000.0,2602000000.0,2258000000.0
Operating Income,3046000000.0,2094000000.0,2602000000.0,2258000000.0
Other Operating Expenses,,,,
Interest Expense,-173000000.0,-161000000.0,-133000000.0,-128000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,456000000.0,350000000.0,513000000.0,863000000.0
Total Revenue,16215000000.0,14294000000.0,14863000000.0,13683000000.0
Total Operating Expenses,13169000000.0,12200000000.0,12261000000.0,11425000000.0
Cost Of Revenue,3824000000.0,3542000000.0,3365000000.0,2826000000.0
Total Other Income Expense Net,285000000.0,-1048000000.0,-295000000.0,-278000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2875000000.0,696000000.0,1794000000.0,1117000000.0
Net Income Applicable To Common Shares,2870000000.0,684000000.0,1785000000.0,1108000000.0
