,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2912000000.0,2335000000.0,2859000000.0,2667000000.0
Minority Interest,40000000.0,42000000.0,40000000.0,43000000.0
Net Income,2303000000.0,1965000000.0,2306000000.0,2203000000.0
Selling General Administrative,4179000000.0,3986000000.0,4457000000.0,4269000000.0
Gross Profit,7563000000.0,7009000000.0,7815000000.0,7432000000.0
Ebit,3094000000.0,2828000000.0,3062000000.0,2906000000.0
Operating Income,3094000000.0,2828000000.0,3062000000.0,2906000000.0
Other Operating Expenses,290000000.0,195000000.0,296000000.0,257000000.0
Interest Expense,-166000000.0,-175000000.0,-201000000.0,-202000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,585000000.0,345000000.0,531000000.0,443000000.0
Total Revenue,18236000000.0,16785000000.0,18372000000.0,17408000000.0
Total Operating Expenses,15142000000.0,13957000000.0,15310000000.0,14502000000.0
Cost Of Revenue,10673000000.0,9776000000.0,10557000000.0,9976000000.0
Total Other Income Expense Net,-182000000.0,-493000000.0,-203000000.0,-239000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2327000000.0,1990000000.0,2328000000.0,2224000000.0
Net Income Applicable To Common Shares,2303000000.0,1965000000.0,2306000000.0,2203000000.0
