,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,105526000.0,55921000.0,40381000.0,32587000.0
Effect Of Accounting Charges,,,,
Income Before Tax,120928000.0,119410000.0,90114000.0,-10229000.0
Minority Interest,,,,
Net Income,145449000.0,133995000.0,161148000.0,-11627000.0
Selling General Administrative,228164000.0,103621000.0,75536000.0,55333000.0
Gross Profit,554422000.0,345981000.0,221245000.0,94445000.0
Ebit,220732000.0,186439000.0,105328000.0,6525000.0
Operating Income,220732000.0,186439000.0,105328000.0,6525000.0
Other Operating Expenses,,,,
Interest Expense,-45152000.0,-21001000.0,-9691000.0,-10693000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-24521000.0,-14585000.0,-71034000.0,1398000.0
Total Revenue,1382049000.0,774425000.0,624333000.0,316159000.0
Total Operating Expenses,1161317000.0,587986000.0,519005000.0,309634000.0
Cost Of Revenue,827627000.0,428444000.0,403088000.0,221714000.0
Total Other Income Expense Net,-99804000.0,-67029000.0,-15214000.0,-16754000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,145449000.0,133995000.0,161148000.0,-11627000.0
Net Income Applicable To Common Shares,145449000.0,133995000.0,161148000.0,-11627000.0
