,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5933000000.0,-739000000.0,3545000000.0,4240998000.0
Minority Interest,,,,
Net Income,4664000000.0,-605000000.0,2735000000.0,3419040000.0
Selling General Administrative,511000000.0,484000000.0,489000000.0,426969000.0
Gross Profit,13034000000.0,4979000000.0,9120000000.0,9592660000.0
Ebit,6118000000.0,-137000000.0,3666000000.0,4343516000.0
Operating Income,6118000000.0,-137000000.0,3666000000.0,4343516000.0
Other Operating Expenses,2199000000.0,-667000000.0,620000000.0,938121000.0
Interest Expense,-178000000.0,-205000000.0,-185000000.0,-245052000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1269000000.0,-134000000.0,810000000.0,821958000.0
Total Revenue,19777000000.0,9934000000.0,17076000000.0,17266477000.0
Total Operating Expenses,13659000000.0,10071000000.0,13410000000.0,12922961000.0
Cost Of Revenue,6743000000.0,4955000000.0,7956000000.0,7673817000.0
Total Other Income Expense Net,-185000000.0,-602000000.0,-121000000.0,-102518000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,4664000000.0,-605000000.0,2735000000.0,3419040000.0
Net Income Applicable To Common Shares,4664000000.0,-605000000.0,2735000000.0,3419040000.0
