,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,608952000.0,516225000.0,692597000.0,433038000.0
Minority Interest,-318000.0,130000.0,-224000.0,-224000.0
Net Income,500191000.0,369777000.0,507450000.0,365359000.0
Selling General Administrative,2043029000.0,1809337000.0,1586064000.0,1460396000.0
Gross Profit,2787604000.0,2548253000.0,2349038000.0,2496782000.0
Ebit,744575000.0,738916000.0,762974000.0,1036386000.0
Operating Income,744575000.0,738916000.0,762974000.0,1036386000.0
Other Operating Expenses,,,,
Interest Expense,-336082000.0,-406466000.0,-479684000.0,-521494000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,109224000.0,146151000.0,185352000.0,67679000.0
Total Revenue,6260026000.0,5622593000.0,5159222000.0,5102257000.0
Total Operating Expenses,5515451000.0,4883677000.0,4396248000.0,4065871000.0
Cost Of Revenue,3472422000.0,3074340000.0,2810184000.0,2605475000.0
Total Other Income Expense Net,-135623000.0,-222691000.0,-70377000.0,-603348000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,499728000.0,370074000.0,507245000.0,365359000.0
Net Income Applicable To Common Shares,500191000.0,369777000.0,507450000.0,365359000.0
