Date,Firm,To Grade,From Grade,Action
2012-02-13,Evercore Partners,Overweight,,main
2012-03-14,Oxen Group,Sell,,init
2012-03-19,Benchmark,Buy,,main
2012-03-21,Jefferies,Buy,,main
2012-03-22,Dougherty,Neutral,,down
2012-03-30,Canaccord Genuity,Buy,,main
2012-04-17,Citigroup,Buy,,main
2012-04-26,Stifel Nicolaus,Buy,,main
2012-04-26,Benchmark,Buy,,main
2012-04-26,Jefferies,Buy,,main
2012-04-26,Canaccord Genuity,Buy,,main
2012-06-21,Jefferies,Buy,,main
2012-06-21,JP Morgan,Overweight,,main
2012-06-21,Benchmark,Buy,,main
2012-07-09,Deutsche Bank,Buy,,init
2012-07-26,Canaccord Genuity,Buy,,main
2012-07-27,Deutsche Bank,Buy,,main
2012-07-30,Citigroup,Neutral,Buy,down
2012-08-20,Bank of America,Buy,,main
2012-08-22,Stephens & Co.,Equal-Weight,Overweight,down
2012-09-04,Stifel Nicolaus,Buy,,main
2012-09-13,PiperJaffray,Overweight,,main
2012-09-13,Citigroup,Neutral,,main
2012-09-14,Canaccord Genuity,Buy,,main
2012-09-14,Jefferies,Buy,,main
2012-09-17,Goldman Sachs,Neutral,,main
2012-10-23,PiperJaffray,Overweight,,main
2012-10-25,Citigroup,Buy,Neutral,up
2012-11-06,Barclays,Overweight,,main
2013-01-15,Deutsche Bank,Buy,,main
2013-01-29,Citigroup,Neutral,Buy,down
2013-02-14,Stifel Nicolaus,Buy,,main
2013-02-14,PiperJaffray,Overweight,,main
2013-03-20,FBN Securities,Outperform,,init
2013-04-22,Stephens & Co.,Overweight,Equal-Weight,up
2013-04-25,Citigroup,Neutral,,main
2013-07-25,Citigroup,Buy,Neutral,up
2014-02-20,PiperJaffray,Neutral,Overweight,down
2014-04-15,Oppenheimer,Outperform,Market Perform,up
2014-04-29,Evercore Partners,Overweight,,main
2014-06-25,Oppenheimer,Outperform,,main
2014-07-24,Barclays,Equal-Weight,,init
2014-07-31,Citigroup,Buy,,main
2014-07-31,Stephens & Co.,Equal-Weight,Overweight,down
2014-07-31,Raymond James,Strong Buy,,main
2014-07-31,Nomura,Buy,,main
2014-09-10,Stifel Nicolaus,Buy,,init
2014-10-24,Citigroup,Buy,,main
2014-10-24,Cowen & Co.,Market Perform,Outperform,down
2014-10-28,Stifel Nicolaus,Buy,,main
2014-10-30,Jefferies,Buy,,main
2014-10-31,Citigroup,Buy,,main
2014-12-05,Barclays,Equal-Weight,,main
2015-02-18,Citigroup,Buy,,main
2015-02-20,Barclays,Equal-Weight,,main
2015-03-27,Goldman Sachs,Neutral,,init
2015-04-30,Citigroup,Buy,,main
2015-04-30,Jefferies,Buy,,main
2015-04-30,KeyBanc,Overweight,,main
2015-04-30,Barclays,Equal-Weight,,main
2015-05-21,Stifel Nicolaus,Hold,Buy,down
2015-05-29,Oppenheimer,Outperform,,main
2015-06-01,KeyBanc,Overweight,,main
2015-06-02,Citigroup,Neutral,Buy,down
2015-07-30,KeyBanc,Overweight,,main
2015-10-29,Canaccord Genuity,Buy,,main
2015-11-16,Pacific Crest,Overweight,,main
2015-11-24,SunTrust Robinson Humphrey,Buy,,init
2016-01-04,Wells Fargo,Outperform,Market Perform,up
2016-01-05,Stifel Nicolaus,Buy,Hold,up
2016-02-19,Cowen & Co.,Outperform,Market Perform,up
2016-02-22,RBC Capital,Outperform,,main
2016-02-29,JP Morgan,Neutral,Overweight,down
2016-03-13,Citigroup,Neutral,,main
2016-03-14,Oppenheimer,Perform,Outperform,down
2016-03-21,Barclays,Equal-Weight,,init
2016-07-05,Goldman Sachs,Buy,,init
2016-07-15,Jefferies,Hold,Buy,down
2016-07-21,SunTrust Robinson Humphrey,Buy,,init
2016-08-04,Citigroup,Neutral,,main
2016-08-04,Barclays,Equal-Weight,,main
2016-08-05,Citigroup,Neutral,,main
2016-08-18,Barclays,Equal-Weight,,main
2016-09-06,Oppenheimer,Outperform,Perform,up
2016-12-02,Guggenheim,Buy,,init
2017-03-13,Citigroup,Buy,Neutral,up
2017-04-07,Macquarie,Outperform,,init
2017-04-25,Mitsubishi UFJ,Overweight,,init
2017-05-11,Canaccord Genuity,Buy,,main
2017-05-25,Nomura,Buy,,init
2017-08-03,Barclays,Equal-Weight,,main
2017-09-26,Berenberg,Buy,,init
2017-10-18,Barclays,Overweight,Equal-Weight,up
2017-11-02,JP Morgan,Overweight,Neutral,up
2017-11-02,Nomura,Buy,,main
2017-11-02,Citigroup,Buy,,main
2017-11-02,Oppenheimer,Outperform,,main
2017-11-02,Credit Suisse,Outperform,,main
2017-11-02,Morgan Stanley,Equal-Weight,,main
2018-01-29,UBS,Buy,Neutral,up
2018-02-15,Credit Suisse,Outperform,Outperform,main
2018-04-09,Moffett Nathanson,Buy,,init
2018-04-17,Deutsche Bank,Buy,Buy,main
2018-04-27,Credit Suisse,Outperform,Outperform,main
2018-05-31,Deutsche Bank,Buy,Buy,main
2018-06-21,Cowen & Co.,Outperform,Outperform,main
2018-07-18,BMO Capital,Outperform,,init
2018-08-09,Credit Suisse,Outperform,Outperform,main
2018-08-09,Citigroup,Buy,Buy,main
2018-08-09,BMO Capital,Outperform,Outperform,main
2018-10-23,KeyBanc,Sector Weight,,init
2018-11-02,BMO Capital,Outperform,Outperform,main
2018-11-02,Citigroup,Buy,Buy,main
2018-12-10,Jefferies,Buy,Hold,up
2019-01-08,Berenberg,Buy,,init
2019-02-14,Credit Suisse,Outperform,Outperform,main
2019-03-01,Citigroup,Buy,Buy,main
2019-04-23,Citigroup,Buy,Buy,main
2019-05-02,UBS,Buy,,main
2019-05-02,BMO Capital,Outperform,Outperform,main
2019-05-02,UBS,Buy,Buy,main
2019-05-02,Raymond James,Strong Buy,Strong Buy,main
2019-05-02,Nomura,Buy,Buy,main
2019-05-02,Citigroup,Buy,Buy,main
2019-05-06,RBC Capital,Outperform,Outperform,main
2019-05-09,Deutsche Bank,Buy,,main
2019-06-03,Argus Research,Buy,,init
2019-07-11,Credit Suisse,Outperform,,main
2019-08-01,JP Morgan,Overweight,,main
2019-08-01,Nomura,Buy,,main
2019-08-01,Stifel Nicolaus,Buy,,main
2019-08-01,UBS,Buy,,main
2019-08-01,Wells Fargo,Outperform,,main
2019-08-01,Raymond James,Strong Buy,,main
2019-09-10,Mitsubishi UFJ,Overweight,,init
2019-09-19,Morgan Stanley,Equal-Weight,,main
2019-10-03,Stifel,Buy,,main
2019-10-18,Nomura,Buy,,main
2019-10-31,Wells Fargo,Outperform,,main
2019-10-31,Stifel Nicolaus,Buy,,main
2019-11-01,UBS,Buy,,main
2019-11-04,FBN Securities,Outperform,,main
2019-12-17,Morgan Stanley,Equal-Weight,,main
2020-02-12,Morgan Stanley,Equal-Weight,,main
2020-02-13,SunTrust Robinson Humphrey,Buy,,main
2020-02-13,Stifel Nicolaus,Buy,,main
2020-02-13,UBS,Buy,,main
2020-02-13,Credit Suisse,Outperform,,main
2020-02-13,Citigroup,Buy,,main
2020-02-13,Wells Fargo,Overweight,,main
2020-02-14,CFRA,Buy,,main
2020-02-24,Raymond James,Strong Buy,,reit
2020-03-16,Raymond James,Strong Buy,,main
2020-04-17,Nomura,Buy,,main
2020-05-05,Morgan Stanley,Equal-Weight,,main
2020-05-07,BMO Capital,Outperform,,main
2020-05-07,SunTrust Robinson Humphrey,Buy,,main
2020-05-07,Wells Fargo,Overweight,,main
2020-05-11,Credit Suisse,Outperform,,main
2020-05-13,Argus Research,Buy,,main
2020-05-20,Citigroup,Buy,,main
2020-06-03,Morgan Stanley,Equal-Weight,,main
2020-07-10,Wells Fargo,Overweight,,main
2020-07-30,Raymond James,Outperform,Market Perform,up
2020-07-30,Citigroup,Buy,,main
2020-07-30,Oppenheimer,Outperform,,main
2020-07-30,SunTrust Robinson Humphrey,Buy,,main
2020-07-30,Stifel,Buy,,main
2020-08-05,Deutsche Bank,Buy,,main
