,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1397629000.0,963353000.0,1007427000.0,686070000.0
Minority Interest,731237000.0,576786000.0,692420000.0,605551000.0
Net Income,1332850000.0,913636000.0,970377000.0,657535000.0
Selling General Administrative,56506000.0,48305000.0,52757000.0,53813000.0
Gross Profit,1515205000.0,1655320000.0,1792363000.0,1698047000.0
Ebit,620427000.0,786183000.0,908523000.0,858509000.0
Operating Income,620427000.0,786183000.0,908523000.0,858509000.0
Other Operating Expenses,,,,
Interest Expense,-281210000.0,-374012000.0,-401746000.0,-424670000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,915000.0,852000.0,-2281000.0,878000.0
Total Revenue,2463997000.0,2571705000.0,2700691000.0,2577681000.0
Total Operating Expenses,1843570000.0,1785522000.0,1792168000.0,1719172000.0
Cost Of Revenue,948792000.0,916385000.0,908328000.0,879634000.0
Total Other Income Expense Net,777202000.0,177170000.0,98904000.0,-172439000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1396714000.0,962501000.0,1009708000.0,685192000.0
Net Income Applicable To Common Shares,1329760000.0,910546000.0,967287000.0,654445000.0
