,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1572269000.0,1558872000.0,1190071000.0,1329491000.0
Minority Interest,155570000.0,155570000.0,155570000.0,155570000.0
Net Income,1220527000.0,1205167000.0,909053000.0,1033000000.0
Selling General Administrative,-84400000.0,-44400000.0,-31300000.0,-60800000.0
Gross Profit,4751056000.0,4436338000.0,4123197000.0,3974019000.0
Ebit,2077721000.0,2033134000.0,1861435000.0,1760730000.0
Operating Income,2077721000.0,2033134000.0,1861435000.0,1760730000.0
Other Operating Expenses,1422762000.0,1288545000.0,1212404000.0,1202133000.0
Interest Expense,-582334000.0,-538452000.0,-533197000.0,-498805000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,344223000.0,346186000.0,273499000.0,288972000.0
Total Revenue,9863085000.0,8904430000.0,8526470000.0,8448201000.0
Total Operating Expenses,7785364000.0,6871296000.0,6665035000.0,6687471000.0
Cost Of Revenue,5112029000.0,4468092000.0,4403273000.0,4474182000.0
Total Other Income Expense Net,-505452000.0,-474262000.0,-671364000.0,-431239000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1228046000.0,1212686000.0,916572000.0,1040519000.0
Net Income Applicable To Common Shares,1220527000.0,1205167000.0,909053000.0,1033000000.0
