,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,616000000.0,551000000.0,606000000.0,584000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2896000000.0,1746000000.0,2591000000.0,2424000000.0
Minority Interest,38000000.0,43000000.0,51000000.0,35000000.0
Net Income,2144000000.0,1410000000.0,2211000000.0,2145000000.0
Selling General Administrative,3199000000.0,3113000000.0,3589000000.0,3542000000.0
Gross Profit,6335000000.0,5450000000.0,7052000000.0,7098000000.0
Ebit,2520000000.0,1786000000.0,2857000000.0,2972000000.0
Operating Income,2520000000.0,1786000000.0,2857000000.0,2972000000.0
Other Operating Expenses,,,,
Interest Expense,-144000000.0,-221000000.0,-272000000.0,-258000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,750000000.0,331000000.0,378000000.0,278000000.0
Total Revenue,19628000000.0,17858000000.0,21390000000.0,21609000000.0
Total Operating Expenses,17108000000.0,16072000000.0,18533000000.0,18637000000.0
Cost Of Revenue,13293000000.0,12408000000.0,14338000000.0,14511000000.0
Total Other Income Expense Net,376000000.0,-40000000.0,-266000000.0,-548000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2146000000.0,1415000000.0,2213000000.0,2146000000.0
Net Income Applicable To Common Shares,2144000000.0,1410000000.0,2211000000.0,2145000000.0
