Date,Firm,To Grade,From Grade,Action
2012-02-27,UBS,Neutral,,main
2012-02-27,Jefferies,Buy,,main
2012-03-13,Stifel Nicolaus,Buy,,init
2012-06-29,JP Morgan,Overweight,,main
2012-07-09,Stifel Nicolaus,Buy,,main
2012-07-18,Jefferies,Hold,Buy,down
2012-07-23,JP Morgan,Overweight,,main
2012-07-24,Barclays,Overweight,,main
2012-07-24,Credit Suisse,Neutral,,main
2012-08-01,Oppenheimer,Outperform,,main
2012-09-10,UBS,Neutral,,main
2012-09-12,Barclays,Overweight,,main
2012-09-18,Oppenheimer,Outperform,,main
2012-10-09,JP Morgan,Overweight,,main
2012-10-18,Barclays,Overweight,,main
2012-11-01,Jefferies,Hold,,main
2012-11-02,Credit Suisse,Neutral,,main
2012-12-04,Citigroup,Buy,,main
2012-12-21,JP Morgan,Overweight,,main
2013-01-02,ISI Group,Buy,Hold,up
2013-01-11,Barclays,Overweight,,main
2013-01-11,Buckingham Research,Neutral,Buy,down
2013-02-01,Stifel Nicolaus,Buy,,main
2013-02-04,UBS,Neutral,,main
2013-02-06,Jefferies,Hold,,main
2013-02-13,Barclays,Overweight,,main
2013-02-25,Credit Suisse,Outperform,,init
2013-03-04,JP Morgan,Overweight,,main
2013-03-14,Barclays,Equal-weight,Overweight,down
2013-04-03,Morgan Stanley,Equal-Weight,,init
2013-04-30,Stifel Nicolaus,Buy,,main
2013-06-10,Deutsche Bank,Buy,,init
2013-06-11,Deutsche Bank,Buy,,init
2013-08-05,Credit Suisse,Outperform,Outperform,main
2013-08-09,ISI Group,Buy,Strong Buy,down
2013-09-09,Morgan Stanley,Overweight,Equal-Weight,up
2013-10-31,Buckingham Research,Neutral,Buy,down
2014-02-05,MKM Partners,Neutral,Buy,down
2014-02-05,Stifel Nicolaus,Buy,,main
2014-02-20,Nomura,Buy,,init
2014-03-03,Morgan Stanley,Overweight,,main
2014-06-24,Citigroup,Buy,,main
2014-07-30,JP Morgan,Neutral,Overweight,down
2014-07-30,Deutsche Bank,Hold,Buy,down
2014-07-30,Citigroup,Buy,,main
2014-07-30,Barclays,Equal-Weight,,main
2014-08-04,Argus,Buy,,main
2014-09-30,Morgan Stanley,Overweight,,main
2014-10-02,Oppenheimer,Market Perform,Outperform,down
2014-10-06,Barclays,Equal-Weight,,main
2014-10-09,Buckingham Research,Neutral,,main
2014-10-14,Barclays,Overweight,Equal-weight,up
2014-10-30,Barclays,Overweight,,main
2014-11-25,RBC Capital,Sector Perform,,init
2015-01-12,Barclays,Overweight,,main
