,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1309866000.0,1266828000.0,1071401000.0,-188165000.0
Minority Interest,287520000.0,254410000.0,254410000.0,219402000.0
Net Income,1118492000.0,1388334000.0,1241226000.0,848661000.0
Selling General Administrative,100659000.0,212297000.0,119284000.0,3300000.0
Gross Profit,4883866000.0,4529214000.0,4269867000.0,3844937000.0
Ebit,2020592000.0,1654521000.0,1652240000.0,1140686000.0
Operating Income,2020592000.0,1654521000.0,1652240000.0,1140686000.0
Other Operating Expenses,1078329000.0,1049310000.0,1018327000.0,1331509000.0
Interest Expense,-864133000.0,-856494000.0,-824400000.0,-782216000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,191374000.0,-121506000.0,-169825000.0,-1036826000.0
Total Revenue,11742896000.0,10113636000.0,10878673000.0,11009452000.0
Total Operating Expenses,9722304000.0,8459115000.0,9226433000.0,9868766000.0
Cost Of Revenue,6859030000.0,5584422000.0,6608806000.0,7164515000.0
Total Other Income Expense Net,-710726000.0,-387693000.0,-580839000.0,-1328851000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1118492000.0,1388334000.0,1241226000.0,848661000.0
Net Income Applicable To Common Shares,1118492000.0,1388334000.0,1241226000.0,848661000.0
